web-scraper-order,web-scraper-start-url,category,category-href,page,page-href,title,title-href,info
"1520707680-271","http://www.cookbooks.com/","Appetizers","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Appetizer&strSearch=appetizer%20wing%20dig","18","http://www.cookbooks.com/recipes-search.aspx?page=18","256. BUFFALO WINGS","http://www.cookbooks.com/Recipe-Details.aspx?id=142154","<p class=""H2""><font size=""5"">BUFFALO WINGS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">5  lb. wings<br>1 1/2  cup Texas Pete hot sauce<br>1  cup butter<br>1/2  cup lemon juice<br>2  pkg. Italian dressing<br>2  pkg. garlic and herbs dressing<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Fry chicken wings. Mix other ingredients. Dip wings in mixture and bake 10 min. at 350°.</p><p class=""H1"">      Note: You can use as much of hot sauce as you want. I use 1/2 cup.</p></td></tr></tbody></table>"
"1520707792-320","http://www.cookbooks.com/","Appetizers","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Appetizer&strSearch=appetizer%20wing%20dig","14","http://www.cookbooks.com/recipes-search.aspx?page=14","207. BUFFALO CHICKEN WINGS","http://www.cookbooks.com/Recipe-Details.aspx?id=996208","<p class=""H2""><font size=""5"">BUFFALO CHICKEN WINGS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 1/2  lb. chicken wings (tips removed)<br>1  c. vegetable oil<br>3  Tbsp. melted butter<br>2  Tbsp. red wine vinegar<br>1/2  tsp. cayenne pepper<br>1/3  c. Blue cheese, crumbled<br>1/4  c. cream cheese<br>2  Tbsp. mayonnaise<br>2  Tbsp. dry sherry<br>1  tsp. Worcestershire sauce<br>1/4  tsp. each celery and garlic powder<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Cut each wing into 2 pieces. In a large deep skillet, heat oil over moderate heat (365°). Fry wings for 5 minutes.  Transfer to paper towel. In pie plate, combine butter, vinegar and cayenne pepper. Add wings; toss to coat.  Arrange on warm platter. In small bowl, blend remaining ingredients and serve with wings. Makes 4 servings.</p></td></tr></tbody></table>"
"1520708067-443","http://www.cookbooks.com/","Appetizers","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Appetizer&strSearch=appetizer%20wing%20dig","6","http://www.cookbooks.com/recipes-search.aspx?page=6","84. BAKED CHICKEN WINGS PACIFIC","http://www.cookbooks.com/Recipe-Details.aspx?id=406608","<p class=""H2""><font size=""5"">BAKED CHICKEN WINGS PACIFIC</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">3  lb. chicken wings<br>1  c. soy sauce<br>1  tsp. dry mustard<br>1  c. brown sugar<br>3/4  c. water<br>1/2  c. butter<br>1  dash Tabasco<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Combine and heat ingredients; cool.  Pour over wings; marinate 3 hours in refrigerator, turning wings frequently.   Bake at 350° for 1 1/2 hours, turning and basting.  Drain.   Serve hot or cold.</p></td></tr></tbody></table>"
"1520708069-444","http://www.cookbooks.com/","Appetizers","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Appetizer&strSearch=appetizer%20wing%20dig","6","http://www.cookbooks.com/recipes-search.aspx?page=6","83. BAKED CHICKEN WINGS","http://www.cookbooks.com/Recipe-Details.aspx?id=1045356","<p class=""H1"">Could NOT Open Recipe Page Due To:</p>Conversion from type 'DBNull' to type 'String' is not valid."
"1520708014-420","http://www.cookbooks.com/","Appetizers","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Appetizer&strSearch=appetizer%20wing%20dig","8","http://www.cookbooks.com/recipes-search.aspx?page=8","107. BARBECUE CHICKEN WINGS","http://www.cookbooks.com/Recipe-Details.aspx?id=274747","<p class=""H2""><font size=""5"">BARBECUE CHICKEN WINGS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">4  lb. chicken wings<br>1  c. stir-fry sauce<br>1  tsp. ginger<br>2  Tbsp. cooking oil<br>2/3  c. pineapple juice<br>4  Tbsp. brown sugar<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Heat oven to 375°.  Cut wings apart at the joints, throw away wing tips.  Heat oil in large heavy skillet over high heat and brown wings lightly, stirring often.  Spread in a single layer in a large baking dish.  Combine remaining ingredients and pour over wings.  Bake until very tender, turning often.  About 1 hour.</p></td></tr></tbody></table>"
"1520707821-333","http://www.cookbooks.com/","Appetizers","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Appetizer&strSearch=appetizer%20wing%20dig","13","http://www.cookbooks.com/recipes-search.aspx?page=13","194. BUFFALO CHICKEN WINGS","http://www.cookbooks.com/Recipe-Details.aspx?id=570764","<p class=""H2""><font size=""5"">BUFFALO CHICKEN WINGS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">24  chicken wings, about 4 lb.<br>  salt and pepper to taste<br>  vegetable oil for deep frying<br>4  Tbsp. butter<br>2 to 5  Tbsp. Louisiana hot pepper sauce<br>1  Tbsp. white vinegar<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">	Cut off and discard the small  tips  of each wing.  Cut the main wing bone and second  wing bone at the joint.	Sprinkle the wings with salt and pepper.  Heat oil in deep-fryer or deep saucepan to about 350°.  Add  some of the wings.  (Do not overcrowd.) Deep fry, turning,  until  golden brown and crisp, about 10 minutes.  Drain well  on  paper  towel.  Repeat  with remaining  wings.	Melt  butter  in  a  small  saucepan.  Add desired  amount of hot sauce  and  vinegar.  Put  hot  chicken wings onto warm serving platter.  Put mixture over all.  Serve immediately with desired dressing  and celery sticks.  Makes 4 to 6 servings.  Use Blue Cheese Dressing, see index.</p></td></tr></tbody></table>"
"1520707981-405","http://www.cookbooks.com/","Appetizers","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Appetizer&strSearch=appetizer%20wing%20dig","9","http://www.cookbooks.com/recipes-search.aspx?page=9","122. BARBECUED CHICKEN WINGS","http://www.cookbooks.com/Recipe-Details.aspx?id=4157","<p class=""H2""><font size=""5"">BARBECUED CHICKEN WINGS</font><br><span class=""H2""><font size=""4""><i>(Best Ever)  </i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1/2  c. lemon juice<br>1/2  c. honey<br>1/2  c. cooking oil<br>1/2  c. soy sauce<br>1/2  c. sherry wine<br>2  c. chicken bouillon<br>1  clove garlic, crushed<br>1/4  tsp. curry powder<br>1/4  tsp. dry mustard<br>1  tsp. salt<br>  enough wings to fit into roasting pan<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Mix all ingredients except wings together and pour over chicken. Dot with butter. Bake at 400° for 1 1/2 hours.  Turn occasionally while baking.</p></td></tr></tbody></table>"
"1520708081-450","http://www.cookbooks.com/","Appetizers","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Appetizer&strSearch=appetizer%20wing%20dig","6","http://www.cookbooks.com/recipes-search.aspx?page=6","77. BAKED CHICKEN WINGS","http://www.cookbooks.com/Recipe-Details.aspx?id=781508","<p class=""H2""><font size=""5"">BAKED CHICKEN WINGS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  c. water<br>1/2  c. sugar<br>1/4  c. corn oil<br>1  c. soy sauce<br>1  tsp. ginger<br>1/2  c. pineapple juice<br>1  tsp. garlic salt<br>25  wings or drummettes<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Mix all except chicken.  Add wings, so all pieces are covered. Marinate overnight or all day in refrigerator.  Place on single layer on cookie sheet covered with foil.  Bake for 1 hour at 350°. Baste after first 30 minutes with marinade (discard remaining). Wings may be frozen and reheated.</p></td></tr></tbody></table>"
"1520707909-373","http://www.cookbooks.com/","Appetizers","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Appetizer&strSearch=appetizer%20wing%20dig","11","http://www.cookbooks.com/recipes-search.aspx?page=11","154. BERNIE'S CHINESE WINGS","http://www.cookbooks.com/Recipe-Details.aspx?id=139151","<p class=""H2""><font size=""5"">BERNIE'S CHINESE WINGS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  c. soy sauce (can use ""lite"")<br>1/2  c. granulated sugar<br>1  c. brown sugar (packed)<br>4 or 5  lb. frozen chicken wings<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      On small salad plates, one plate for one serving, arrange a large leaf of lettuce, which covers most of the plate.  Slice and arrange three thin slices of ripe tomato and three thin slices of fresh ""Mozzarella di buffala"" cheese on the center of the plate. Add olive oil, salt and pepper.  On the sides of the plate, add a few sun-dried tomatoes, various kinds of olives, and a small portion of Prosciutto ham.  Simple and easy, this is an attractive and delicious appetizer for pasta dishes or chicken dishes.  Buon appetito!!!</p></td></tr></tbody></table>"
"1520708091-453","http://www.cookbooks.com/","Appetizers","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Appetizer&strSearch=appetizer%20wing%20dig","5","http://www.cookbooks.com/recipes-search.aspx?page=5","74. BAKED CHICKEN WINGS","http://www.cookbooks.com/Recipe-Details.aspx?id=228509","<p class=""H2""><font size=""5"">BAKED CHICKEN WINGS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">4  lb. chicken wings<br>1  c. soy sauce<br>1  c. sugar<br>1/4  c. oil<br>1  tsp. ginger<br>1  tsp. garlic salt<br>1  tsp. frozen orange juice concentrate<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Rinse chicken and pat dry.  Arrange in glass dish.  Pour mixture of remaining ingredients over chicken, tossing to coat. Marinate, covered, for 5 hours to overnight, turning frequently. Place and marinate in baking pan.  Bake at 350° for 1 1/2 hours, basting frequently.  Serves 12.</p></td></tr></tbody></table>"
