web-scraper-order,web-scraper-start-url,cat,cat-href,page,page-href,title,title-href,info
"1522283589-1685","http://www.cookbooks.com/","Beef","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Beef","20","http://www.cookbooks.com/recipes-search.aspx?page=20","297. VEGETABLE BEEF SOUP","http://www.cookbooks.com/Recipe-Details.aspx?id=21107","<p class=""H1"">Could NOT Open Recipe Page Due To:</p>Conversion from type 'DBNull' to type 'String' is not valid."
"1522284170-1943","http://www.cookbooks.com/","Beef","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Beef","3","http://www.cookbooks.com/recipes-search.aspx?page=3","39. BEEF `N' CHEESE WRAPS","http://www.cookbooks.com/Recipe-Details.aspx?id=3033","<p class=""H2""><font size=""5"">BEEF `N' CHEESE WRAPS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">4  flour tortillas (10-inch)<br>1 (8 oz.)  carton onion and chive cream cheese spread<br>1  c. shredded carrots<br>1  c. (4 oz.) shredded Monterey Jack cheese<br>1  lb. thinly sliced cooked roast beef<br>  leaf lettuce<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Spread one side of each tortilla with cream cheese.  Top with carrots and Monterey Jack cheese.  Layer with beef and lettuce. Roll up tightly and wrap in plastic wrap.  Refrigerate for at least 30 minutes.  Cut into 1-inch slices.</p></td></tr></tbody></table>"
"1522283896-1820","http://www.cookbooks.com/","Beef","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Beef","11","http://www.cookbooks.com/recipes-search.aspx?page=11","162. BEEF BRISKET","http://www.cookbooks.com/Recipe-Details.aspx?id=8077","<p class=""H2""><font size=""5"">BEEF BRISKET</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">3  lb. to 5 lb.  Brisket<br>1/2  c. brown sugar<br>  garlic salt<br>1  pkg. onion soup mix<br>2/3  c. ketchup<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">	Preheat oven to 325°.  Place Brisket in heavy foil pan. Mix other ingredients and pour over top.  Seal foil.  Bake 3 hours. Enjoy!</p></td></tr></tbody></table>"
"1522284173-1944","http://www.cookbooks.com/","Beef","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Beef","3","http://www.cookbooks.com/recipes-search.aspx?page=3","38. PEGGY'S BEEF SPREAD","http://www.cookbooks.com/Recipe-Details.aspx?id=3024","<p class=""H2""><font size=""5"">PEGGY'S BEEF SPREAD</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">8  oz. cream cheese<br>1/4  c. sour cream<br>1  tsp. horseradish<br>1/4  c. grated Parmesan cheese<br>1/2  c. chipped beef (buy 2 1/2 oz. jar), remove rind and chip into pieces<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Mix cream cheese, sour cream, horseradish, Parmesan cheese and chipped beef all together.  Spread on Wheat Thins or Ritz crackers.</p></td></tr></tbody></table>"
"1522284013-1873","http://www.cookbooks.com/","Beef","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Beef","8","http://www.cookbooks.com/recipes-search.aspx?page=8","109. CORNED BEEF HOT SANDWICHES","http://www.cookbooks.com/Recipe-Details.aspx?id=7124","<p class=""H2""><font size=""5"">CORNED BEEF HOT SANDWICHES</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  can corned beef<br>1/4  c relish<br>2  eggs, hard-boiled<br>  dash of black pepper<br>1/2  can cream of chicken or mushroom soup<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Mix all ingredients very well.  Spread on sandwich buns. Wrap buns in aluminum foil.  Put in oven at 325° until warm.</p></td></tr></tbody></table>"
"1522283740-1754","http://www.cookbooks.com/","Beef","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Beef","16","http://www.cookbooks.com/recipes-search.aspx?page=16","228. BARBECUED BEEF SANDWICHES","http://www.cookbooks.com/Recipe-Details.aspx?id=9124","<p class=""H2""><font size=""5"">BARBECUED BEEF SANDWICHES</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  1/2 lbs. ground beef<br>3/4  c. chopped onion<br>1 (8 oz.)  can tomato sauce<br>1/2  c. finely chopped green pepper<br>1/4  cup ketchup<br>1 1/2  tsp. salt<br>2  Tbsp. brown sugar<br>2  Tbsp. barbecue sauce<br>2  Tbsp. vinegar<br>1  Tbsp. prepared mustard<br>1  Tbsp. Worcestershire sauce<br>1/4  tsp. pepper<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Brown meat in large skillet; drain. Add onion and green pepper. Cook 5 minutes. Add remaining ingredients. Cover and simmer for 1 hour. Serve on buns.</p></td></tr></tbody></table>"
"1522283796-1778","http://www.cookbooks.com/","Beef","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Beef","14","http://www.cookbooks.com/recipes-search.aspx?page=14","204. CHIPPED BEEF IN GRAVY (WHITE SAUCE)","http://www.cookbooks.com/Recipe-Details.aspx?id=8779","<p class=""H2""><font size=""5"">CHIPPED BEEF IN GRAVY (WHITE SAUCE)</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  Tbsp. butter or margarine<br>2  Tbsp. flour<br>1  c. milk<br>1/4  tsp. salt<br>1/4 to 1/2  lb. chipped beef, quartered<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      To make a medium white sauce, combine butter, flour, milk and salt in double boiler.  Stir with slotted spoon until flour, butter, milk and salt are stirred in and melted.  (Double recipe for more gravy.)  After white sauce has thickened, add chipped beef.  Pour over toast, corn bread or potatoes.  It's your choice.</p></td></tr></tbody></table>"
"1522284026-1878","http://www.cookbooks.com/","Beef","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Beef","7","http://www.cookbooks.com/recipes-search.aspx?page=7","104. BEEF STEW","http://www.cookbooks.com/Recipe-Details.aspx?id=7011","<p class=""H2""><font size=""5"">BEEF STEW</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  lb. beef stew meat<br>2  Tbsp. shortening<br>1  c. tomatoes<br>1  bay leaf<br>1  tsp. salt<br>1  tsp. pepper<br>6  potatoes, peeled and halved<br>4  carrots<br>1  large onion<br>1  c. water (or tomatoes)<br>  flour, optional<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Cube stew meat in 1 1/2 inch cubes; flour and brown. Add tomatoes, bay leaf, salt and pepper. Simmer gently for 30 minutes; add potatoes, carrots, onions, and another c. of tomatoes or water; cover and cook slowly until vegetables are tender. If desired, gravy may be thickened with a little flour.</p></td></tr></tbody></table>"
"1522284049-1889","http://www.cookbooks.com/","Beef","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Beef","7","http://www.cookbooks.com/recipes-search.aspx?page=7","93. GROUND BEEF STROGANOFF","http://www.cookbooks.com/Recipe-Details.aspx?id=6823","<p class=""H2""><font size=""5"">GROUND BEEF STROGANOFF</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  Tbsp. vegetable oil<br>8  oz. lean ground beef<br>2 1/4  c. very hot tap water<br>1  c. milk<br>1/2  c. frozen or fresh chopped green pepper<br>1/2  envelope (from 2.5 oz. box) onion soup mix<br>1/4  tsp. salt<br>  black pepper to taste<br>6  oz. capellini or angel hair (extra thin spaghetti), broken in thirds<br>2  c. frozen green peas and sliced carrots or fresh<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Heat oil in a 10-inch nonstick skillet over high heat. Add beef, stirring to break up pieces; cook 3 minutes or until no longer pink. Add 2 cups hot water, milk, green pepper, soup mix, salt and pepper; stir to mix. Scatter pasta over top; cover and bring to a boil. Boil 2 minutes, stirring 3 to 4 times with a fork to separate strands of pasta. Stir in peas and carrots; cover, reduce heat and simmer 4 minutes or until vegetables and pasta are tender. Remove from heat. Stir in remaining 1/4 cup hot water. Serve immediately. Makes 4 servings.</p></td></tr></tbody></table>"
"1522283803-1781","http://www.cookbooks.com/","Beef","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Beef","14","http://www.cookbooks.com/recipes-search.aspx?page=14","201. BEEF WITH WHEAT","http://www.cookbooks.com/Recipe-Details.aspx?id=8732","<p class=""H2""><font size=""5"">BEEF WITH WHEAT</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1- 1 1/2  lb. boneless chuck<br>1/2-3/4  c. cracked wheat #2, washed, drained<br>1  can beef broth<br>  Salt, pepper, cumin<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Wash meat, pat dry.  Cover with water and bring to a boil. Cook 10 mins., discard water.  Add fresh water and boil meat until tender.  Shred meat, put back in water, add beef broth if needed for flavor.  Wash wheat, add to beef  with spices. Stir until wheat is cooked.  1-2 tbsp. of margarine or butter gives extra flavor.</p><p class=""H1"">      This can be made with chicken instead of beef.  (I always use a small onion or clove of garlic to initial water then discard).</p></td></tr></tbody></table>"
