web-scraper-order,web-scraper-start-url,cat,cat-href,page,page-href,title,title-href,info
"1522287316-3027","http://www.cookbooks.com/","Beverages","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Beverages&strSearch=drink%20punch%20slush%20tea","7","http://www.cookbooks.com/recipes-search.aspx?page=7","95. FRUIT PUNCH SLUSH","http://www.cookbooks.com/Recipe-Details.aspx?id=456995","<p class=""H2""><font size=""5"">FRUIT PUNCH SLUSH</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">6  ripe bananas<br>1 (6 oz.)  can frozen lemonade concentrate, thawed and undiluted<br>1 (12 oz.)  can frozen orange juice concentrate, thawed and undiluted<br>1 (46 oz.)  can pineapple juice<br>  orange slices<br>3  c. water<br>2  c. sugar<br>2 (64 oz.)  bottles lemon-lime carbonated beverage, chilled<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Combine bananas and frozen fruit juices in blender; blend until smooth.  Combine banana mixture, pineapple juice, water and sugar in large mixing bowl; mix well.  Pour into plastic freezer containers or molds and freeze.  To serve, thaw until mushy and add carbonated beverage.  Garnish with orange slices.  Yields 6 quarts.</p></td></tr></tbody></table>"
"1522287500-3106","http://www.cookbooks.com/","Beverages","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Beverages&strSearch=drink%20punch%20slush%20tea","2","http://www.cookbooks.com/recipes-search.aspx?page=2","16. RUSSIAN TEA (NON-ALCOHOLIC DRINK)","http://www.cookbooks.com/Recipe-Details.aspx?id=248590","<p class=""H2""><font size=""5"">RUSSIAN TEA (NON-ALCOHOLIC DRINK)</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  c. dry unsweetened instant tea<br>1 (10 cent)  pkg. lemonade mix<br>1  tsp. cloves<br>1 large  jar Tang (2 c.)<br>1  c. sugar<br>1  tsp. cinnamon<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Mix thoroughly and store in airtight container.  (Will keep indefinitely.)  Use 2 teaspoons Russian tea to 1 cup boiling water.  May be served hot or chilled.</p></td></tr></tbody></table>"
"1522286973-2878","http://www.cookbooks.com/","Beverages","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Beverages&strSearch=drink%20punch%20slush%20tea","17","http://www.cookbooks.com/recipes-search.aspx?page=17","244. SLUSH PUNCH","http://www.cookbooks.com/Recipe-Details.aspx?id=562278","<p class=""H2""><font size=""5"">SLUSH PUNCH</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">4 small  boxes Jell-O (whatever flavor desired)<br>6  c. sugar<br>1  gal. water<br>1 (6 oz.)  can frozen orange juice<br>1 (6 oz.)  can frozen lemonade<br>1 (46 oz.)  can pineapple juice<br>1/2  tsp. almond extract<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Heat first 3 ingredients until Jell-O and sugar are dissolved. Then add remaining ingredients.  Freeze in small portions.  When ready to use, scrape into a slush.  Add 4 or 5 quarts ginger ale or 7-Up.  Use flavor of Jell-O for color desired.</p></td></tr></tbody></table>"
"1522287052-2913","http://www.cookbooks.com/","Beverages","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Beverages&strSearch=drink%20punch%20slush%20tea","14","http://www.cookbooks.com/recipes-search.aspx?page=14","209. SLUSH PUNCH","http://www.cookbooks.com/Recipe-Details.aspx?id=974210","<p class=""H2""><font size=""5"">SLUSH PUNCH</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">4  c. sugar<br>4  c. water<br>5  well mashed bananas<br>1 tall  can pineapple juice<br>1 small  can frozen orange juice, mixed with required water<br>  juice of 2 lemons<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Heat sugar and water until dissolves, then add remaining ingredients.  Combine all and freeze.  Serve (melt until slushy). Add equal amount of 7-Up or ginger ale and slush.</p></td></tr></tbody></table>"
"1522287460-3088","http://www.cookbooks.com/","Beverages","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Beverages&strSearch=drink%20punch%20slush%20tea","3","http://www.cookbooks.com/recipes-search.aspx?page=3","34. AFRICAN SLUSH PUNCH","http://www.cookbooks.com/Recipe-Details.aspx?id=218807","<p class=""H2""><font size=""5"">AFRICAN SLUSH PUNCH</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">4  c. sugar<br>6  c. water<br>1 (12 oz.)  can frozen orange juice<br>1 (6 oz.)  can frozen lemonade<br>1 (6 oz.)  can water<br>1 large  can unsweetened pineapple juice<br>5  mashed bananas<br>3  qt. ginger ale<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">	Boil sugar and 6 cups  of water in a large saucepan for 3 minutes; let cool.	Mash  bananas  in blender and combine in large container with fruit  juices and 6 ounces of water.  Add sugar mixture and blend  well.  Freeze  for at least 24 hours. Remove from freezer 1  hour  before  serving.  Mash to a pulp. Add ginger ale; mix and serve.  Serves 8 to 10 people.</p></td></tr></tbody></table>"
"1522286990-2885","http://www.cookbooks.com/","Beverages","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Beverages&strSearch=drink%20punch%20slush%20tea","16","http://www.cookbooks.com/recipes-search.aspx?page=16","237. SLUSH PUNCH","http://www.cookbooks.com/Recipe-Details.aspx?id=399496","<p class=""H2""><font size=""5"">SLUSH PUNCH</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 (3 oz.)  box jello (cherry or strawberry)<br>1/4  c. lemon juice<br>1 to 2  qt. ginger ale or 7-Up<br>1/2  c. sugar<br>1 tall  can pineapple juice<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Mix jello according to directions.  To this add sugar, lemon juice and pineapple juice.  Put into containers such as margarine tubs and freeze.  Put in the punch bowl.  Add ginger ale or 7-Up. We prefer strawberry over cherry jello.</p></td></tr></tbody></table>"
"1522287372-3050","http://www.cookbooks.com/","Beverages","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Beverages&strSearch=drink%20punch%20slush%20tea","5","http://www.cookbooks.com/recipes-search.aspx?page=5","72. BANANA SLUSH PUNCH","http://www.cookbooks.com/Recipe-Details.aspx?id=459599","<p class=""H2""><font size=""5"">BANANA SLUSH PUNCH</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 large  can crushed pineapple<br>6  bananas<br>6  c. water<br>2  c. sugar<br>1  large frozen lemonade<br>2  large frozen orange juice<br>4  large ginger ale<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Blend pineapple and bananas until smooth.  Add water, sugar, lemonade and orange juice.  Freeze.  Remove 30 minutes before serving.  Then add cold ginger ale.</p></td></tr></tbody></table>"
"1522287104-2935","http://www.cookbooks.com/","Beverages","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Beverages&strSearch=drink%20punch%20slush%20tea","13","http://www.cookbooks.com/recipes-search.aspx?page=13","187. SLUSH PUNCH","http://www.cookbooks.com/Recipe-Details.aspx?id=579369","<p class=""H2""><font size=""5"">SLUSH PUNCH</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  boxes Jell-O (any flavor)<br>1 1/2  c. sugar<br>2  c. boiling water<br>2 (12 oz.)  cans frozen lemonade<br>1 large  can pineapple juice<br>1  (2 liter) ginger ale<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Mix Jell-O with sugar; dissolve with water.   Add lemonade (with water added as directed on can).   Add pineapple juice. Freeze in Ziploc bags.   Thaw about 4 hours before serving.  Mix ginger ale with slushy mixture when ready to serve.</p></td></tr></tbody></table>"
"1522286904-2847","http://www.cookbooks.com/","Beverages","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Beverages&strSearch=drink%20punch%20slush%20tea","19","http://www.cookbooks.com/recipes-search.aspx?page=19","275. YUMMY SLUSH PUNCH","http://www.cookbooks.com/Recipe-Details.aspx?id=787144","<p class=""H2""><font size=""5"">YUMMY SLUSH PUNCH</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">6  c. Water<br>4  c. Sugar<br>5  Ripe bananas<br>1 x 16  oz. can Crushed pineapple<br>2  pkg. Cherry Koolaid, unsweetened<br>1 x 46  oz. can Pineapple juice<br>  7-Up or Sprite<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Bring the water and sugar to a full boil. Stir in the Koolaid. In a blender, mix together the bananas and pineapple to a smooth consistency. Add to first mixture, then add in pineapple juice. Freeze. To serve mix with 7-Up or Sprite. Makes 6-7 quarts.</p><p class=""H1"">      NOTE: You can also freeze the mixture in ice cube trays for individual servings. Just put a couple in each glass then add soda pop.</p></td></tr></tbody></table>"
"1522287011-2895","http://www.cookbooks.com/","Beverages","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Beverages&strSearch=drink%20punch%20slush%20tea","16","http://www.cookbooks.com/recipes-search.aspx?page=16","227. SLUSH PUNCH","http://www.cookbooks.com/Recipe-Details.aspx?id=542209","<p class=""H2""><font size=""5"">SLUSH PUNCH</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">3 1/2  c. sugar<br>6  c. cold water<br>2  pkg. fruit flavored jello<br>1 large  can pineapple juice<br>1  qt. orange juice<br>  juice of 5 lemons<br>1  qt. ginger ale<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Boil sugar in water for 3 minutes.  Add jello and dissolve. Add juices and stir well.  Pour into milk cartons and freeze. Remove from freezer 2 hours before serving.  When ready to serve, add 1 quart of ginger ale to 1/2 gallon of punch.  Mix to slush.</p></td></tr></tbody></table>"
