web-scraper-order,web-scraper-start-url,category,category-href,page,page-href,title,title-href,info
"1521415115-625","http://cookbooks.com/","Breads","http://cookbooks.com/recipes-search.aspx?id=1&tag=Breads&strSearch=Breads%20Roll%20Pastry","19","http://cookbooks.com/recipes-search.aspx?page=19","274. APPLE DANISH PASTRY","http://cookbooks.com/Recipe-Details.aspx?id=1038983","<p class=""H2""><font size=""5"">APPLE DANISH PASTRY</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2 1/2  c. flour<br>1  tsp. salt<br>1  c. Crisco<br>1  egg yolk<br>  milk (to make 2/3 c. with egg yolk)<br>10  to 12 apples, peeled and sliced<br>1  c. sugar<br>1  tsp. cinnamon<br>1  egg white<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Mix together for crust the flour, salt, Crisco, egg yolk and milk.  Roll out 1/2 crust to jelly roll pan size.  Add apples, mixed with sugar and cinnamon.  Top with another 1/2 dough.  Beat egg white and brush on crust.  Bake at 350° for one hour.  Frost while warm with powdered sugar frosting.  Serves 12 to 15 or more.</p></td></tr></tbody></table>"
"1521415098-617","http://cookbooks.com/","Breads","http://cookbooks.com/recipes-search.aspx?id=1&tag=Breads&strSearch=Breads%20Roll%20Pastry","19","http://cookbooks.com/recipes-search.aspx?page=19","282. APPLE PASTRY SQUARES","http://cookbooks.com/Recipe-Details.aspx?id=14458","<p class=""H2""><font size=""5"">APPLE PASTRY SQUARES</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 1/2  c. granulated sugar<br>1  tsp. ground cinnamon<br>1/2  tsp. ground nutmeg<br>8  c. sliced, peeled cooking apples (7 large apples, about 3 lb.)<br>4  c. all-purpose flour<br>1 1/2  tsp. salt<br>1 1/2  c. shortening<br>2  beaten eggs<br>1/4  c. lemon juice<br>2  Tbsp. butter<br>1  c. powdered sugar<br>2  Tbsp. milk<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      In an extra large bowl, combine sugar, cinnamon, and nutmeg. Add apple slices; toss to coat.  In another extra large bowl, stir together the flour and 1 1/2 teaspoons salt.  With a pastry blender, cut in the shortening till pieces are the size of small peas.  In a small bowl, combine eggs, 6 tablespoons water, and lemon juice.  Add to flour mixture; mix till flour mixture is moistened.</p><p class=""H1"">      Divide the dough in half.  On a lightly floured surface, roll half of the pastry to a 16-inch by 11-inch rectangle.  Ease pastry into a 15-inch by 10-inch by 1-inch jellyroll pan (should be a 1/2-inch pastry border around pan). Arrange apple slices evenly over the pastry in pan.  Dot with butter.  Roll out remaining dough to a 15-inch by 10 1/2-inch rectangle.  Fit dough over apples.  Seal and crimp pastry edges together.  Cut several slits in top pastry.  If desired, to prevent over-browning, cover edge of pastry with foil for the first 25 minutes of baking.  Bake in a 375° oven for 40 to 50 minutes or till the crust is golden.  In a small bowl combine 1 cup powdered sugar and 2 tablespoons of milk to make icing; drizzle icing over hot pastry.  To serve, cut pastry into squares.  Makes 12 to 16 servings.</p></td></tr></tbody></table>"
"1521415383-742","http://cookbooks.com/","Breads","http://cookbooks.com/recipes-search.aspx?id=1&tag=Breads&strSearch=Breads%20Roll%20Pastry","11","http://cookbooks.com/recipes-search.aspx?page=11","157. HOMEMADE BREAD/ROLLS","http://cookbooks.com/Recipe-Details.aspx?id=585711","<p class=""H2""><font size=""5"">HOMEMADE BREAD/ROLLS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  pkg. yeast (dry or cake)<br>1/4  c. lukewarm water<br>1  tsp. sugar plus 1/3 c. sugar<br>1  tsp. salt<br>1/2  c. shortening<br>1  egg, slightly beaten<br>1  c. warm water<br>4  c. plain flour<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Dissolve yeast in warm water.  Mix 2 teaspoons sugar, yeast and 1/4 cup warm water into a large bowl.  In another bowl, add 1/4 cup sugar, salt, shortening, egg and 1 cup warm water.  Blend well.  Add dissolved yeast.  Gradually add flour until a soft dough is formed.  Knead until glossy.  Place in greased bowl.  Let rise until doubled in size.  Work down.  Place in two loaf pans. Let rise 2 hours and bake at 400° to 425° until brown.</p></td></tr></tbody></table>"
"1521415520-804","http://cookbooks.com/","Breads","http://cookbooks.com/recipes-search.aspx?id=1&tag=Breads&strSearch=Breads%20Roll%20Pastry","7","http://cookbooks.com/recipes-search.aspx?page=7","95. CORN BREAD JELLY ROLLS","http://cookbooks.com/Recipe-Details.aspx?id=573965","<p class=""H2""><font size=""5"">CORN BREAD JELLY ROLLS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">  corn bread mix<br>2  Tbsp. cooking oil<br>1  c. berry jam<br>3/4  c. powdered sugar<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Prepare favorite corn bread mix according to package directions, adding 1/4 cup more liquid and 2 tablespoons cooking oil.  Mix only until all ingredients are moistened.   Bake on griddle as hot cakes.  When done, place about 1 tablespoon or more berry jam on top in center.  Tightly roll; secure with toothpick. Roll in powdered sugar and serve hot.  Yields 12 servings.</p></td></tr></tbody></table>"
"1521415424-761","http://cookbooks.com/","Breads","http://cookbooks.com/recipes-search.aspx?id=1&tag=Breads&strSearch=Breads%20Roll%20Pastry","10","http://cookbooks.com/recipes-search.aspx?page=10","138. FROZEN BREAD ROLLS","http://cookbooks.com/Recipe-Details.aspx?id=262071","<p class=""H2""><font size=""5"">FROZEN BREAD ROLLS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  loaves frozen bread dough, thawed (not raised)<br>1 1/2  c. nuts<br>  cinnamon<br>1  stick margarine<br>2  boxes vanilla pudding (cook type)<br>1  c. brown sugar<br>2  Tbsp. milk<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Grease bottom of 9 x 13-inch pan.  Put nuts on bottom.  Pull first loaf of bread apart and put on top of nuts.  Sprinkle cinnamon on bread.  Melt margarine; mix in pudding, sugar and milk.  Pour over first loaf of bread dough.  Pull second loaf of bread dough apart and place on top pudding mixture.  Let raise.</p><p class=""H1"">      Bake at 350° for 30 minutes.  Flip upside down on cookie sheet immediately.</p></td></tr></tbody></table>"
"1521415177-653","http://cookbooks.com/","Breads","http://cookbooks.com/recipes-search.aspx?id=1&tag=Breads&strSearch=Breads%20Roll%20Pastry","17","http://cookbooks.com/recipes-search.aspx?page=17","246. YEAST BREAD OR ROLLS","http://cookbooks.com/Recipe-Details.aspx?id=729605","<p class=""H2""><font size=""5"">YEAST BREAD OR ROLLS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 cake yeast, dissolved in 1/4  c. lukewarm water<br>1/4  c. sugar<br>2  tsp. salt<br>3/4  c. shortening<br>2  c. lukewarm water<br>5 to 7  c. bread flour<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Add the yeast and water mixture to remaining ingredients.  Add flour last and mix with a wooden spoon (mix well).  Place in a large bowl that has been greased well.  Cover.  Store in refrigerator several hours before using.</p><p class=""H1"">      When ready to use, grease a large loaf pan and sprinkle well with flour.  Turn dough out in pan and let rise until double in size.  Bake in a 400° oven for 25 minutes or until golden brown and hollow sounding to touch.</p></td></tr></tbody></table>"
"1521415426-762","http://cookbooks.com/","Breads","http://cookbooks.com/recipes-search.aspx?id=1&tag=Breads&strSearch=Breads%20Roll%20Pastry","10","http://cookbooks.com/recipes-search.aspx?page=10","137. FROZEN BREAD DOUGH ROLLS","http://cookbooks.com/Recipe-Details.aspx?id=488581","<p class=""H2""><font size=""5"">FROZEN BREAD DOUGH ROLLS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1/2  c. melted butter<br>2  Tbsp. milk<br>1  c. brown sugar<br>1  box coconut cream pudding<br>1  box vanilla pudding<br>1  tsp. cinnamon<br>2  loaves frozen bread<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">	Mix  all  ingredients,	except	bread,	and do not cook puddings, then  cut 1 loaf bread into pieces and spread into a greased 9 x 13-inch pan .  Pour mixture over.  Put other loaf, cut up on top.	Bake at 350° for 30 minutes.</p></td></tr></tbody></table>"
"1521415543-812","http://cookbooks.com/","Breads","http://cookbooks.com/recipes-search.aspx?id=1&tag=Breads&strSearch=Breads%20Roll%20Pastry","6","http://cookbooks.com/recipes-search.aspx?page=6","87. CINNAMON ROLLS AND SWEET BREAD","http://cookbooks.com/Recipe-Details.aspx?id=643079","<p class=""H2""><font size=""5"">CINNAMON ROLLS AND SWEET BREAD</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  c. sourdough starter<br>1/2  c. sugar<br>1/2  c. oil<br>1  tsp. salt<br>1 1/2  c. warm water<br>6 1/2  c. flour<br>  melted butter<br>  cinnamon<br>  brown sugar<br>  chopped nuts<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      To starter, add sugar, oil, salt, warm water and flour.  Set aside and let rise for 8 hours.  Roll out dough into rectangle, 15 x 9-inch.  Spread with melted butter and sprinkle with cinnamon, brown sugar and chopped nuts.  Roll dough (begin west side). Pinch ends of dough and turn under.  Stretch roll to make even. Cut roll into 15 slices.  Place slightly apart on baking pan or 3 round cake pans or muffin pans (greased).  Let rise for 4 to 5 hours.  Bake at 350° for about 20 minutes.</p></td></tr></tbody></table><p class=""H3""><strong>Icing:</strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 1/2  c. confectioners sugar<br>4  Tbsp. milk<br>1/2  tsp. vanilla<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Mix until smooth.</p></td></tr></tbody></table>"
"1521415130-631","http://cookbooks.com/","Breads","http://cookbooks.com/recipes-search.aspx?id=1&tag=Breads&strSearch=Breads%20Roll%20Pastry","18","http://cookbooks.com/recipes-search.aspx?page=18","268. ALMOND PASTRY","http://cookbooks.com/Recipe-Details.aspx?id=785264","<p class=""H2""><font size=""5"">ALMOND PASTRY</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1/2  c. butter<br>1  c. flour<br>1  Tbsp. water<br>1  c. water<br>1/2  c. butter<br>1  tsp. almond extract<br>1  c. flour<br>3  eggs<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Bring to boil the water and butter.  Add almond extract.  Dump in flour and eggs, one at a time, beating well after each addition.  Pour over the 2 strips.  Bake 40 to 50 minutes, until fork test is dry.</p></td></tr></tbody></table><p class=""H3""><strong>Frosting:</strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  Tbsp. butter<br>1  tsp. almond extract<br>1  c. powdered sugar<br>  milk (to thin for spreading)<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Mix together and frost.</p></td></tr></tbody></table>"
"1521415167-648","http://cookbooks.com/","Breads","http://cookbooks.com/recipes-search.aspx?id=1&tag=Breads&strSearch=Breads%20Roll%20Pastry","17","http://cookbooks.com/recipes-search.aspx?page=17","251. YEAST ROLLS/CINNAMON ROLLS","http://cookbooks.com/Recipe-Details.aspx?id=221784","<p class=""H2""><font size=""5"">YEAST ROLLS/CINNAMON ROLLS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1/2  c. sugar<br>1  tsp. salt<br>1  c. mashed potatoes<br>1  c. warm water<br>8  c. flour<br>3/4  c. shortening or margarine<br>2  eggs<br>1  c. milk<br>1  pkg. yeast<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Cream sugar, salt and shortening.  Add eggs, mix well.  Add potatoes, then milk; mix after each.  Combine water and yeast, then add and mix.  Add 1 cup of the flour.  Let set 2 hours, then add 7 cups flour and knead lightly for 10 minutes.  Let set 1 hour.  Knead another 10 minutes, and make into rolls.</p><p class=""H1"">      Roll 1/2-inch thick and cut with biscuit cutter.  Place on cookie sheets, or roll into small balls and place three in each section of muffin pan for cloverleaf rolls.  Or roll 1/2-inch thick, cut with biscuit cutter, fold over as you place on cookie sheet; may brush with melted butter.  Let set 1 more hour after putting in pans.  Bake at 400° for 15 to 20 minutes.</p><p class=""H1"">      For Cinnamon Rolls:  Roll thinner, spread with margarine.  Mix sugar and cinnamon and sprinkle over all.  Cut into 1-inch strips or less.  String raisins whole length and roll up.  Place in greased rectangle or square Pyrex or pans.  Bake at 375° for 25 to 30 minutes.  Drizzle with powdered sugar/water glaze (see Buble Cake recipe for glaze).</p></td></tr></tbody></table>"
