web-scraper-order,web-scraper-start-url,category,category-href,page,page-href,title,title-href,info
"1520712524-1902","http://www.cookbooks.com/","Cake","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Cake","13","http://www.cookbooks.com/recipes-search.aspx?page=13","185. SOUR CREAM COFFEE CAKE","http://www.cookbooks.com/Recipe-Details.aspx?id=11936","<p class=""H2""><font size=""5"">SOUR CREAM COFFEE CAKE</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong>Mixture #1 (Cake Batter):</strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  c. butter, creamed<br>1  c. granulated sugar<br>1/2  c. firmly packed brown sugar<br>2  eggs<br>1  tsp. vanilla<br>1/2  tsp. salt<br>2  c. sifted all-purpose flour<br>1  tsp. baking powder<br>1  tsp. baking soda<br>1/2  pt. (8-oz.) sour cream<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Preheat oven to 350°.  Grease and flour a 10-inch tube pan. Mix first 5 ingredients together in large bowl with electric mixer on medium speed.  Combine salt, flour, baking powder, and baking soda, and add gradually to butter mixture.  Stir in sour cream. Alternately layer mixture #1 and mixture #2 in tube pan, starting with mixture #1.  Bake for 45 minutes.</p></td></tr></tbody></table><p class=""H3""><strong>Mixture #2 (Filling):</strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1/2  c. chopped walnuts<br>1/2  c. firmly packed brown sugar<br>2  tsp. ground cinnamon<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Combine all ingredients together in a small bowl.</p></td></tr></tbody></table>"
"1520712723-1984","http://www.cookbooks.com/","Cake","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Cake","7","http://www.cookbooks.com/recipes-search.aspx?page=7","103. HEAVENLY WHITE CAKE","http://www.cookbooks.com/Recipe-Details.aspx?id=2424","<p class=""H2""><font size=""5"">HEAVENLY WHITE CAKE</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">3  tsp. baking powder<br>2 1/4  c. flour<br>1  tsp. salt<br>1 1/2  c. sugar<br>1/2  c. shortening<br>1  c. strained light colored orange juice<br>1/2  c. egg whites (4)<br>1  tsp. grated orange rind<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Sift dry ingredients together into a big bowl.  Add shortening and 2/3 cup orange juice, unbeaten egg whites and orange rind. Beat again for 2 minutes.  Pour the thin batter into 2 layer pans, lined with waxed paper.  Bake at 350° for 30 minutes.</p></td></tr></tbody></table>"
"1520712746-1995","http://www.cookbooks.com/","Cake","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Cake","7","http://www.cookbooks.com/recipes-search.aspx?page=7","92. RAVE REVIEWS COCONUT CAKE","http://www.cookbooks.com/Recipe-Details.aspx?id=2413","<p class=""H2""><font size=""5"">RAVE REVIEWS COCONUT CAKE</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><table width=""100%"" border=""0"" cellspacing=""2"" cellpending=""5""><tbody><tr><td valign=""top""><p class=""H2""><img src=""images-new/recipe-categories/dessert-coconut-cake-recipe1.jpg"" alt=""RAVE REVIEWS COCONUT CAKE"" border=""0"" width=""200""></p></td><td valign=""middle""><p class=""H1""></p></td></tr></tbody></table><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  pkg. yellow cake mix<br>1 small  pkg. vanilla instant pudding<br>1 1/3  c. water<br>4  eggs<br>1/4  c. oil<br>2  c. coconut<br>1  c. chopped pecans<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Blend cake mix, pudding mix, water, eggs and oil in a large mixing bowl.  Beat at medium speed for 4 minutes.  Stir in coconut and pecans.  Pour into 3 greased and floured 9-inch layer pans. Bake at 350° for 35 minutes.  Cool in pans for 15 minutes.  Remove and cool on rack.  Fill and top with Coconut-Cream Cheese Frosting.</p></td></tr></tbody></table><p class=""H3""><strong>Coconut-Cream Cheese Frosting:</strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">4  Tbsp. butter or margarine<br>2  c. coconut<br>1 (8 oz.)  pkg. cream cheese<br>2  tsp. milk<br>3 1/2  c. sifted confectioners sugar<br>1/2  tsp. vanilla<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Melt butter in skillet.  Add coconut.  Stir constantly over low heat until golden brown.  Spread coconut on absorbent paper to cool.  Cream 2 tablespoons of butter with cream cheese.  Add milk; beat in sugar gradually.  Blend in vanilla; stir in 1 3/4 cups of the coconut.  Spread on tops of cake layers.  Stack and sprinkle with remaining coconut.</p></td></tr></tbody></table>"
"1520712704-1976","http://www.cookbooks.com/","Cake","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Cake","8","http://www.cookbooks.com/recipes-search.aspx?page=8","111. RAISIN NUT SPICE CAKE","http://www.cookbooks.com/Recipe-Details.aspx?id=2634","<p class=""H2""><font size=""5"">RAISIN NUT SPICE CAKE</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2/3  c. soft shortening<br>1  c. each brown sugar and white granulated sugar<br>3  eggs<br>2 1/3  c. sifted flour<br>1  tsp. each soda and salt<br>1 1/2  tsp. cinnamon<br>3/4  tsp. each nutmeg and cloves<br>1  c. buttermilk<br>1/2  c. each nuts and raisins<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Cream shortening, sugars and eggs.  Sift dry ingredients, then add alternately the buttermilk and dry ingredients to the shortening mixture.  Beat about 2 minutes.  Fold in nuts and raisins.  Pour into prepared 9-inch cake pans (greased and floured).  Bake 30 to 35 minutes in a 350° oven.  Cool and frost with White Butter Icing.</p></td></tr></tbody></table><p class=""H3""><strong>White Butter Icing:</strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1/2  c. shortening (part butter)<br>2 1/2  Tbsp. flour<br>1/4  tsp. salt<br>1/2  c. milk<br>1  box confectioners sugar<br>1/2  tsp. vanilla<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Melt  shortening  in  saucepan.  Remove from heat;  add flour and  salt.  Stir  in slowly the milk.  Bring to a boil, stirring constantly.  Boil 1 minute.  Remove from heat.  Stir in confectioners sugar and vanilla.  Beat until right consistency to spread.</p></td></tr></tbody></table>"
"1520712735-1990","http://www.cookbooks.com/","Cake","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Cake","7","http://www.cookbooks.com/recipes-search.aspx?page=7","97. SCRIPTURE CAKE","http://www.cookbooks.com/Recipe-Details.aspx?id=2418","<p class=""H2""><font size=""5"">SCRIPTURE CAKE</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">3/4  c. soft butter (Genesis 18:8)<br>1 1/2  c. sugar (Jeremiah 6:20)<br>3  eggs, separated (Isaiah 10:14)<br>3  c. sifted flour (Leviticus 24:5)<br>3/4  tsp. salt (2 Kings 2:20)<br>3  tsp. baking powder (Amos 4:5)<br>1  tsp. cinnamon (Exodus 30:23)<br>1/2  c. milk (Judges 4:19)<br>3/4  c. chopped almonds (Genesis 43:11)<br>3/4  c. finely cut figs (Jeremiah 24:5)<br>3/4  c. raisins (2 Samuel 16:11)<br>  whole blanched almonds (Genesis 43:11)<br>1/4  tsp. each:  cloves, allspice and nutmeg (2 Chronicles 9:9)<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Cream butter with sugar.  Beat in egg yolks, one at a time. Sift dry ingredients together.  Blend into creamed mixture alternately with milk.  Beat egg whites until stiff and fold in. Fold in chopped almonds, figs and raisins.  Turn into greased and floured 10-inch tube pan.  Bake in 325° oven 1 hour and 10 minutes or until cake is golden brown and cake tester comes out clean. Cool 10 to 15 minutes in pan.  Remove from pan and cool on rack. Drizzle Burnt Sugar Syrup over cake and decorate with whole almonds.</p></td></tr></tbody></table><p class=""H3""><strong>Burnt Sugar Syrup:</strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 1/2  c. sugar (Jeremiah 6:20)<br>1/2  c. water (Genesis 24:25)<br>1/4  c. butter (Genesis 18:8)<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Melt sugar in iron skillet over low heat.  Continue cooking until syrup is light amber.  Add water; cook until syrup is smooth. Remove from heat; add butter and stir until melted.</p></td></tr></tbody></table>"
"1520712373-1837","http://www.cookbooks.com/","Cake","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Cake","17","http://www.cookbooks.com/recipes-search.aspx?page=17","250. PINEAPPLE WALNUT CAKE","http://www.cookbooks.com/Recipe-Details.aspx?id=13194","<p class=""H2""><font size=""5"">PINEAPPLE WALNUT CAKE</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  c. walnuts, chopped<br>2  c. sugar<br>2  c. flour<br>2  tsp. baking soda<br>1  tsp. vanilla<br>2  eggs<br>1 (20 oz.)  can crushed pineapple (do not drain)<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Combine flour and baking soda; set aside. Beat eggs, sugar, vanilla and pineapple. Add mixture to flour and baking soda, mixing well. Add nuts and mix again. Pour into greased and floured 9 x 13 pan. Bake at 350° for 35 to 45 minutes.</p></td></tr></tbody></table><p class=""H3""><strong>Icing:</strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">8  oz. cream cheese (room temperature)<br>1  stick butter (room temperature)<br>1 1/2  c. powdered sugar<br>1  tsp. vanilla<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Mix together and ice cake while still warm.</p></td></tr></tbody></table>"
"1520712414-1855","http://www.cookbooks.com/","Cake","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Cake","16","http://www.cookbooks.com/recipes-search.aspx?page=16","232. SWISS CHOCOLATE CAKE","http://www.cookbooks.com/Recipe-Details.aspx?id=13176","<p class=""H1"">Could NOT Open Recipe Page Due To:</p>Conversion from type 'DBNull' to type 'String' is not valid."
"1520712444-1868","http://www.cookbooks.com/","Cake","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Cake","15","http://www.cookbooks.com/recipes-search.aspx?page=15","219. LEMON POUND CAKE","http://www.cookbooks.com/Recipe-Details.aspx?id=13146","<p class=""H2""><font size=""5"">LEMON POUND CAKE</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1/2  c. Crisco<br>2  sticks butter<br>3  c. sugar<br>5  eggs<br>1  (8 oz.) sour cream<br>1/4  c. milk<br>3  c. flour (Swanson's cake flour)<br>1/2  tsp. baking powder<br>2  tsp. lemon extract<br>1  tsp. vanilla extract<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Cream Crisco, butter and sugar in a medium bowl.  Add eggs, one at a time, beating mixture after each.  Add sour cream to mixture.  In another bowl, combine flour and baking powder.  Add to mixture, small portions at a time, alternately with milk.  Mix completely and well.  Add lemon and vanilla extracts.  Bake at 325° for 1 hour and 30 minutes.  Check with toothpick after cake has baked 1 hour and 15 minutes.  Let cool, then glaze cake.  Use Baker's Joy for tube pan.</p></td></tr></tbody></table><p class=""H3""><strong>Lemon Pound Cake Glaze:</strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  c. powdered sugar<br>4  Tbsp. butter<br>1/2  c. lemon juice<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Combine ingredients.  Glaze cake when cooled.</p></td></tr></tbody></table>"
"1520712612-1937","http://www.cookbooks.com/","Cake","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Cake","10","http://www.cookbooks.com/recipes-search.aspx?page=10","150. FAVORITE HOLIDAY CAKE","http://www.cookbooks.com/Recipe-Details.aspx?id=2872","<p class=""H2""><font size=""5"">FAVORITE HOLIDAY CAKE</font><br><span class=""H2""><font size=""4""><i>(Peter Paul Mound Cake)  </i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  c. Crisco shortening<br>2  c. sugar<br>5  eggs<br>1  c. all-purpose flour<br>1  c. self-rising flour<br>1  c. sweet milk<br>2  tsp. vanilla flavoring<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Cream shortening; gradually add sugar, beating until light and fluffy and sugar is dissolved.  Add eggs, one at a time, beating well after each addition of egg.  Combine flours together; add to creamed mixture alternately with milk, beginning and ending with flour.  Add vanilla, mixing well.  Pour into 2 greased and floured 9-inch cake pans.  Preheat oven to 350°.  Bake for 30 to 35 minutes.  Remove from pans and cool completely.</p><p class=""H1"">      Split layers in half, rounding.  Place cut side up on cake plate.  Spread evenly with 1/3 cup of Coconut Filling.  Repeat with second, third and fourth layer.</p></td></tr></tbody></table><p class=""H3""><strong>Coconut Filling:</strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  c. sugar<br>1  c. sweet milk<br>1  lb. frozen flaked coconut<br>12  marshmallows<br>1  tsp. vanilla flavoring<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Combine milk and sugar in saucepan; bring to a boil.  Add coconut and marshmallows.  Cook over medium heat for 5 minutes. Remove from heat and stir in vanilla.  Yields 2 1/2 cups filling.</p></td></tr></tbody></table><p class=""H3""><strong>Chocolate Filling:</strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  c. sugar<br>1/2  c. butter or margarine<br>1  c. evaporated milk<br>2 to 3  Tbsp. cocoa<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Combine all ingredients; cook over medium heat, almost to soft-ball stage (230°), stirring constantly.  Remove from heat. Beat until thick enough to spread.  Yields enough frosting for Peter Paul Mound Cake.</p></td></tr></tbody></table>"
"1520712840-2035","http://www.cookbooks.com/","Cake","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Cake","4","http://www.cookbooks.com/recipes-search.aspx?page=4","52. FRUIT CAKE","http://www.cookbooks.com/Recipe-Details.aspx?id=1199","<p class=""H2""><font size=""5"">FRUIT CAKE</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><table width=""100%"" border=""0"" cellspacing=""2"" cellpending=""5""><tbody><tr><td valign=""top""><p class=""H2""><img src=""images-new/recipe-categories/cakes-fruit-cake.jpg"" alt=""FRUIT CAKE"" border=""0"" width=""200""></p></td><td valign=""middle""><p class=""H1""></p></td></tr></tbody></table><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1/3  c. cooking oil<br>1 1/2  c. unsweetened applesauce<br>2  Tbsp. liquid sweetener<br>1  large egg, beaten<br>2  c. flour<br>2  tsp. baking powder<br>1/2  tsp. baking soda<br>2  Tbsp. cocoa<br>1/4  tsp. salt<br>1  tsp. cinnamon<br>1/2  tsp. ground nutmeg<br>1/2  tsp. ground cloves<br>1/2  c. seedless raisins<br>1/2  c. chopped dates<br>1/4  c. chopped nuts<br>1  tsp. lemon rind<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Add oil to applesauce and egg.  Add sweetener.  Sift flour, baking powder, baking soda, cocoa, salt, cinnamon, nutmeg and cloves.  Add lemon rind, raisins, dates and nuts to dry ingredients.  Then add to applesauce mixture.  (It will be thick.) Pour mixture into greased loaf pan.  Bake at 325° for 1 hour.</p><p class=""H1"">      Exchanges:  1 bread, 1 1/2 fat.</p></td></tr></tbody></table>"
