web-scraper-order,web-scraper-start-url,cat,cat-href,page,page-href,title,title-href,info
"1522284790-2134","http://www.cookbooks.com/","Chicken","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=chicken","9","http://www.cookbooks.com/recipes-search.aspx?page=9","133. CHICKEN FLAUTAS WITH SALSA","http://www.cookbooks.com/Recipe-Details.aspx?id=1909","<p class=""H2""><font size=""5"">CHICKEN FLAUTAS WITH SALSA</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1/2  c. chopped onion<br>1  clove garlic<br>2  Tbsp. oil<br>1 1/4  tsp. salt<br>1/4  tsp. pepper<br>1/2  c. chicken broth<br>2 1/4  c. cooked chicken<br>1 (4 oz.)  can green chilies<br>  oil for frying<br>12  corn tortillas<br>  Salsa (recipe follows)<br>1  Tbsp. cornstarch<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Sauté onion and garlic until tender.  Stir in cornstarch, salt and pepper.  Mix well.  Stir in broth, chicken and chilies.  Cook, stirring constantly, until very thick and bubbly.  Dip tortillas in 1/4-inch hot oil to soften.  Spoon a heaping tablespoon of filling in each tortilla and roll up.  Sauté flautas, a few at a time, in hot oil, turning often until crisp, about 2 minutes.  Keep warm. Serve with Salsa.  Garnish with lettuce.</p></td></tr></tbody></table><p class=""H3""><strong>Salsa:</strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  tomatoes, chopped<br>1  medium onion, chopped<br>1/2  medium seeded green pepper, chopped<br>1/4  c. chopped parsley<br>1 minced  clove garlic<br>1/2  tsp. salt<br>1/8  tsp. pepper<br>1/8  tsp. ground cumin<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Combine ingredients.  Refrigerate 1 hour.</p></td></tr></tbody></table>"
"1522284418-1969","http://www.cookbooks.com/","Chicken","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=chicken","20","http://www.cookbooks.com/recipes-search.aspx?page=20","298. CHICKEN-AVOCADO TORTILLA SOUP","http://www.cookbooks.com/Recipe-Details.aspx?id=5647","<p class=""H2""><font size=""5"">CHICKEN-AVOCADO TORTILLA SOUP</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1/3  c. chopped onion<br>3  cloves garlic, peeled and chopped<br>3/4  tsp. ground cumin<br>3/4  tsp. dried oregano<br>1/4  tsp. chili powder<br>1/4  tsp. pepper<br>8  c. fat-free chicken broth<br>1 (14 oz.)  can diced tomatoes<br>1 (4 oz.)  can diced green chilies<br>10  corn tortillas (6-inch wide)<br>1 1/2  lb. chicken breasts (boneless and skinless)<br>1  firm-ripe avocado<br>2  Tbsp. fresh cilantro, chopped<br>  salt to taste<br>1/2  c. shredded reduced-fat sharp Cheddar cheese<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">	In a 5 to 6-quart nonstick pan over medium heat, stir onion, garlic, cumin, oregano, chili powder and pepper until spices are fragrant, about 1 minute.  Add broth, tomatoes (including juice) and green chilies. Cover and bring to a boil over high heat.</p><p class=""H1"">	 Meanwhile, stack tortillas and cut into 1/8-inch wide strips. Add to boiling broth. Reduce heat, cover and simmer for 15 minutes, stirring occasionally.</p><p class=""H1"">	 Rinse chicken and cut into 1/2-inch pieces. Peel the avocado, pit and thinly slice. Add chicken to broth and return to a boil over high heat. Reduce heat, cover and simmer until chicken is white in center (cut to test), about 5 minutes.  Stir in cilantro and salt to taste. Ladle into soup bowls, garnish with avocado and add cheese to taste.  Makes 6 servings.</p><p class=""H1"">	The thinly sliced corn tortillas thicken the soup as they dissolve.</p></td></tr></tbody></table>"
"1522284536-2023","http://www.cookbooks.com/","Chicken","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=chicken","17","http://www.cookbooks.com/recipes-search.aspx?page=17","244. CURRIED CHICKEN SALAD","http://www.cookbooks.com/Recipe-Details.aspx?id=4942","<p class=""H2""><font size=""5"">CURRIED CHICKEN SALAD</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  c. grilled, diced chicken<br>1  c. mayonnaise<br>4  c. cooked rice, chilled<br>1 1/2  Tbsp. curry powder<br>1/2  tsp. salt<br>1  tsp. sugar<br>1/2  c. diced onion<br>3  Tbsp. minced cilantro<br>1  c. diced pineapple, with juices<br>1/2  c. shredded carrots (3 carrots)<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Mix all ingredients in bowl.  Chill for at least 1 hour and serve.</p></td></tr></tbody></table>"
"1522284663-2078","http://www.cookbooks.com/","Chicken","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=chicken","13","http://www.cookbooks.com/recipes-search.aspx?page=13","189. MINI CHICKEN TURNOVERS","http://www.cookbooks.com/Recipe-Details.aspx?id=3828","<p class=""H1"">Could NOT Open Recipe Page Due To:</p>Conversion from type 'DBNull' to type 'String' is not valid."
"1522284497-2005","http://www.cookbooks.com/","Chicken","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=chicken","18","http://www.cookbooks.com/recipes-search.aspx?page=18","262. HOT CHICKEN SALAD","http://www.cookbooks.com/Recipe-Details.aspx?id=5089","<p class=""H2""><font size=""5"">HOT CHICKEN SALAD</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">3  c. cooked chicken, diced<br>1  c. mayonnaise<br>2  c. celery, finely chopped<br>2  Tbsp. grated onion<br>2  Tbsp. lemon juice<br>1/2  c. chopped almonds, toasted<br>1/2  tsp. salt<br>1/2  tsp. Accent<br>1  tsp. tarragon<br>1  c. crushed potato chips<br>1/2  c. grated Cheddar cheese<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Mix all ingredients except potato chips and cheese. Turn into 11 x 7 x 1-inch baking dish. Top with potato chips and cheese that have been combined. Bake at 450° for 10 minutes. Serve immediately. Serves 8 to 10.</p></td></tr></tbody></table>"
"1522284482-1998","http://www.cookbooks.com/","Chicken","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=chicken","18","http://www.cookbooks.com/recipes-search.aspx?page=18","269. SOUTHWESTERN CHICKEN SOUP","http://www.cookbooks.com/Recipe-Details.aspx?id=5210","<p class=""H2""><font size=""5"">SOUTHWESTERN CHICKEN SOUP</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1-1/4  lbs. boneless skinless chicken breasts, cut into thin strips<br>  1-2 Tbsp. vegetable oil<br>2 (14-1/2 oz.)  cans chicken broth<br>1 (16 oz)  pkg. frozen corn, thawed<br>1 (14-1/2 oz)  can diced tomatoes, undrained<br>1  medium onion, chopped<br>1  medium green pepper, chopped<br>1  medium sweet red pepper, chopped<br>1 (4 oz.)  can chopped green chilies<br>1-1/2  tsp. seasoned salt, optional<br>1  tsp. ground cumin<br>1/2  tsp. garlic powder<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      In a large skillet, sauté the chicken in oil until lightly browned. Transfer to a 5 quart slow cooker with a slotted spoon. Stir in the remaining ingredients.  Cover and cook on low for 7-8 hours.  Stir before serving.</p></td></tr></tbody></table>"
"1522284970-2213","http://www.cookbooks.com/","Chicken","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=chicken","4","http://www.cookbooks.com/recipes-search.aspx?page=4","54. CHICKEN SOUP","http://www.cookbooks.com/Recipe-Details.aspx?id=798","<p class=""H2""><font size=""5"">CHICKEN SOUP</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  (2 lb.) chicken<br>1  gal. water (approximately)<br>1/2  tsp. black pepper<br>1/2  tsp. salt<br>2  c. chopped celery with leaves<br>1/2  c. chopped onion<br>4  carrots, diced<br>1  can vegetable beef soup<br>1  large or 2 medium potatoes, diced<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Cook chicken in water until easily removed from bones.  Debone and chop meat.  You will need at least 2 cups of poultry.  Pour water and all remaining ingredients into large Dutch oven or pan. Bring to boil, then simmer until all vegetables are cooked.</p></td></tr></tbody></table>"
"1522284495-2004","http://www.cookbooks.com/","Chicken","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=chicken","18","http://www.cookbooks.com/recipes-search.aspx?page=18","263. FARMERS' MARKET CHICKEN SALAD","http://www.cookbooks.com/Recipe-Details.aspx?id=5094","<p class=""H1"">Could NOT Open Recipe Page Due To:</p>Conversion from type 'DBNull' to type 'String' is not valid."
"1522284734-2109","http://www.cookbooks.com/","Chicken","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=chicken","11","http://www.cookbooks.com/recipes-search.aspx?page=11","158. STEAK OR CHICKEN SHISH KABOBS","http://www.cookbooks.com/Recipe-Details.aspx?id=2301","<p class=""H2""><font size=""5"">STEAK OR CHICKEN SHISH KABOBS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 1/2  lb. steak or chicken, partially frozen<br>1/2  c. soy sauce<br>2  Tbsp. olive oil<br>2  Tbsp. honey<br>2  Tbsp. wine vinegar<br>1  clove of garlic<br>1/2  tsp. ground ginger<br>1/8  tsp. pepper<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Slice meat into 4 x 1/4-inch strips and set aside.  Combine remaining ingredients in a shallow dish.  Add steak, coating well. Cover and let sit in refrigerator overnight.  Remove steak from refrigerator and place on skewers.  Add fresh vegetables if you like.  Grill 2 to 3 minutes on each side or until desired level of doneness is reached.  Baste frequently with marinade.</p></td></tr></tbody></table>"
"1522284991-2222","http://www.cookbooks.com/","Chicken","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=chicken","3","http://www.cookbooks.com/recipes-search.aspx?page=3","45. WEIGHT CONTROL CHICKEN SALAD","http://www.cookbooks.com/Recipe-Details.aspx?id=779","<p class=""H2""><font size=""5"">WEIGHT CONTROL CHICKEN SALAD</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  (5-inch) zucchini<br>5  medium mushrooms (fresh)<br>1 (6 oz.)  can white meat boned chicken<br>4  Tbsp. light mayonnaise (Miracle Whip)<br>2  tsp. Mrs. Dash seasoning<br>2  regular pita pockets or 4 mini pitas<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Mince zucchini and mushrooms.  Stir in chicken, mayonnaise and seasoning.  Fill pita pockets.  Serves 2.</p></td></tr></tbody></table>"
