web-scraper-order	web-scraper-start-url	category	category-href	page	page-href	title	title-href	info
1520707300-94	http://cookbooks.com/	Christmas	http://cookbooks.com/recipes-search.aspx?id=1&tag=christmas	16	http://cookbooks.com/recipes-search.aspx?page=16	232. CHRISTMAS CIDER	http://cookbooks.com/Recipe-Details.aspx?id=63170	"<p class=""H2""><font size=""5"">CHRISTMAS CIDER</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  qt. apple cider<br>1  c. brown sugar<br>3  3 inch cinnamon sticks<br>1  tsp. whole cloves<br>1  tsp. salt<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Heat to boiling point. Add remaining ingredients and simmer about 15 minutes. Strain and serve warm.</p></td></tr></tbody></table>"
1520707331-108	http://cookbooks.com/	Christmas	http://cookbooks.com/recipes-search.aspx?id=1&tag=christmas	15	http://cookbooks.com/recipes-search.aspx?page=15	218. NANA'S CHRISTMAS COOKIES	http://cookbooks.com/Recipe-Details.aspx?id=60079	"<p class=""H2""><font size=""5"">NANA'S CHRISTMAS COOKIES</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1/2  lb. candied cherries, halved<br>2  c. pecans, ground/finely chopped<br>3 whole  slices candied pineapple, chopped<br>1/2  c. flour<br>1/4  tsp. salt<br>3  egg whites, stiffly beaten<br>1/2  c. sugar<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Place fruits in bowl.  Sift flour over fruit mixture.  In a separate glass bowl, beat egg whites until stiff.  Add sugar to egg whites and beat together.  Add fruit/flour mixture to egg white mixture.  Add nuts.  Fold well.  Drop by teaspoonfuls on greased cookie sheet and bake at 350° for approximately 15 to 20 minutes or until light brown in color.  Check for doneness by flipping over.</p></td></tr></tbody></table>"
1520707168-35	http://cookbooks.com/	Christmas	http://cookbooks.com/recipes-search.aspx?id=1&tag=christmas	20	http://cookbooks.com/recipes-search.aspx?page=20	291. MOM'S CHRISTMAS PIE	http://cookbooks.com/Recipe-Details.aspx?id=87207	"<p class=""H2""><font size=""5"">MOM'S CHRISTMAS PIE</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  Tbsp. butter<br>3/4  c. sugar<br>2  c. milk<br>2  egg whites, well beaten<br>1/4  c. cornstarch<br>1/2  tsp. salt<br>1  tsp. vanilla<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">	Scald milk. Melt butter and blend in cornstarch, sugar and salt. Gradually add milk to melted butter mixture. Cook mixture until fairly thickened. Remove from fire; add gradually to beaten egg whites. Stir in vanilla. Pour into baked 9-inch pie shell and bake in 350° oven for 5 minutes. When cool, top with whipped cream. Garnish with chopped nuts.</p></td></tr></tbody></table>"
1520707543-204	http://cookbooks.com/	Christmas	http://cookbooks.com/recipes-search.aspx?id=1&tag=christmas	9	http://cookbooks.com/recipes-search.aspx?page=9	122. CHRISTMAS TOFFEE	http://cookbooks.com/Recipe-Details.aspx?id=30556	"<p class=""H2""><font size=""5"">CHRISTMAS TOFFEE</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  C butter<br>1  C sugar<br>1  Tbsp white corn syrup<br>3  Tbsp water<br>1  pkg almonds or walnuts<br>1  6 oz pkg semi-sweet chocolate morsels (melted)<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Butter a cookie sheet. Melt butter in 2 qt. sauce pan, stir in sugar gradually. Add syrup and water. Cook over moderate heat, stirring occasionally until a little bit in cold water becomes very brittle.</p><p class=""H1"">      Add 1 C nuts. Pour onto pan. When cool, pour melted chocolate over the toffee. Break into bite size pieces.</p></td></tr></tbody></table>"
1520707255-73	http://cookbooks.com/	Christmas	http://cookbooks.com/recipes-search.aspx?id=1&tag=christmas	17	http://cookbooks.com/recipes-search.aspx?page=17	253. CRANBERRY BANANA CHRISTMAS BREAD	http://cookbooks.com/Recipe-Details.aspx?id=73288	"<p class=""H2""><font size=""5"">CRANBERRY BANANA CHRISTMAS BREAD</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 1/2  c. self-rising flour<br>1  tsp. baking powder<br>1/2  tsp. baking soda<br>1  c. cranberries, chopped<br>1  1/2 ripe banana<br>1/2  c. sugar<br>1/3  c. oil<br>1  large egg<br>1  tsp. vanilla<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Mix all ingredients together.  Spray a loaf pan with nonstick spray.  Bake at 350° for 35 to 40 minutes.  Serves 16.</p></td></tr></tbody></table>"
1520707552-207	http://cookbooks.com/	Christmas	http://cookbooks.com/recipes-search.aspx?id=1&tag=christmas	8	http://cookbooks.com/recipes-search.aspx?page=8	119. BUCHE DE NOEL (CHRISTMAS CHOCOLATE ROLL)	http://cookbooks.com/Recipe-Details.aspx?id=29607	"<p class=""H2""><font size=""5"">BUCHE DE NOEL (CHRISTMAS CHOCOLATE ROLL)</font><br><span class=""H2""><font size=""4""><i>(Holiday)  </i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">6  egg whites (at room temperature)<br>1/2  c. sugar<br>6  egg yolks<br>1/2  c. sugar<br>1 1/2  c. finely chopped (grated) walnuts<br>4  Tbsp. sifted cocoa<br>1  tsp. baking powder<br>  powdered sugar for topping<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Preheat oven to 350°. Butter a 10 x 15-inch jelly roll pan. Line it with waxed paper, extending 4-inches beyond the ends of the pan. Butter the waxed paper and set it aside. Wet a towel and squeeze it until it is damp-dry.</p><p class=""H1"">      In a large mixing bowl, beat egg whites until foamy. Continue beating and adding 1/2 cup sugar slowly, until whites are stiff and glossy.</p><p class=""H1"">      Beat yolks with 1/2 cup sugar until mixture is very thick. Beat in the walnuts, cocoa and baking powder until blended. Fold in beaten egg whites.</p><p class=""H1"">      Pour batter into prepared pan and spread evenly. Bake at 350° for about 25 minutes, or until top is golden and a cake tester inserted in the center comes out clean. Immediately cover cake with slightly dampened towel. Allow cake to cool and then refrigerate. Leave towel on cake. This can be done 2 days ahead.</p><p class=""H1"">      The day before serving, turn cake out on 2 overlapping strips of waxed paper. Remove the baking paper and trim edges of cake. Spread Chocolate Whipped Cream mixture over the cake. Using the waxed paper to help you, roll cake up from long end, ending seam side down. Sprinkle top with sifted powdered sugar to resemble snow. Serve 10-12.</p></td></tr></tbody></table><p class=""H3""><strong>Chocolate Whipped Cream:</strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 1/2  c. cream<br>1/3  c. sugar<br>3  Tbsp. sifted cocoa<br>1  tsp. vanilla<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Beat all ingredients together until stiff.</p></td></tr></tbody></table>"
1520707453-163	http://cookbooks.com/	Christmas	http://cookbooks.com/recipes-search.aspx?id=1&tag=christmas	11	http://cookbooks.com/recipes-search.aspx?page=11	163. CHRISTMAS HARD CANDY	http://cookbooks.com/Recipe-Details.aspx?id=45564	"<p class=""H2""><font size=""5"">CHRISTMAS HARD CANDY</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">3 1/2  c. sugar<br>1  c. light corn syrup<br>1  c. water<br>1/4 to 1/2  tsp. cinnamon or peppermint oil<br>1  tsp. red or green food coloring<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      In a heavy saucepan, combine sugar, corn syrup and water.  Cook on medium heat until candy thermometer reads 300° (hard-crack stage), stirring occasionally.  Remove from the heat.  Stir in oil and food coloring, keeping face away from mixture as aroma is very strong.  Immediately pour onto an oiled cookie sheet.  Cool.  Break into pieces.  Store in airtight containers.</p></td></tr></tbody></table>"
1520707224-59	http://cookbooks.com/	Christmas	http://cookbooks.com/recipes-search.aspx?id=1&tag=christmas	18	http://cookbooks.com/recipes-search.aspx?page=18	267. CHRISTMAS COOKIES-SINGLE BATCH	http://cookbooks.com/Recipe-Details.aspx?id=76866	"<p class=""H2""><font size=""5"">CHRISTMAS COOKIES-SINGLE BATCH</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  c. shortening<br>1  c. powder sugar<br>2  c. flour<br>1  egg<br>2  Tbsp. milk<br>1  tsp. baking soda<br>1  tsp. cream of tartar<br>1  tsp. vanilla<br>2  c. sugar<br>2  tsp. cinnamon<br>2  c. shredded carrots<br>  1-7 oz. pkg. coconut<br>1  c. chopped nuts<br>2  c. unsifted flour<br>2  tsp. baking soda<br>1  tsp. salt<br>3/4  c. oil<br>3  eggs, unbeaten<br>2  tsp. vanilla<br>1 small  can crushed pineapple, drain<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Bake for 45 minutes at 350 degrees in a 9 x 13 pan.  Test for doneness with a toothpick.</p></td></tr></tbody></table>"
1520707191-45	http://cookbooks.com/	Christmas	http://cookbooks.com/recipes-search.aspx?id=1&tag=christmas	19	http://cookbooks.com/recipes-search.aspx?page=19	281. CHRISTMAS CRUNCH	http://cookbooks.com/Recipe-Details.aspx?id=78590	"<p class=""H2""><font size=""5"">CHRISTMAS CRUNCH</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  large bag M&amp;M's  (in Christmas colors)<br>1  jar dry roasted peanuts (with salt)<br>1/2  box Golden Grahams cereal<br>  pretzel sticks (optional)<br>1  lb. vanilla almond bark<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Mix together all of the ingredients and spread mixture out on waxed paper. Melt almond bark in microwave and pour over mixture. Let cool and crumble up. Store in covered container.</p></td></tr></tbody></table>"
1520707501-185	http://cookbooks.com/	Christmas	http://cookbooks.com/recipes-search.aspx?id=1&tag=christmas	10	http://cookbooks.com/recipes-search.aspx?page=10	141. CHRISTMAS CHEESE BALL	http://cookbooks.com/Recipe-Details.aspx?id=33851	"<p class=""H2""><font size=""5"">CHRISTMAS CHEESE BALL</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">  equal amounts of cream cheese and Cheddar cheese<br>  dash of Worcestershire sauce<br>1/2  tsp. garlic powder<br>  dash of cracked pepper<br>1/4  c. chives<br>1/2  c. chopped nuts<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Mix equal amounts of cream cheese and Cheddar cheese. Roll into log or ball. Place line of chili powder on wax paper and roll. Sprinkle top with chives, paprika and pepper.</p></td></tr></tbody></table>"
