web-scraper-order,web-scraper-start-url,cat,cat-href,page,page-href,title,title-href,info
"1522280595-676","http://www.cookbooks.com/","Dessert","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Dessert","12","http://www.cookbooks.com/recipes-search.aspx?page=12","166. PEACHY DESSERT SAUCE","http://www.cookbooks.com/Recipe-Details.aspx?id=20151","<p class=""H2""><font size=""5"">PEACHY DESSERT SAUCE</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  tsp. cornstarch<br>1/4  c. water<br>2  Tbsp. apricot jam or preserves<br>1/2  tsp. lemon juice<br>1 1/2  tsp. sugar<br>3/4  c. sliced fresh or canned peaches<br>  vanilla ice cream<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      In small saucepan, mix cornstarch and water.  Add the jam, lemon juice and sugar.  Bring to a boil.  Cook and stir for 1 to 2 minutes; reduce heat.  Add peaches and heat through.  Serve warm over ice cream.  Yield:  3/4 cup.</p></td></tr></tbody></table>"
"1522280474-626","http://www.cookbooks.com/","Dessert","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Dessert","15","http://www.cookbooks.com/recipes-search.aspx?page=15","216. FRUIT AND CHEESE DESSERT","http://www.cookbooks.com/Recipe-Details.aspx?id=29048","<p class=""H2""><font size=""5"">FRUIT AND CHEESE DESSERT</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  sticks butter, softened<br>2  c. flour<br>2  Tbsp. sugar<br>8  oz. Cool Whip<br>2 (21 oz.)  cans favorite pie filling<br>8  oz. cream cheese<br>3/4  c. powdered sugar<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Mix and press onto sided cookie sheet the butter, flour and sugar. Bake 20 minutes at 350°.  Cool.</p><p class=""H1"">      Beat cream cheese and powdered sugar. Fold in Cool Whip. Spread on cooled crust. Top with pie filling. Refrigerate.</p></td></tr></tbody></table>"
"1522280754-744","http://www.cookbooks.com/","Dessert","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Dessert","7","http://www.cookbooks.com/recipes-search.aspx?page=7","98. CHOCOLATE LAYER DESSERT","http://www.cookbooks.com/Recipe-Details.aspx?id=15596","<p class=""H2""><font size=""5"">CHOCOLATE LAYER DESSERT</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  c. flour<br>1  stick butter<br>1  (8 oz.) cream cheese<br>1  large tub Cool Whip<br>1  c. powdered sugar<br>1  tsp. vanilla<br>1 large  box chocolate pudding<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Melt butter in 8 x 13 casserole dish.  Add flour and mix to form a crust on the bottom of dish.  Bake at 400° for 10 minutes until light brown.  Cool.  Mix together cream cheese, 1/2 of Cool Whip and powdered sugar.  Spread on top of crust.  Prepare pudding according to package directions and layer on top of cream cheese mixture.  Top pudding layer with rest of Cool Whip.  Refrigerate for 4 hours or overnight.</p></td></tr></tbody></table>"
"1522280349-572","http://www.cookbooks.com/","Dessert","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Dessert","18","http://www.cookbooks.com/recipes-search.aspx?page=18","270. DRUMSTICK DESSERT","http://www.cookbooks.com/Recipe-Details.aspx?id=30410","<p class=""H1"">Could NOT Open Recipe Page Due To:</p>Conversion from type 'DBNull' to type 'String' is not valid."
"1522280871-785","http://www.cookbooks.com/","Dessert","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Dessert","4","http://www.cookbooks.com/recipes-search.aspx?page=4","57. FOUR LAYER DESSERT","http://www.cookbooks.com/Recipe-Details.aspx?id=14522","<p class=""H2""><font size=""5"">FOUR LAYER DESSERT</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  stick margarine<br>1  c. chopped nuts<br>1  c. flour<br>1 (8 oz.)  pkg. cream cheese<br>1  c. confectioner sugar<br>1  c. Cool Whip for layer, more to top whole dessert<br>1  box vanilla instant pudding<br>1  box chocolate instant pudding<br>  Enough milk to make puddings<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Melt 1 stick margarine, mix with nuts and flour.  Put evenly in pan and bake.  Let cool.</p><p class=""H1"">      Layer 1:  Mix cream cheese, confectioner sugar, Cool Whip together and spread on top of cooled crust.</p><p class=""H1"">      Layer 2:  Vanilla instant pudding as directed on package.</p><p class=""H1"">      Layer 3:  Chocolate instant pudding as directed on package.</p><p class=""H1"">      Layer 4:  Top with more cool whip.</p></td></tr></tbody></table>"
"1522280534-651","http://www.cookbooks.com/","Dessert","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Dessert","13","http://www.cookbooks.com/recipes-search.aspx?page=13","191. HEATH BAR DESSERT","http://www.cookbooks.com/Recipe-Details.aspx?id=28230","<p class=""H2""><font size=""5"">HEATH BAR DESSERT</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  c. Ritz crackers (crushed)<br>1  stick margarine<br>1  tsp. sugar<br>2 small  boxes French vanilla instant pudding<br>2  c. milk<br>1  qt. vanilla ice cream<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Spread on top of crumbs mixture.  Refrigerate 1/2 hour.  Top with 8 ounce Cool Whip.  Sprinkle frozen Heath bars on top.</p></td></tr></tbody></table>"
"1522280720-729","http://www.cookbooks.com/","Dessert","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Dessert","8","http://www.cookbooks.com/recipes-search.aspx?page=8","113. PEACHES AND CREAM DESSERT","http://www.cookbooks.com/Recipe-Details.aspx?id=16093","<p class=""H1"">Could NOT Open Recipe Page Due To:</p>Conversion from type 'DBNull' to type 'String' is not valid."
"1522280960-822","http://www.cookbooks.com/","Dessert","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Dessert","2","http://www.cookbooks.com/recipes-search.aspx?page=2","20. REFRIGERATOR DESSERT","http://www.cookbooks.com/Recipe-Details.aspx?id=13370","<p class=""H2""><font size=""5"">REFRIGERATOR DESSERT</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  sleeves graham crackers<br>1  pkg. vanilla pudding (Not Instant)<br>1  pkg. chocolate pudding (Not Instant)<br>  Cool Whip<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Prepare puddings according to package directions.  Line graham crackers on bottom and sides of square pan.  Pour vanilla pudding on graham crackers and smooth out, put another layer of graham crackers and top this with the chocolate pudding then top with Cool Whip.  Keep refrigerated.  Enjoy!</p></td></tr></tbody></table>"
"1522280790-760","http://www.cookbooks.com/","Dessert","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Dessert","6","http://www.cookbooks.com/recipes-search.aspx?page=6","82. APPLE ENCHILADA DESSERT","http://www.cookbooks.com/Recipe-Details.aspx?id=15120","<p class=""H2""><font size=""5"">APPLE ENCHILADA DESSERT</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 (21 oz.)  can apple pie filling<br>6  (8-inch) flour tortillas<br>1  tsp. ground cinnamon<br>1/3  c. margarine<br>1/2  c. white sugar<br>1/2  c. packed brown sugar<br>1/2  c. water<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">	Preheat oven 350°. Spoon fruit evenly onto all tortillas, sprinkle with cinnamon. Roll up tortillas and place seam side down on lightly greased baking pan. Bring margarine, sugars, and water to boil in a medium saucepan. Reduce heat and simmer, stirring constantly for about 3 minutes. Pour sauce evenly over tortillas, sprinkle with extra cinnamon on top if desired. Bake in preheated oven for 20 minutes.</p></td></tr></tbody></table>"
"1522280499-635","http://www.cookbooks.com/","Dessert","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Dessert","14","http://www.cookbooks.com/recipes-search.aspx?page=14","207. CREAM PUFF DESSERT","http://www.cookbooks.com/Recipe-Details.aspx?id=28830","<p class=""H2""><font size=""5"">CREAM PUFF DESSERT</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  c. water<br>1/2  c. margarine<br>1  c. flour<br>5  eggs<br>1 large  box instant vanilla pudding<br>1/2  tsp. almond flavoring<br>8  oz. cream cheese<br>8  oz. Cool Whip<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Bring water and margarine to boil and then add flour. Add eggs, one at a time. Spread on a greased jelly roll pan. Bake at 425° for 20 minutes. Push down lightly with fingers. Cool. Prepare vanilla pudding. Add almond flavoring and cream cheese. Spread on cool crust. Top with Cool Whip. Drizzle with chocolate syrup. Cool and serve.</p></td></tr></tbody></table>"
