web-scraper-order,web-scraper-start-url,category,category-href,page,page-href,title,title-href,info
"1520711036-1401","http://www.cookbooks.com/","Dinner Party","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=party","8","http://www.cookbooks.com/recipes-search.aspx?page=8","116. ZESTY PARTY MIX","http://www.cookbooks.com/Recipe-Details.aspx?id=19239","<p class=""H2""><font size=""5"">ZESTY PARTY MIX</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1/3  c. squeeze margarine<br>2  qt. popped corn<br>3  c. bite size crispy bran squares<br>1  c. dry roasted peanuts<br>1/2  c. (2 oz.) grated parmesan cheese<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Pour margarine over combine popped corn, cereal and peanuts; toss until well coated. Sprinkle with cheese; toss lightly. Place in 15 x 10 x 1 inch jelly roll pan. Bake at 250° for 1 hour, stirring occasionally.  Makes 2 1/2 quarts.</p></td></tr></tbody></table>"
"1520711102-1430","http://www.cookbooks.com/","Dinner Party","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=party","6","http://www.cookbooks.com/recipes-search.aspx?page=6","87. PARTY CANDIES","http://www.cookbooks.com/Recipe-Details.aspx?id=18047","<p class=""H2""><font size=""5"">PARTY CANDIES</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1/3  c. butter, softened<br>1/3  c. light corn syrup<br>1/2  tsp. salt<br>1  tsp. vanilla<br>1/2 to 1  tsp. almond, lemon or mint extract<br>4 3/4  c. sifted powdered sugar (about 1 lb.)<br>  food coloring<br>  granulated sugar<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Stir together butter, corn syrup, salt, vanilla and desired extract.  Gradually add powdered sugar and stir until the mixture is smooth.  Knead in the last of the powdered sugar with your hands.  Add desired food coloring.  Knead until the food coloring is evenly distributed.  Roll candy into balls; coat with granulated sugar and press into molds.  Remove from molds.  Cover candies with paper towels; let dry overnight.  Store in a tightly covered container.  Makes 96 candies.</p></td></tr></tbody></table>"
"1520711215-1480","http://www.cookbooks.com/","Dinner Party","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=party","3","http://www.cookbooks.com/recipes-search.aspx?page=3","37. PARTY MEATBALLS","http://www.cookbooks.com/Recipe-Details.aspx?id=3591","<p class=""H2""><font size=""5"">PARTY MEATBALLS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 1/2  lb. ground beef<br>1/2  c. dry bread crumbs<br>1/2  c. milk<br>1  egg, beaten<br>1/2  onion, chopped<br>1 1/2  tsp. salt<br>1/4  tsp. black pepper<br>1/2  tsp. garlic salt<br>2  c. tomato sauce with onion bits<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Combine ingredients except sauce. Shape mixture into balls. Place in shallow pan and bake 30 minutes at 350°. Drain off fat. Pour sauce over meatballs and bake 30 minutes more at 350°.</p></td></tr></tbody></table>"
"1520710664-1236","http://www.cookbooks.com/","Dinner Party","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=party","19","http://www.cookbooks.com/recipes-search.aspx?page=19","281. PARTY MIX CANDY","http://www.cookbooks.com/Recipe-Details.aspx?id=60856","<p class=""H2""><font size=""5"">PARTY MIX CANDY</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">  1-6 oz chocolate chips<br>1/2  c. peanut butter<br>1/2  stick butter<br>2  c. rice chex<br>1  c. nuts<br>1  c. raisins<br>1  c. cheerios<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Melt first three ingredients.  In a large bowl mix all other ingredients together; add melted chocolate mixture.  Mix very well then add one box of powdered sugar.  Stir until all candy is coated.</p></td></tr></tbody></table>"
"1520710693-1249","http://www.cookbooks.com/","Dinner Party","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=party","18","http://www.cookbooks.com/recipes-search.aspx?page=18","268. PARTY NIBBLES","http://www.cookbooks.com/Recipe-Details.aspx?id=49891","<p class=""H2""><font size=""5"">PARTY NIBBLES</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">6  oz. seasoned croutons<br>6  oz. fish shaped crackers<br>6.5  oz. pretzel twists<br>12  oz. can mixed nuts<br>1  c. pecans<br>3/4  c. margarine, melted<br>1  tsp. hickory flavored salt<br>1/4  tsp. garlic powder<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Combine first 5 ingredients in a large roasting pan. Stir well. Combine the next 3 ingredients and stir well. Drizzle over nut mixture. Stir well. Bake at 250° for 1 hour. Stir every 15 minutes. Makes 3 quarts.</p></td></tr></tbody></table>"
"1520711200-1473","http://www.cookbooks.com/","Dinner Party","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=party","3","http://www.cookbooks.com/recipes-search.aspx?page=3","44. PARTY SANDWICHES","http://www.cookbooks.com/Recipe-Details.aspx?id=3881","<p class=""H2""><font size=""5"">PARTY SANDWICHES</font><br><span class=""H2""><font size=""4""><i>(Egg Filling)  </i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">6  hard-cooked eggs, finely chopped<br>2  Tbsp. chopped pimento<br>  salt and pepper to taste<br>1  Tbsp. chopped chives<br>1/4  c. mayonnaise<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Makes 1 3/4 cups.</p></td></tr></tbody></table>"
"1520710743-1271","http://www.cookbooks.com/","Dinner Party","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=party","17","http://www.cookbooks.com/recipes-search.aspx?page=17","246. SALMON PARTY LOG","http://www.cookbooks.com/Recipe-Details.aspx?id=49002","<p class=""H2""><font size=""5"">SALMON PARTY LOG</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 (16 oz.)  can salmon (2 c.)<br>1 (8 oz.)  pkg. cream cheese, softened<br>1  Tbsp. lemon juice<br>2  tsp. minced onion<br>1  tsp. prepared horseradish<br>1/4  tsp. salt<br>1/4  tsp. liquid smoke<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Drain and flake salmon, removing skin and bones. Combine salmon with remaining ingredients, mixing thoroughly.  Chill several hours. Combine 1/2 cup chopped nuts with 3 tablespoons snipped parsley.  Shape salmon mixture into an 8 x 2-inch log. Roll in nut mixture.  Chill well.  Serve with crackers.</p></td></tr></tbody></table>"
"1520710831-1310","http://www.cookbooks.com/","Dinner Party","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=party","14","http://www.cookbooks.com/recipes-search.aspx?page=14","207. PARTY PUNCH","http://www.cookbooks.com/Recipe-Details.aspx?id=47627","<p class=""H2""><font size=""5"">PARTY PUNCH</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  qt. lime, orange, lemon or raspberry sherbet<br>1 (12 oz.)  can frozen lemonade concentrate, thawed<br>2 liter  bottle Sprite, chilled<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Spoon sherbet into a large punch bowl. Add lemonade concentrate and 1 1/2 cups cold water. Stir just until combined. Slowly pour Sprite down the side of the bowl; stir gently to mix. Makes 32 (4 ounce) servings.</p></td></tr></tbody></table>"
"1520710877-1331","http://www.cookbooks.com/","Dinner Party","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=party","13","http://www.cookbooks.com/recipes-search.aspx?page=13","186. PARTY MIX","http://www.cookbooks.com/Recipe-Details.aspx?id=34459","<p class=""H2""><font size=""5"">PARTY MIX</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">6  Tbsp. oleo<br>4  Tbsp. Worcestershire sauce<br>2  c. Wheat Chex<br>2  c. Corn Chex<br>2  c. Rice Chex<br>6  oz. mixed nuts (optional)<br>  salt to taste<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Heat oven to 250°.  Melt butter in shallow pan.  Stir in sauce and salt.  Add Chex and nuts.  Stir until all is covered.  Bake 15 minutes.  Remove and stir occasionally for 1 hour.  Pour onto a paper towel and cool.  Store in a closed container.</p></td></tr></tbody></table>"
"1520710700-1252","http://www.cookbooks.com/","Dinner Party","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=party","18","http://www.cookbooks.com/recipes-search.aspx?page=18","265. PARTY CHEESE BALL","http://www.cookbooks.com/Recipe-Details.aspx?id=49685","<p class=""H2""><font size=""5"">PARTY CHEESE BALL</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2 (8 oz.)  pkg. cream cheese<br>2  c. (8  oz.) Cracker Barrel sharp Cheddar cheese<br>1  Tbsp. pimento, chopped<br>1  Tbsp. green pepper, chopped<br>1  Tbsp. onion, finely chopped<br>2  tsp. Worcestershire sauce<br>1  tsp. lemon juice<br>  dash of cayenne<br>  dash of salt<br>  pecans, finely chopped<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Combine softened cream cheese and Cheddar cheese, mixing until well blended. Add remaining ingredients except nuts; mix well. Shape into ball; roll in nuts. Serve with crackers.</p></td></tr></tbody></table>"
