web-scraper-order,web-scraper-start-url,category,category-href,page,page-href,title,title-href,info
"1521341656-362","http://cookbooks.com/","Dips","http://cookbooks.com/recipes-search.aspx?id=1&tag=dips","17","http://cookbooks.com/recipes-search.aspx?page=17","252. CLAM DIP","http://cookbooks.com/Recipe-Details.aspx?id=3690","<p class=""H2""><font size=""5"">CLAM DIP</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 7-1/2  oz. can minced, drained clams<br>1/4  c. juice from clams<br>8  oz. cream cheese<br>1  tbsp. chopped onion<br>1/4  tsp. salt<br>2  dashes garlic salt<br>6  drops Tabasco<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Blend in blender 10 seconds. Flash blend for creamy. May use shrimp in place of clams.</p></td></tr></tbody></table>"
"1521341703-384","http://cookbooks.com/","Dips","http://cookbooks.com/recipes-search.aspx?id=1&tag=dips","16","http://cookbooks.com/recipes-search.aspx?page=16","230. CREAM CHEESE ONION DIP","http://cookbooks.com/Recipe-Details.aspx?id=3628","<p class=""H2""><font size=""5"">CREAM CHEESE ONION DIP</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  tub cream cheese, softened<br>1  pkg. onion soup mix<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">	Put ingredients in a bowl and mix together.</p></td></tr></tbody></table>"
"1521341691-378","http://cookbooks.com/","Dips","http://cookbooks.com/recipes-search.aspx?id=1&tag=dips","16","http://cookbooks.com/recipes-search.aspx?page=16","236. SPINACH DIP","http://cookbooks.com/Recipe-Details.aspx?id=3635","<p class=""H2""><font size=""5"">SPINACH DIP</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 (10 oz.)  pkg. frozen chopped spinach, thawed<br>1 1/2  c. sour cream<br>1  c. mayonnaise<br>1  pkg. Knorr vegetable soup mix<br>1 (8 oz.)  can water chestnuts, finely chopped<br>3  green onions, finely chopped<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">	Squeeze spinach until dry. In a medium bowl, stir together spinach, sour cream, mayonnaise, soup mix, water chestnuts and green onions. Cover; refrigerate 2 hours. Serve with crackers or pumpernickel bread.</p></td></tr></tbody></table>"
"1521341769-414","http://cookbooks.com/","Dips","http://cookbooks.com/recipes-search.aspx?id=1&tag=dips","14","http://cookbooks.com/recipes-search.aspx?page=14","200. QUICK PICANTE DIP","http://cookbooks.com/Recipe-Details.aspx?id=3490","<p class=""H2""><font size=""5"">QUICK PICANTE DIP</font><br><span class=""H2""><font size=""4""><i>(Simple, But Surprisingly Good!)  </i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 (8 oz.)  pkg. Philadelphia cream cheese, softened<br>1 (8 oz.)  jar Pace Picante Sauce<br>  Cilantro for garnish<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Mix ingredients thoroughly and chill.  Garnish with cilantro sprig.  This is the basic recipe.  You can determine the ""hot"" factor of this dip by choosing mild, medium or hot Picante sauce. Also, the Picante sauce can be replaced with any good restaurant salsa or your own favorite salsa recipe.  If you really want to spice it up, add some fresh jalapeo pepper, chopped very fine.</p></td></tr></tbody></table>"
"1521341689-377","http://cookbooks.com/","Dips","http://cookbooks.com/recipes-search.aspx?id=1&tag=dips","16","http://cookbooks.com/recipes-search.aspx?page=16","237. TACO DIP I","http://cookbooks.com/Recipe-Details.aspx?id=3636","<p class=""H2""><font size=""5"">TACO DIP I</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 (8 oz.)  pkg. cream cheese<br>1  can chili beans (Hormel)<br>1  (12 oz.) Cheddar cheese<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">	In a 9 x 13 glass pan, spread cream cheese on bottom of pan. Pour chili beans over cream cheese. Sprinkle Cheddar cheese on top. Bake in 375° oven until cheese is melted. Serve with nacho chips.</p></td></tr></tbody></table>"
"1521341650-359","http://cookbooks.com/","Dips","http://cookbooks.com/recipes-search.aspx?id=1&tag=dips","17","http://cookbooks.com/recipes-search.aspx?page=17","255. CURRIED CHICKEN DIP","http://cookbooks.com/Recipe-Details.aspx?id=3696","<p class=""H2""><font size=""5"">CURRIED CHICKEN DIP</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">4  c. cooked shredded Chicken<br>1  c. Mayonnaise<br>1  c. Sour Cream<br>1 lg.  jar diced Pimento<br>1/2  tsp. Curry Powder<br>1/4  c. chopped Nuts<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Mix all ingredients together. Serve with crackers.</p></td></tr></tbody></table>"
"1521341587-332","http://cookbooks.com/","Dips","http://cookbooks.com/recipes-search.aspx?id=1&tag=dips","19","http://cookbooks.com/recipes-search.aspx?page=19","282. VEGETABLE DIP","http://cookbooks.com/Recipe-Details.aspx?id=3801","<p class=""H2""><font size=""5"">VEGETABLE DIP</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2/3  c. mayonnaise<br>2/3  c. sour cream<br>1  tsp. Beau Monde<br>1  tsp. dill weed<br>1  Tbsp. onion<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Mix well.  Serve with a variety of vegetables, raw.</p></td></tr></tbody></table>"
"1521341974-507","http://cookbooks.com/","Dips","http://cookbooks.com/recipes-search.aspx?id=1&tag=dips","8","http://cookbooks.com/recipes-search.aspx?page=8","107. SEAFOOD DIP","http://cookbooks.com/Recipe-Details.aspx?id=3105","<p class=""H2""><font size=""5"">SEAFOOD DIP</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  pkg. cream cheese<br>1 (8 oz.)  can crab<br>2  Tbsp. finely chopped onion<br>1  tsp. Worcestershire<br>1  Tbsp. garlic<br>  Mozzarella cheese, shredded<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Stir cream cheese (softened) and add all the rest of the ingredients, except cheese. Spread in a 9-inch pie pan. Top with cheese. Bake, uncovered, at 375° for 25 minutes until lightly browned. Serve with crackers, chips, etc.</p></td></tr></tbody></table>"
"1521341863-456","http://cookbooks.com/","Dips","http://cookbooks.com/recipes-search.aspx?id=1&tag=dips","11","http://cookbooks.com/recipes-search.aspx?page=11","158. DILLY DIP","http://cookbooks.com/Recipe-Details.aspx?id=3305","<p class=""H2""><font size=""5"">DILLY DIP</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  c. sour cream<br>1  c. mayonnaise<br>1  Tbsp. fresh dill, finely chopped<br>1 heaping  Tbsp. chopped parsley<br>1 heaping  Tbsp. green onion, minced<br>1  whole red cabbage<br>  salt and pepper<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      In large bowl, mix together all ingredients except red cabbage.  Let set in refrigerator for a few hours or overnight. Add extra dill, parsley or onions if desired.  Hollow out the red cabbage and fill with dip.  Serve with raw vegetables.</p></td></tr></tbody></table>"
"1521341697-381","http://cookbooks.com/","Dips","http://cookbooks.com/recipes-search.aspx?id=1&tag=dips","16","http://cookbooks.com/recipes-search.aspx?page=16","233. FRUIT DIP II","http://cookbooks.com/Recipe-Details.aspx?id=3631","<p class=""H2""><font size=""5"">FRUIT DIP II</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 (7 oz.)  jar Marshmallow Creme<br>1/2  c. confectioners sugar<br>1 (8 oz.)  pkg. cream cheese<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">	Mix well with mixer. Serve with strawberries, cantaloupe or honeydew melon.</p></td></tr></tbody></table>"
