web-scraper-order,web-scraper-start-url,category,category-href,page,page-href,title,title-href,info
"1520706835-15","http://www.cookbooks.com/","Favorites","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=favorite","20","http://www.cookbooks.com/recipes-search.aspx?page=20","286. BEEF ENCHILADAS","http://www.cookbooks.com/Recipe-Details.aspx?id=53543","<p class=""H2""><font size=""5"">BEEF ENCHILADAS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><table width=""100%"" border=""0"" cellspacing=""2"" cellpending=""5""><tbody><tr><td valign=""top""><p class=""H2""><img src=""images-new/recipe-categories/meat-beef-enchiladas.jpg"" alt=""BEEF ENCHILADAS"" border=""0"" width=""200""></p></td><td valign=""middle""><p class=""H1""></p></td></tr></tbody></table><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 1/2  lb. ground beef<br>1 large  pkg. shredded Monterey Jack cheese<br>1 large  pkg. shredded mild Cheddar cheese<br>1  red or green bell pepper, chopped<br>1  onion, chopped<br>1 small  can tomato paste<br>1  pkg. enchilada seasoning<br>10  tortillas<br>2  cans enchilada sauce (mild)<br>  sour cream<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Saut onion and peppers in small amount of oil until tender. Add ground beef and cook until browned; drain well.  Add enchilada seasoning, tomato paste and 1 3/4 cups water.  Simmer, uncovered, on low until liquid is absorbed.  On each tortilla, spread meat mixture, 1 tablespoon sour cream and Monterey Jack cheese.  Roll up and place in casserole dish.  Pour enchilada sauce over top and sprinkle with Cheddar cheese.  Bake at 300° until cheese melts, about 25 to 30 minutes.</p></td></tr></tbody></table>"
"1520707031-99","http://www.cookbooks.com/","Favorites","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=favorite","12","http://www.cookbooks.com/recipes-search.aspx?page=12","170. SPAGHETTI SAUCE","http://www.cookbooks.com/Recipe-Details.aspx?id=5835","<p class=""H2""><font size=""5"">SPAGHETTI SAUCE</font><br><span class=""H2""><font size=""4""><i>(Large Recipe)  </i></font></span><br></p><table width=""100%"" border=""0"" cellspacing=""2"" cellpending=""5""><tbody><tr><td valign=""top""><p class=""H2""><img src=""images-new/recipe-categories/favorite-spaghetti.jpg"" alt=""SPAGHETTI SAUCE"" border=""0"" width=""200""></p></td><td valign=""middle""><p class=""H1""></p></td></tr></tbody></table><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">5  lb. sweet Italian sausage<br>4  c. finely chopped onions<br>36  oz. tomato paste<br>100  oz. crushed tomatoes in puree<br>6  c. water<br>1/4  c. minced garlic<br>12  bay leaves<br>1/3  c. sugar<br>1/4  c. basil<br>2  Tbsp. oregano<br>3/4  c. parsley<br>2  Tbsp. salt<br>48  oz. pkg. spaghetti or other pasta<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      In a large pot, cook and stir sausage and onions until browned; drain the fat. Add other ingredients except pasta. Mix and bring to boil. Reduce heat; cover slightly and simmer for 2 hours. Stir often. (Sometimes I use a crock-pot.) Makes approximately 36 cups. Cook spaghetti as directed on package.</p></td></tr></tbody></table>"
"1520707080-120","http://www.cookbooks.com/","Favorites","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=favorite","10","http://www.cookbooks.com/recipes-search.aspx?page=10","137. VEGETABLE PIZZA","http://www.cookbooks.com/Recipe-Details.aspx?id=3987","<p class=""H2""><font size=""5"">VEGETABLE PIZZA</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><table width=""100%"" border=""0"" cellspacing=""2"" cellpending=""5""><tbody><tr><td valign=""top""><p class=""H2""><img src=""images-new/recipe-categories/pizza-crescents.jpg"" alt=""VEGETABLE PIZZA"" border=""0"" width=""200""></p></td><td valign=""middle""><p class=""H1""></p></td></tr></tbody></table><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  pkg. Pillsbury crescent rolls<br>2 (8 oz.)  pkg. cream cheese, softened<br>1 to 2  pkg. Hidden Valley Ranch dressing mix<br>1  pkg. finely shredded mild cheddar cheese<br>1  pkg. finely shredded Monterey Jack and colby cheese<br>  raw vegetables (broccoli, cauliflower, carrots, radishes), cut up fine<br>  small amount of mayonnaise to spread<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Place unrolled crescents on large cookie sheet.  Bake at 375° for 11 to 13 minutes.  Cool completely.  Mix cream cheese, dressing and mayonnaise to make a creamy spread.  Spread on rolls. Crumble veggies over cream cheese mixture.  Top with shredded cheese.  Serve.</p></td></tr></tbody></table>"
"1520706881-33","http://www.cookbooks.com/","Favorites","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=favorite","17","http://www.cookbooks.com/recipes-search.aspx?page=17","255. GLAZED SALMON","http://www.cookbooks.com/Recipe-Details.aspx?id=7793","<p class=""H2""><font size=""5"">GLAZED SALMON</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><table width=""100%"" border=""0"" cellspacing=""2"" cellpending=""5""><tbody><tr><td valign=""top""><p class=""H2""><img src=""images-new/recipe-categories/grilling-glazed-salmon.jpg"" alt=""GLAZED SALMON"" border=""0"" width=""200""></p></td><td valign=""middle""><p class=""H1""></p></td></tr></tbody></table><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1/4  c. olive oil<br>3  Tbsp. molasses<br>2  cloves garlic, minced<br>3/4  tsp. grated lemon rind<br>4  skinless salmon fillet chunks (8 oz. each)<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Combine oil, molasses, garlic and lemon rind. Mix well. Place salmon in shallow dish. Add marinade, turning to coat on all sides. Cover and refrigerate 2 hours, turning often. Broil or barbecue salmon, starting skin side down and turning once, 3 to 4 minutes per side or until fish flakes easily. Brush often with marinade.</p></td></tr></tbody></table>"
"1520706810-3","http://www.cookbooks.com/","Favorites","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=favorite","20","http://www.cookbooks.com/recipes-search.aspx?page=20","298. Angel Hair Pasta with Chicken","http://www.cookbooks.com/Recipe-Details.aspx?id=34928","<p class=""H2""><font size=""5"">Angel Hair Pasta with Chicken</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><table width=""100%"" border=""0"" cellspacing=""2"" cellpending=""5""><tbody><tr><td valign=""top""><p class=""H2""><img src=""images-new/recipe-categories/pasta-angel-hair-pasta.jpg"" alt=""Angel Hair Pasta with Chicken"" border=""0"" width=""200""></p></td><td valign=""middle""><p class=""H1""></p></td></tr></tbody></table><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">6  skinless, boneless chicken breast halves<br>1/4  c. butter<br>1  pkg dry Italian style salad dressing mix (.07-oz)<br>1/2  c. white wine<br>1 (10.75 oz)  can condensed golden mushroom soup<br>4  ounces cream cheese with chives<br>1  lb. angel hair pasta<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Preheat oven to 325°.  In a large saucepan, melt butter over low heat.  Stir in the package of dressing mix.  Blend in wine and golden mushroom soup.  Mix in cream cheese, and stir until smooth. Heat through, but do not boil.  Arrange chicken breast in a single layer in a 9 x 13 inch baking dish.  Pour sauce over.  Bake for 60 minutes in the preheated oven.  Twenty minutes before the chicken is done, bring a large pot of lightly salted water to a boil.  Cook pasta until al dente, about 5 minutes.  Drain.  Serve chicken and sauce over pasta.</p></td></tr></tbody></table>"
"1520707088-123","http://www.cookbooks.com/","Favorites","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=favorite","9","http://www.cookbooks.com/recipes-search.aspx?page=9","134. BEST STRAWBERRY SHORTCAKE","http://www.cookbooks.com/Recipe-Details.aspx?id=13805","<p class=""H2""><font size=""5"">BEST STRAWBERRY SHORTCAKE</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><table width=""100%"" border=""0"" cellspacing=""2"" cellpending=""5""><tbody><tr><td valign=""top""><p class=""H2""><img src=""images-new/recipe-categories/cakes-strawberry-shortcake.jpg"" alt=""BEST STRAWBERRY SHORTCAKE"" border=""0"" width=""200""></p></td><td valign=""middle""><p class=""H1""></p></td></tr></tbody></table><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  boxes yellow cake mix<br>8  eggs<br>1/2  c. oil<br>2  c. water<br>2  tsp. vanilla<br>2  pkg. Dream Whip<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Mix all and beat for 4 minutes on medium speed. Pour into a 12 x 18 inch pan that has been greased and floured. Tap to remove all air bubbles. Bake at 350° for about 45 minutes. Cut into 25 to 28 pieces.</p></td></tr></tbody></table><p class=""H3""><strong>Topping:</strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">4  c. sugar<br>4  c. water<br>8  tsp. cornstarch<br>8  tsp. white Karo syrup<br>24  tsp. strawberry jello<br>  fresh strawberries (4 to 5 pints)<br>  Cool Whip<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Combine sugar and corn starch; add water and Karo. Cook until thickened slightly. Remove from heat; add jello and strawberries; stir until jello is dissolved. Cool; pour heaping spoonfuls over cake. Top with Cool Whip.</p><p class=""H1"">      Tip: This topping will gel when refrigerated. When needed the next time, take out amount needed and place in microwave to heat.</p></td></tr></tbody></table>"
"1520706873-30","http://www.cookbooks.com/","Favorites","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=favorite","18","http://www.cookbooks.com/recipes-search.aspx?page=18","270. BASIC FISH CHOWDER","http://www.cookbooks.com/Recipe-Details.aspx?id=82044","<p class=""H1"">Could NOT Open Recipe Page Due To:</p>Conversion from type 'DBNull' to type 'String' is not valid."
"1520706955-65","http://www.cookbooks.com/","Favorites","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=favorite","14","http://www.cookbooks.com/recipes-search.aspx?page=14","204. GARLIC AND TOMATO SALAD","http://www.cookbooks.com/Recipe-Details.aspx?id=21346","<p class=""H2""><font size=""5"">GARLIC AND TOMATO SALAD</font><br><span class=""H2""><font size=""4""><i>(Russia)  </i></font></span><br></p><table width=""100%"" border=""0"" cellspacing=""2"" cellpending=""5""><tbody><tr><td valign=""top""><p class=""H2""><img src=""images-new/recipe-categories/salad-tomato.jpg"" alt=""GARLIC AND TOMATO SALAD"" border=""0"" width=""200""></p></td><td valign=""middle""><p class=""H1""></p></td></tr></tbody></table><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">6  ripe tomatoes coarsely chopped<br>3 large  cloves garlic minced finely<br>  Walnut oil (any plain oil will do, the walnut oil gives it the best taste)<br>  Salt<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Put the chopped tomatoes in a salad bowl, add garlic and salt to taste. Allow to sit for a few minutes so the juices come out of the tomatoes. Add a small amount of oil, toss, and serve.</p></td></tr></tbody></table>"
"1520706987-79","http://www.cookbooks.com/","Favorites","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=favorite","13","http://www.cookbooks.com/recipes-search.aspx?page=13","190. PINEAPPLE CREAM CAKE","http://www.cookbooks.com/Recipe-Details.aspx?id=46855","<p class=""H2""><font size=""5"">PINEAPPLE CREAM CAKE</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><table width=""100%"" border=""0"" cellspacing=""2"" cellpending=""5""><tbody><tr><td valign=""top""><p class=""H2""><img src=""images-new/recipe-categories/cakes-pineapple-cream-cake.jpg"" alt=""PINEAPPLE CREAM CAKE"" border=""0"" width=""200""></p></td><td valign=""middle""><p class=""H1""></p></td></tr></tbody></table><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  box Jiffy yellow cake mix<br>1/4  c. cooking oil<br>1 (20 oz.)  can crushed pineapple, drained<br>1 large  box instant vanilla pudding mix<br>3  c. milk<br>1  c. coconut<br>1  (8 oz.) cream cheese, softened<br>1  (8 oz.) Cool Whip (room temp)<br>1/2  c. chopped nuts<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Preheat oven to 325°.  Make cake according to directions on box, plus add the oil.  Bake in 9 X 13-inch glass pan for 20 minutes. Cool completely.</p><p class=""H1"">      Mix instant pudding and milk, beating with a mixer until thick.  Add coconut and cream cheese, beating until well blended. Spread on the cooled cake.</p><p class=""H1"">      Mix Cool Whip and drained crushed pineapple.  Spread on the pudding mixture.  Sprinkle chopped nuts on top.  Refrigerate until serving time.</p></td></tr></tbody></table>"
"1520706806-1","http://www.cookbooks.com/","Favorites","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=favorite","20","http://www.cookbooks.com/recipes-search.aspx?page=20","300. CHICKEN AND CHEESE ROLLUPS","http://www.cookbooks.com/Recipe-Details.aspx?id=37856","<p class=""H2""><font size=""5"">CHICKEN AND CHEESE ROLLUPS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><table width=""100%"" border=""0"" cellspacing=""2"" cellpending=""5""><tbody><tr><td valign=""top""><p class=""H2""><img src=""images-new/recipe-categories/chicken-rollups.jpg"" alt=""CHICKEN AND CHEESE ROLLUPS"" border=""0"" width=""200""></p></td><td valign=""middle""><p class=""H1""></p></td></tr></tbody></table><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">4  chicken breasts, halved<br>4  slices Monterey Jack, halved<br>3  eggs<br>1/2  c. chicken broth<br>1  Tbsp. parsley<br>  salt &amp; pepper<br>4  Tbsp. flour<br>1/2  c. breadcrumbs<br>4  Tbsp. butter<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Flatten chicken to 1/8 inch thickness.  Sprinkle with salt &amp; pepper.  Place one slice of cheese on each breast.  Fold in sides of breasts and roll up, securing with wood toothpicks.  Roll chicken in flour, then egg, then breadcrumbs.  Place in baking dish and and bake uncovered at 350 degrees for 30 minutes.  In saucepan, mix broth, butter and parsley.  Heat until butter is melted and pour over chicken.  Bake another 10 minutes, remove toothpicks and serve.</p></td></tr></tbody></table>"
