web-scraper-order,web-scraper-start-url,cat,cat-href,title,title-href,info
"1520657579-601","http://www.cookbooks.com/","Healthy","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Healthy&strSearch=Healthy%20Lite","6. ""LITE"" BANANA SPLIT DESSERT","http://www.cookbooks.com/Recipe-Details.aspx?id=606816","<p class=""H2""><font size=""5"">""LITE"" BANANA SPLIT DESSERT</font><br><span class=""H2""><font size=""4""><i>(140 Calories Per Serving)  </i></font></span><br></p><table width=""100%"" border=""0"" cellspacing=""2"" cellpending=""5""><tbody><tr><td valign=""top""><p class=""H2""><img src=""images-new/recipe-categories/banana-pie.jpg"" alt=""&quot;LITE&quot; BANANA SPLIT DESSERT"" border=""0"" width=""200""></p></td><td valign=""middle""><p class=""H1""></p></td></tr></tbody></table><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">4  c. corn flakes<br>1/2  c. diet margarine<br>1/3  c. Sweet 'N Low (4 packets)<br>3  boxes sugar-free vanilla pudding and pie filling<br>6  c. 2% milk<br>3  1/2 bananas<br>2 (20 oz.)  c. crushed pineapple, drained<br>1  (12 oz.) lite Cool Whip<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Heat oven to 375°.  Mix crushed cereal, margarine and Sweet 'N Low in bowl.  Pat mixture in 13 x 9 x 2-inch ungreased pan.  Bake 10 minutes.  Cool.</p><p class=""H1"">      Prepare pudding and pie filling as directed.  Refrigerate 10 minutes.  Slice bananas.  Arrange on crust.  Spread pudding over bananas.  Top with pineapple.  Spread whipped topping to the edges of pan.  Refrigerate for 2 hours before serving.</p></td></tr></tbody></table>"
"1520656998-342","http://www.cookbooks.com/","Sushi","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=sushi","4. SUSHI ""ALIVE""","http://www.cookbooks.com/Recipe-Details.aspx?id=253590","<p class=""H2""><font size=""5"">SUSHI ""ALIVE""</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1/4  c. sesame seeds<br>1/2  c. raw cashews<br>3/4  c. lentil sprouts<br>1  medium carrot<br>1/2  small green bell pepper<br>1  (4 inch) celery stalk<br>2  Tbsp. olive oil<br>1  leaf Chinese cabbage<br>2  tsp. tamari or soy sauce<br>8  sheets toasted nori<br>1  large tomato, halved and thinly sliced<br>  alfalfa and sunflower seed sprouts<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Place the sesame seeds, cashews and lentil sprouts in a food processor and process until thick and meaty.  Add the carrot, pepper, and celery and process until smooth.  Add the olive oil, cabbage and tamari and process until the cabbage is chopped but not liquified.  The cabbage should add some texture to the mixture.  Spread approximately 1/2 cup filling on the lower half of a sheet of nori.  Add a line of sliced tomatoes and sprouts. Roll and eat immediately or wrap in a plastic wrap and store until ready to use.  As the sushi sits, nori becomes less crunchy.</p></td></tr></tbody></table>"
"1520657412-526","http://www.cookbooks.com/","*Member Recipes","http://www.cookbooks.com/recipes-search.aspx?tag=Member","10. Cheese Fondue","http://www.cookbooks.com/Recipe-Details.aspx?id=1086412","<p class=""H2""><font size=""5"">Cheese Fondue</font><br><span class=""H2""><font size=""4""><i>  </i></font></span><br></p><table width=""100%"" border=""0"" cellspacing=""2"" cellpending=""5""><tbody><tr><td valign=""top""></td><td valign=""middle""><p class=""H1"">Servings: 4<br>Cooking Time: 30 minutes<br>Cuisine: American<br></p></td></tr></tbody></table><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">3  Tbsp. margarine <br>3  Tbsp. flour <br>1/2  tsp. garlic salt <br>1/2  tsp. salt <br>  
dash of pepper, nutmeg and Tabasco<br>2  1/2 c. milk <br>1  lb. American cheese <br>1  tsp. Worcestershire sauce <br>1/3  c. milk <br>2  Tbsp. milk <br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">Melt margarine in fondue set over a moderate, direct heat. Stir in flour, garlic salt, salt, pepper, nutmeg and Tabasco. Stir in milk. Cook until sauce is smooth and slightly thick; lower heat. Add cheese, a small amount at a time and stir until cheese is melted. Stir in Worcestershire sauce and 1/3 cup milk. Cool and eat. Serve with cubes of French bread, raw vegetables or meats.</p><p class=""H1""></p><p class=""H1""></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">notes</span><br><p class=""H1"">   </p><div style=""display:none"">wer54w66sf32re2</div><p></p></td></tr></tbody></table>"
"1520656925-309","http://www.cookbooks.com/","Thanksgiving","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=thanksgiving","7. POST THANKSGIVING TURKEY CASSEROLE","http://www.cookbooks.com/Recipe-Details.aspx?id=9523","<p class=""H2""><font size=""5"">POST THANKSGIVING TURKEY CASSEROLE</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  c. cooked turkey breast, cut into bite-sized pieces<br>2  c. sliced celery<br>1  c. mayonnaise<br>3  Tbsp. grated onion<br>1 to 1 1/2  Tbsp. lemon juice<br>1/4  c. slivered almonds<br>1  c. grated cheese<br>1/2  c. chow mein noodles<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Preheat oven to 350°.   In a 2-quart casserole, combine turkey, celery, mayonnaise, onion and lemon juice.  Top with almonds, cheese and noodles.  Bake 30 minutes.  Makes 4 to 6 servings.</p></td></tr></tbody></table>"
"1520657648-632","http://www.cookbooks.com/","Appetizers","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Appetizer&strSearch=appetizer%20wing%20dig","4. APPETIZER CHICKEN WINGS","http://www.cookbooks.com/Recipe-Details.aspx?id=161160","<p class=""H2""><font size=""5"">APPETIZER CHICKEN WINGS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">3  lb. chicken wings (15 or 16)<br>1/3  c. soy sauce<br>2  Tbsp. salad oil<br>2  Tbsp. chili sauce<br>1  Tbsp. dry sherry (optional)<br>1/2  c. honey<br>2  tsp. salt<br>1/2  tsp. ginger<br>1  clove garlic, pressed or 1/4 tsp. powdered garlic<br>4  drops Tabasco sauce<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Cut wings at joints; remove wing tip.  Wash and pat dry. Combine remaining ingredients in a 9 x 13-inch pan.  Arrange wings, single layer, in marinade.  Cover and refrigerate several hours.  Bake, uncovered, at 370°  for about 30 to 40 minutes. Serves 6 to 8.</p></td></tr></tbody></table>"
"1520657249-454","http://www.cookbooks.com/","Beef","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Beef","12. BARBECUE BEEF ON THE GRILL","http://www.cookbooks.com/Recipe-Details.aspx?id=1394","<p class=""H2""><font size=""5"">BARBECUE BEEF ON THE GRILL</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">4 to 6  lb. loin-eye or rib-eye beef roast<br>  Worcestershire sauce<br>  garlic salt<br>  black pepper<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Salt and pepper roast, using a liberal amount of garlic salt. Marinate in Worcestershire sauce 24 hours or more.  Use enough Worcestershire sauce to cover meat.  You may use a plastic bag to help keep sauce in contact with meat.  Cook in covered charcoal grill for 2 1/2 to 3 hours or until done.  Slice in 1/2 to 3/4 inch thick slices and serve hot.</p></td></tr></tbody></table>"
"1520657282-468","http://www.cookbooks.com/","Fruit","http://www.cookbooks.com/recipes-search.aspx?id=1&strSearch=fruit","13. APPLE PEACH PLUM CAKE","http://www.cookbooks.com/Recipe-Details.aspx?id=818482","<p class=""H2""><font size=""5"">APPLE PEACH PLUM CAKE</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  c. flour<br>1  pinch salt<br>1  tsp. baking powder<br>4  tsp. sugar<br>1/4  c. butter<br>1  egg and enough milk to measure 2/3 c.<br>  apple, peach and plum fruit slices<br>  sugar and cinnamon<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Mix together flour, salt, baking powder and sugar.  Blend in butter.  Break egg in cup and add enough milk to measure 2/3 cup. Mix together.  Pour into pan.  Overlap fruit slices.  Sprinkle with sugar and cinnamon.  Bake at 375° for 25 to 30 minutes.</p></td></tr></tbody></table>"
"1520657357-502","http://www.cookbooks.com/","Soup","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Soup","8. CHILLED SUMMER SQUASH SOUP","http://www.cookbooks.com/Recipe-Details.aspx?id=581","<p class=""H2""><font size=""5"">CHILLED SUMMER SQUASH SOUP</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">4  medium zucchini, washed and cut into 1-inch slices<br>1  large yellow crookneck squash, washed and cut into 1-inch slices<br>1  pattypan squash, quartered<br>1  large onion, thinly sliced<br>1  tsp. finely minced garlic<br>3 to 3 1/2  c. chicken broth<br>  salt and freshly ground white pepper to taste<br>2  Tbsp. finely chopped fresh basil<br>2  Tbsp. finely chopped fresh parsley<br>1  Tbsp. lemon juice<br>1  c. buttermilk<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      In a large saucepan, place all the squash.  Add the onion, garlic, broth, salt and pepper.  Bring to a boil, cover, reduce heat and simmer for 20 to 25 minutes or until the vegetables are very tender.  Allow to cool slightly; puree in a food processor or blender with basil, parsley and lemon juice until smooth.  Place in a container, cover and refrigerate for 6 hours or overnight.  When ready to serve, add the buttermilk.  Whisk until smooth and adjust the seasonings with salt and pepper.  Serve chilled and garnished with chopped basil and parsley.  Serves 6.</p></td></tr></tbody></table>"
"1520657516-573","http://www.cookbooks.com/","Grilling","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=grill","4. GRILLED VEAL CHOPS","http://www.cookbooks.com/Recipe-Details.aspx?id=611","<p class=""H2""><font size=""5"">GRILLED VEAL CHOPS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><table width=""100%"" border=""0"" cellspacing=""2"" cellpending=""5""><tbody><tr><td valign=""top""><p class=""H2""><img src=""images-new/recipe-categories/veal-chops.jpg"" alt=""GRILLED VEAL CHOPS"" border=""0"" width=""200""></p></td><td valign=""middle""><p class=""H1""></p></td></tr></tbody></table><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">4  veal chops, cut 1-inch thick and well trimmed<br>  salt and freshly ground pepper<br>1 1/2  Tbsp. olive oil<br>1  tsp. crumbled Herbes de Provence*<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Preheat an outdoor grill or a broiler.  Place the veal chops in a shallow dish and season with salt and pepper.  Combine the oil with Herbes de Provence and brush lightly over both sides of the chops.  Allow to sit for 15 to 20 minutes at room temperature. Grill the chops for 5 to 6 minutes per side or until the desired degree of doneness.  Serve hot, garnished with parsley or other fresh herbs.  Serves 4.</p><p class=""H1"">      *This is a French blend of herbs available in gourmet food shops and some supermarkets.  If you can't find it, substitute a blend of 1 tablespoon each crumbled dried basil, oregano and thyme and 1/2 teaspoon each crumbled dried sage and ground rosemary; a pinch of dried lavender is optional.</p></td></tr></tbody></table>"
"1520657237-449","http://www.cookbooks.com/","Chicken","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=chicken","2. CHICKEN NOODLE AND VEGETABLE SOUP","http://www.cookbooks.com/Recipe-Details.aspx?id=330","<p class=""H2""><font size=""5"">CHICKEN NOODLE AND VEGETABLE SOUP</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2 (14 1/2 oz.)  cans chicken broth<br>8  oz. boned skinless chicken breast halves<br>1  medium carrot, thinly sliced<br>1  stalk celery, thinly sliced<br>1/4  tsp. dried rosemary, crushed<br>1/4  tsp. dried basil, crushed<br>  dash of poultry seasoning<br>1  oz. fine noodles (1/2 c.)<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      In a large saucepan, bring broth to boiling.  Cut chicken into 1/2-inch cubes and add to broth.  Add carrot, celery, chicken, rosemary, basil and poultry seasoning and bring to boiling.  When broth boils, reduce heat.  Add noodles.  Cover and simmer for 5 to 7 minutes or until chicken is no longer pink and noodles are tender.  Serves 3.</p><p class=""H1"">      Per Serving:  178 Calories, 3 g. Fat, 53 mg.  Cholesterol and 945 mg.  Sodium.</p></td></tr></tbody></table>"
