web-scraper-order,web-scraper-start-url,cat,cat-href,page,page-href,title,title-href,info
"1522285786-2504","http://www.cookbooks.com/","Fish","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Fish","4","http://www.cookbooks.com/recipes-search.aspx?page=4","48. CRISP BAKED FISH FILETS","http://www.cookbooks.com/Recipe-Details.aspx?id=7328","<p class=""H2""><font size=""5"">CRISP BAKED FISH FILETS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  lb. fish filets<br>2  Tbsp. oil<br>1/3  c. cornflake crumbs<br>  salt and pepper to taste<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Preheat oven to 500°. Wash and dry filets and cut into serving pieces. Dip in oil and coat with cornflake crumbs. Arrange in single layer in a lightly oiled shallow baking dish so that the pieces do not touch each other. Season. Bake 10 minutes without turning or basting. Serves 4.</p></td></tr></tbody></table>"
"1522285476-2369","http://www.cookbooks.com/","Fish","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Fish","13","http://www.cookbooks.com/recipes-search.aspx?page=13","183. TUNA FISH SALAD PLATE","http://www.cookbooks.com/Recipe-Details.aspx?id=81127","<p class=""H2""><font size=""5"">TUNA FISH SALAD PLATE</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  cans solid albacore tuna (packed in water)<br>2  stalks chopped celery<br>1/2  Granny Smith apple (unpeeled)<br>1  tsp. finely minced onion<br>2 small sweet pickles, chopped or 2  tsp. pickle relish<br>1/2  c. green grapes, washed and cut in quarters<br>1/4  c. sliced almonds<br>  Miracle Whip (sparingly)<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Drain off all water from tuna.  Separate and mash tuna with a fork.  Mix all ingredients.  Add small amount of Miracle Whip at a time, just enough to hold mixture together.  Chill in refrigerator. Place chilled lettuce leaves on plates.  Add tuna salad (a nice size serving) in middle of lettuce.  Arrange sliced fresh orange, pear halves, tomato wedges, sliced avocado and few ripe olives to garnish.  Serve with crisp crackers.</p></td></tr></tbody></table>"
"1522285838-2527","http://www.cookbooks.com/","Fish","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Fish","2","http://www.cookbooks.com/recipes-search.aspx?page=2","25. GRILLED FISH AND SHRIMP","http://www.cookbooks.com/Recipe-Details.aspx?id=1433","<p class=""H2""><font size=""5"">GRILLED FISH AND SHRIMP</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><table width=""100%"" border=""0"" cellspacing=""2"" cellpending=""5""><tbody><tr><td valign=""top""><p class=""H2""><img src=""images-new/recipe-categories/fish-and-seafood.jpg"" alt=""GRILLED FISH AND SHRIMP"" border=""0"" width=""200""></p></td><td valign=""middle""><p class=""H1""></p></td></tr></tbody></table><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">4  fish fillets<br>1  lb. large shrimp, cleaned<br>1/2  c. butter<br>  juice of 2 lemons<br>1 or 2  cloves garlic, pressed<br>  Greek seasoning<br>1  bell pepper<br>1/2  c. onion, chopped<br>1  tomato, chopped<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Melt butter; add lemon juice and garlic and simmer 1 minute. Season fish and shrimp lightly with Greek seasoning.  Place fish and shrimp in a large sheet of heavy foil with top loosely opened. Baste heavily with lemon butter and garlic sauce.  Add chopped tomato, onion and green pepper.  Place on an outdoor grill and cook about 5 minutes.  This may be baked in oven with foil closed.</p><p class=""H1"">      Scallops may be substituted for shrimp.</p></td></tr></tbody></table>"
"1522285337-2308","http://www.cookbooks.com/","Fish","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Fish","17","http://www.cookbooks.com/recipes-search.aspx?page=17","244. FISH STOCK","http://www.cookbooks.com/Recipe-Details.aspx?id=112585","<p class=""H2""><font size=""5"">FISH STOCK</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  c. white wine<br>2  c. water or chicken broth<br>2  lbs. fish heads, bones or shells<br>1  onion<br>3  springs parsley<br>1  bay leaf<br>2  Tbsp. lemon juice<br>1  tsp. fresh tarragon, minced<br>1  tsp. lemon peel, grated<br>6  peppercorns, lightly crushed<br>2  whole cloves<br>1/2  c. mushroom stems (or 1 Tbsp. concentrate)<br>1  tsp. salt<br>1  Tbsp. butter<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Combine all ingredients in a soup kettle, cover and slowly bring to boil skimming as needed. Lower heat and simmer 1 hour. Strain, cool and refrigerate. Stock has a 4-day shelf life, so it's best to freeze unless using immediately.</p><p class=""H1"">      Note: See Soup Stock Basics for storage information.</p></td></tr></tbody></table>"
"1522285618-2431","http://www.cookbooks.com/","Fish","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Fish","9","http://www.cookbooks.com/recipes-search.aspx?page=9","121. HERBED FISH AND VEGETABLES","http://www.cookbooks.com/Recipe-Details.aspx?id=39117","<p class=""H2""><font size=""5"">HERBED FISH AND VEGETABLES</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><table width=""100%"" border=""0"" cellspacing=""2"" cellpending=""5""><tbody><tr><td valign=""top""><p class=""H2""><img src=""images-new/recipe-categories/fish-and-vegetables.jpg"" alt=""HERBED FISH AND VEGETABLES"" border=""0"" width=""200""></p></td><td valign=""middle""><p class=""H1""></p></td></tr></tbody></table><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  sheets (12x18 inches each) heavy duty aluminum foil<br>2  fish fillets (4 to 6 oz. each), thawed<br>2  tbsp. sliced green onions<br>1  pkg. (16 oz.) frozen broccoli, carrots and cauliflower<br>1/2  tsp. dried thyme<br>1/2  tsp. dried marjoram<br>1/2  tsp. salt<br>1/4  tsp. pepper<br>1  tbsp. butter or margarine, cut in pieces<br>  Lemon juice<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Preheat oven to 450 degrees or grill to medium-high.  Spray foil with nonstick cooking spray.  Center one fish fillet on each sheet of foil.  Top with green onions; place frozen vegetables around fish.  Sprinkle fish with thyme, marjoram, salt and pepper. Top with margarine.  Bring up foil sides.  Double fold top and ends to seal packet, leaving room for heat circulation inside. Repeat to make two jackets. Bake 18-20 minutes on a cookie sheet in oven or grill 10-12 minutes in covered grill.  Drizzle with lemon juice.  Makes 2 servings.</p></td></tr></tbody></table>"
"1522285514-2386","http://www.cookbooks.com/","Fish","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Fish","12","http://www.cookbooks.com/recipes-search.aspx?page=12","166. MEDITERRANEAN FISH FILLET CASSEROLE","http://www.cookbooks.com/Recipe-Details.aspx?id=68910","<p class=""H2""><font size=""5"">MEDITERRANEAN FISH FILLET CASSEROLE</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">6  Gorton's Crunchy Golden Fish Fillets, Garlic &amp; Herb or Lemon<br>3  cups cooked rice<br>  1-16 oz can cut green beans, drained<br>1  medium onion, chopped<br>2  medium tomatoes, chopped<br>1  teaspoon salt<br>1/2  teaspoon dried basil leaves<br>1/2  teaspoon dried oregano leaves<br>1/3  cup pitted ripe olives<br>1/3  cup crumbled feta or grated parmesan cheese<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Place uncooked Gorton's Fillets in the bottom of an ungreased baking dish.  Mix all ingredients except cheese and spoon evenly over fillets.  Cover &amp; cook in the oven at 375 for 25 minutes. Top with cheese.  Makes 6 servings.</p></td></tr></tbody></table>"
"1522285847-2531","http://www.cookbooks.com/","Fish","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Fish","2","http://www.cookbooks.com/recipes-search.aspx?page=2","21. FISH KABOBS","http://www.cookbooks.com/Recipe-Details.aspx?id=1388","<p class=""H2""><font size=""5"">FISH KABOBS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  lb. boneless halibut or swordfish, cut in cubes<br>2  tsp. Worcestershire<br>4  strips bacon<br>1 1/2  c. chili sauce<br>2  bell peppers (1 red, 1 green), cut into 1-inch squares<br>1  tsp. salt<br>  few dashes hot pepper sauce<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      In a shallow pan, arrange the fish cubes in one layer.  Combine the chili sauce, Worcestershire, hot pepper sauce and salt.  Pour over fish and let stand for 1 to 2 hours.  Drain the fish, reserving the marinade.  Cut each piece of bacon into fourths.  On each of 8 skewers, string a fish cube, a piece of bacon, then a square of pepper.  Repeat, ending with a fish cube.  Grill 4 to 5 inches from heat for 10 to 12 minutes, basting a few times with reserved marinade.</p></td></tr></tbody></table>"
"1522285824-2521","http://www.cookbooks.com/","Fish","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Fish","3","http://www.cookbooks.com/recipes-search.aspx?page=3","31. CAJUN RUBBED FISH NUGGETS","http://www.cookbooks.com/Recipe-Details.aspx?id=3252","<p class=""H2""><font size=""5"">CAJUN RUBBED FISH NUGGETS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  tsp garlic powder<br>4  tsp paprika<br>1  tsp dry mustard<br>1  tsp crushed peppercorns<br>1/4  tsp cayenne pepper<br>1/4  tsp finely crushed fennel seeds<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Brush BBQ grill with oil.  Turn to medium high.  Place Cajun Rub and 1 pound of fish nuggets in a paper bag.  Shake until pieces are well coated.  Thread onto pre-soaked skewers.  Cook on hot grill for 3 - 5 minutes each side.  Serve with lemon wedges, as an appetizer for 4 or as a main dish for 2.</p></td></tr></tbody></table>"
"1522285630-2436","http://www.cookbooks.com/","Fish","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Fish","8","http://www.cookbooks.com/recipes-search.aspx?page=8","116. BOUILLON POACHED FISH","http://www.cookbooks.com/Recipe-Details.aspx?id=38152","<p class=""H2""><font size=""5"">BOUILLON POACHED FISH</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  Tbsp. instant chicken bouillon or 1 c. chicken broth<br>1  c. water<br>1/2  c. thinly sliced carrots<br>1/2  c. chopped celery<br>1/2  c. chopped green pepper<br>1/2  c. chopped onion<br>1  lb. fresh or frozen, fish fillets (orange roughy or Tilapia really good!)<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      In large skillet, or electric skillet, dissolve bouillon with water over medium heat.  Add vegetables, cover and simmer 10 minutes.  Add fish; cover and simmer 10 to 15 minutes.  4 servings.  Only 1 1/2 Weight Watcher Points per 4 oz. serving.</p></td></tr></tbody></table>"
"1522285289-2286","http://www.cookbooks.com/","Fish","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Fish","18","http://www.cookbooks.com/recipes-search.aspx?page=18","266. BROILED FISH FILLETS","http://www.cookbooks.com/Recipe-Details.aspx?id=115036","<p class=""H2""><font size=""5"">BROILED FISH FILLETS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  lb. fish fillets (1/4 to 1/2-inch thick), cut into serving sized pieces<br>1/4  c. margarine or butter, melted<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Arrange fish fillets, skin side up, on broiler pan.  Brush both sides of fish with margarine.  Broil 4 to 6 inches from heat for 5 to 8 minutes or until fish flakes easily with fork.  Turn once and baste with margarine.  If desired, season with salt and pepper to taste.</p></td></tr></tbody></table>"
