web-scraper-order,web-scraper-start-url,cat,cat-href,page,page-href,title,title-href,info
"1522283256-1617","http://www.cookbooks.com/","Fruit","http://www.cookbooks.com/recipes-search.aspx?id=1&strSearch=fruit","6","http://www.cookbooks.com/recipes-search.aspx?page=6","80. CRANBERRY-APPLE-ORANGE SALAD","http://www.cookbooks.com/Recipe-Details.aspx?id=302909","<p class=""H2""><font size=""5"">CRANBERRY-APPLE-ORANGE SALAD</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  (12 oz.) bag raw cranberries (2 c.)<br>1  c. sugar<br>1  medium apple, peeled, cored and cut into wedges<br>1  orange, peeled, seeded and broken in wedges<br>1 (3 oz.)  pkg. orange gelatin<br>1/2  c. nuts (optional)<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      In food processor or blender, grind cranberries, apple and orange.  Mix with sugar and set aside.  Prepare gelatin according to package directions, using 1/4 cup less of cold water.  Chill until it begins to thicken.  Add cranberry mixture and nuts.  Mix well.  Pour into a mold, if desired, or leave in a bowl and stir before serving.  Chill until set.  Can even be made a day ahead. Keeps well in refrigerator for a few days.</p></td></tr></tbody></table>"
"1522283312-1641","http://www.cookbooks.com/","Fruit","http://www.cookbooks.com/recipes-search.aspx?id=1&strSearch=fruit","4","http://www.cookbooks.com/recipes-search.aspx?page=4","56. SPICED PEARS, PEACHES, APPLES","http://www.cookbooks.com/Recipe-Details.aspx?id=49514","<p class=""H2""><font size=""5"">SPICED PEARS, PEACHES, APPLES</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">5  c. brown sugar<br>2  c. white vinegar<br>2  cinnamon sticks<br>2  tablespoons whole cloves<br>4  quarts pears, peaches, or crabapples<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Cook sugar, vinegar, and spices 20 minutes. Drop in fruits, a few at a time, and cook until tender. Pack into hot, sterilized jars, adding syrup to within 1/2  inch of top. Seal. Makes 6 pints.</p></td></tr></tbody></table>"
"1522283220-1601","http://www.cookbooks.com/","Fruit","http://www.cookbooks.com/recipes-search.aspx?id=1&strSearch=fruit","7","http://www.cookbooks.com/recipes-search.aspx?page=7","96. GRAPEFRUIT, PINEAPPLE SALAD","http://www.cookbooks.com/Recipe-Details.aspx?id=569705","<p class=""H2""><font size=""5"">GRAPEFRUIT, PINEAPPLE SALAD</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 large  can crushed pineapple, drained (save the juice)<br>4  grapefruits<br>1  pkg. lemon Jell-O<br>1  c. hot water<br>3/4  c. pineapple juice<br>1/2  c. grapefruit juice<br>  yolks of 2 eggs<br>1/4  c. pineapple juice<br>1/2  c. sugar<br>1/2  c. whipping cream, whipped<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Cut grapefruits crosswise; scoop out fruit with spoon.  Save the juice.  With sharp knife and clean hands, carefully remove membranes and lining from grapefruit hulls.  Set aside.</p><p class=""H1"">      Dissolve Jell-O in cup of hot water; add pineapple and grapefruit juices.  Mix pineapple and grapefruit sections and add. Place in grapefruit hulls and congeal.  (I usually divide my fruit around in the 8 halves and pour in gelatin mixture.)  When ready to serve, cut cross the halves, making 16 servings.</p><p class=""H1"">      Dressing:  Cook 2 egg yolks, pineapple juice and sugar until thick.  Let cool and fold into whipping cream.  Serve with salad.</p></td></tr></tbody></table>"
"1522282939-1478","http://www.cookbooks.com/","Fruit","http://www.cookbooks.com/recipes-search.aspx?id=1&strSearch=fruit","15","http://www.cookbooks.com/recipes-search.aspx?page=15","219. JANE'S LIME-PEAR JELLO SALAD","http://www.cookbooks.com/Recipe-Details.aspx?id=912699","<p class=""H2""><font size=""5"">JANE'S LIME-PEAR JELLO SALAD</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 (3 oz.)  pkg. lime Jell-O<br>2 (No. 2)  cans pears<br>8  oz. cream cheese<br>2  c. Cool Whip<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Heat  1 cup pear juice.  Add Jell-O and dissolve.  Mash pears and  combine with cream cheese.  Add Jell-O.  Let stand in refrigerator  until  almost set.  Add 2 cups Cool Whip and stir together.  Chill 4 hours.</p></td></tr></tbody></table>"
"1522283149-1570","http://www.cookbooks.com/","Fruit","http://www.cookbooks.com/recipes-search.aspx?id=1&strSearch=fruit","9","http://www.cookbooks.com/recipes-search.aspx?page=9","127. PLUM OR APRICOT DUMPLINGS","http://www.cookbooks.com/Recipe-Details.aspx?id=268251","<p class=""H2""><font size=""5"">PLUM OR APRICOT DUMPLINGS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  lb. baking potatoes<br>2  Tbsp. butter or margarine<br>1  c. flour<br>1  Tbsp. sugar<br>2  eggs<br>1  lb. plums or apricots<br>1/2  c. red wine<br>2  cloves<br>1/4  lb. butter or margarine (1 stick)<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Bake potatoes.  Peel while hot and puree.  Make dough with potatoes, butter, flour, sugar and eggs.  Pit the fruit and stew in wine with cloves over low heat, just until boiling.   Remove fruit carefully from wine and cool.  Make dough into two rolls and cut into one-inch slices.  Place one piece of fruit on one piece of dough, covering fruit completely.  Cook in simmering, salted water over medium flame.  Be careful not to boil, about 10 minutes. Carefully remove.  Brown bread crumbs in a little butter and mix with cinnamon; sprinkle over dumplings.  Can also be served with vanilla sauce.</p></td></tr></tbody></table>"
"1522282881-1453","http://www.cookbooks.com/","Fruit","http://www.cookbooks.com/recipes-search.aspx?id=1&strSearch=fruit","17","http://www.cookbooks.com/recipes-search.aspx?page=17","244. LIME-RASPBERRY PIE","http://www.cookbooks.com/Recipe-Details.aspx?id=895721","<p class=""H2""><font size=""5"">LIME-RASPBERRY PIE</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1/2  pt. raspberries (fresh or frozen)<br>1 (14 oz.)  can sweetened condensed milk<br>1/2  c. lime juice<br>1  (8 oz.) container frozen whipped topping, thawed<br>1  pkg. graham cracker pie crust<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Reserve a few raspberries for garnish.  In a medium bowl, combine milk and juice.  Fold in topping and raspberries.  Spoon into pie crust.  Cover and chill 3 hours.  Garnish.  Makes 10 servings.  This is very rich, but good!</p></td></tr></tbody></table>"
"1522282937-1477","http://www.cookbooks.com/","Fruit","http://www.cookbooks.com/recipes-search.aspx?id=1&strSearch=fruit","15","http://www.cookbooks.com/recipes-search.aspx?page=15","220. KEY LIME SOUFFLE WITH RASPBERRY SAUCE","http://www.cookbooks.com/Recipe-Details.aspx?id=872884","<p class=""H1"">Could NOT Open Recipe Page Due To:</p>Conversion from type 'DBNull' to type 'String' is not valid."
"1522283173-1580","http://www.cookbooks.com/","Fruit","http://www.cookbooks.com/recipes-search.aspx?id=1&strSearch=fruit","8","http://www.cookbooks.com/recipes-search.aspx?page=8","117. PAPAYA KIWI FRUIT SALAD WITH ORANGE DRESSING","http://www.cookbooks.com/Recipe-Details.aspx?id=111750","<p class=""H2""><font size=""5"">PAPAYA KIWI FRUIT SALAD WITH ORANGE DRESSING</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  papaya<br>4  kiwi fruit<br>6  Tbsp. frozen orange juice concentrate<br>3  Tbsp. honey<br>1  cup sour cream<br>1  Tbsp grated orange peel<br>1  Tbsp grated lime peel<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Peel and remove seeds from the papaya. Slice lengthwise into thin slices. Peel kiwi fruit and cut lengthwise into thin slices. Arrange papaya and kiwi fruit on 4 salad plates. Combine orange juice concentrate and honey in a small bowl. Stir in sour cream. Spoon dressing over salads; sprinkle with peels. Serves 4.</p></td></tr></tbody></table>"
"1522283030-1517","http://www.cookbooks.com/","Fruit","http://www.cookbooks.com/recipes-search.aspx?id=1&strSearch=fruit","12","http://www.cookbooks.com/recipes-search.aspx?page=12","180. BLUEBERRY OR BLACKBERRY PIE","http://www.cookbooks.com/Recipe-Details.aspx?id=1048093","<p class=""H2""><font size=""5"">BLUEBERRY OR BLACKBERRY PIE</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  c. blackberries<br>1/2  c. blueberries<br>1  c. sugar<br>4  Tbsp. flour (level)<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Sift flour and sugar into bowl.  Pour berries into mixture and stir until every berry is coated.  Proceed as with any berry pie. Cook until juice bubbles out of crust.</p></td></tr></tbody></table>"
"1522283153-1572","http://www.cookbooks.com/","Fruit","http://www.cookbooks.com/recipes-search.aspx?id=1&strSearch=fruit","9","http://www.cookbooks.com/recipes-search.aspx?page=9","125. PINEAPPLE-LEMON-ORANGE PUNCH","http://www.cookbooks.com/Recipe-Details.aspx?id=273730","<p class=""H2""><font size=""5"">PINEAPPLE-LEMON-ORANGE PUNCH</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 (46 oz.)  can pineapple juice<br>2 small  cans frozen orange juice<br>1 small  can crushed pineapple<br>1  jar maraschino cherries, chopped<br>1 small  can frozen lemonade<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Mix and freeze in a 2-quart container.</p><p class=""H1"">      Forty-five to 60 minutes before serving, remove from freezer and add 3 bottles ginger ale.</p></td></tr></tbody></table>"
