web-scraper-order,web-scraper-start-url,cat,cat-href,page,page-href,title,title-href,info
"1522277821-239","http://www.cookbooks.com/","Grilling","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=grill","16","http://www.cookbooks.com/recipes-search.aspx?page=16","227. GRILLED CHICKEN","http://www.cookbooks.com/Recipe-Details.aspx?id=68185","<p class=""H2""><font size=""5"">GRILLED CHICKEN</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  c. cider vinegar<br>1/2  c. vegetable or canola oil<br>5  tsp. Worcestershire sauce<br>4  tsp. hot pepper sauce<br>2  tsp. salt<br>10  bone-in chicken breast halves (10 oz. each)<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      In a bowl, combine the first 5 ingredients; mix well. Pour 1 cup marinade into a large resealable plastic bag. Add the chicken. Seal bag and turn to coat thoroughly. Refrigerate for at least 4 hours. Cover and refrigerate the remaining marinade for basting. Coat grill rack with nonstick cooking spray before starting the grill. Drain and discard marinade from chicken. Grill bone side down, covered, over indirect medium heat for 20 minutes. Turn; grill 20 to 30 minutes longer or until juices run clear, basting occasionally with reserved marinade.</p></td></tr></tbody></table>"
"1522278191-403","http://www.cookbooks.com/","Grilling","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=grill","5","http://www.cookbooks.com/recipes-search.aspx?page=5","63. GRILLED VEGETABLE TRIO","http://www.cookbooks.com/Recipe-Details.aspx?id=1503","<p class=""H2""><font size=""5"">GRILLED VEGETABLE TRIO</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  medium onion, sliced thin<br>1/4  c. Parmesan cheese<br>1/2  clove garlic, minced<br>2  Tbsp. butter, cut into bits<br>2  medium zucchini, 1/8-inch slices<br>1/2  tsp. thyme leaves<br>  dash of pepper<br>2  medium tomatoes, quartered<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Tear off a length of aluminum foil.  Place onion in center of foil in single layer.  Top with zucchini, cheese, seasonings and butter.  Bring four corners of foil up together in pyramid shape. Fold openings together loosely for heat circulation and expansion. Seal by folding over ends and pressing to package.  Grill over medium hot coals 20 minutes.  Carefully open bundle; add tomatoes. Re-seal.  Grill 20 to 30 minutes longer or until zucchini is tender and tomatoes are heated through.</p></td></tr></tbody></table>"
"1522277857-255","http://www.cookbooks.com/","Grilling","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=grill","15","http://www.cookbooks.com/recipes-search.aspx?page=15","211. GRILLED VEGGIE DELIGHT","http://www.cookbooks.com/Recipe-Details.aspx?id=56526","<p class=""H2""><font size=""5"">GRILLED VEGGIE DELIGHT</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  each red and yellow pepper, cored and sliced<br>1  red onion, peeled and sliced<br>1  zucchini, sliced lengthwise and quartered<br>1/4  lb. asparagus, trimmed<br>1  Tbsp. olive oil<br>1  Tbsp. lemon juice<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Heat grill or oven to 375°.  In bowl, combine vegetables. Add oil and lemon juice.  Toss to coat evenly.  Place vegetables on grill pan or roasting pan.  Cook 20 minutes or until tender, turning occasionally.  Season with sea salt and pepper, if desired.</p></td></tr></tbody></table>"
"1522278093-360","http://www.cookbooks.com/","Grilling","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=grill","8","http://www.cookbooks.com/recipes-search.aspx?page=8","106. GRILLED CHEESE BREAD","http://www.cookbooks.com/Recipe-Details.aspx?id=12674","<p class=""H2""><font size=""5"">GRILLED CHEESE BREAD</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><table width=""100%"" border=""0"" cellspacing=""2"" cellpending=""5""><tbody><tr><td valign=""top""><p class=""H2""><img src=""images-new/recipe-categories/bread-cheese.jpg"" alt=""GRILLED CHEESE BREAD"" border=""0"" width=""200""></p></td><td valign=""middle""><p class=""H1""></p></td></tr></tbody></table><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  (1 lb.) loaf Italian bread<br>1/2  c. (1 stick) unsalted butter, softened<br>1/4  c. sun-dried tomatoes (in oil), drained<br>2  Tbsp. jarred pesto<br>1  clove garlic<br>1/4  tsp. salt<br>1/8  tsp. black pepper<br>1 1/2  c. shredded Provolone cheese (6 oz.)<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Heat grill. With serrated knife, slice bread lengthwise in half horizontally.</p><p class=""H1"">      In food processor, pulse together butter, sun-dried tomatoes, pesto, garlic, salt and pepper until thoroughly combined and sun-dried tomatoes are chopped. Scrape into bowl. Stir in 1 cup shredded cheese.</p><p class=""H1"">      Grill bread, cut side down, until toasted, about 1 1/2 minutes. Spread butter mixture onto cut side of each half, dividing equally. Sprinkle with remaining cheese. Grill bread, cut side up, over indirect heat, with grill covered, until topping is melted, 8 to 10 minutes. Let cool slightly. With serrated knife, cut into slices. Serve warm. Grill: about 12 minutes.</p></td></tr></tbody></table>"
"1522277845-249","http://www.cookbooks.com/","Grilling","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=grill","15","http://www.cookbooks.com/recipes-search.aspx?page=15","217. PILOT'S GRILL DIP","http://www.cookbooks.com/Recipe-Details.aspx?id=64293","<p class=""H2""><font size=""5"">PILOT'S GRILL DIP</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1/2  c. cheddar cheese shredded<br>1/2  c. cottage cheese<br>1/2  cup cream cheese<br>2  oz. pimentos<br>1  tsp. French dressing<br>1  tsp. Worcestershire sauce<br>1/2  tsp. garlic salt<br>1/2  tsp. onion salt<br>2  Tbsp. blue cheese<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Mix all ingredients except blue cheese in blender.  Crumble blue cheese and stir in last.</p></td></tr></tbody></table>"
"1522277982-310","http://www.cookbooks.com/","Grilling","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=grill","11","http://www.cookbooks.com/recipes-search.aspx?page=11","156. GRILLED BURGERS","http://www.cookbooks.com/Recipe-Details.aspx?id=38809","<p class=""H2""><font size=""5"">GRILLED BURGERS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1/4  c. sour cream<br>2  tsp. dried parsley flakes<br>1  tsp. dried thyme<br>1  tsp. salt<br>1/2  tsp. pepper<br>2 1/2  lb. ground beef<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      In a large bowl, combine the first five ingredients; add beef and mix gently.  Shape into 10 patties.  Grill, uncovered, over medium coals for 4 to 5 minutes on each side or until meat is no longer pink.  Serve on buns with lettuce, tomatoes and onion if desired.  Yield: 10 servings.</p></td></tr></tbody></table>"
"1522278269-437","http://www.cookbooks.com/","Grilling","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=grill","2","http://www.cookbooks.com/recipes-search.aspx?page=2","29. GRILLED FISH AND SHRIMP","http://www.cookbooks.com/Recipe-Details.aspx?id=1433","<p class=""H2""><font size=""5"">GRILLED FISH AND SHRIMP</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><table width=""100%"" border=""0"" cellspacing=""2"" cellpending=""5""><tbody><tr><td valign=""top""><p class=""H2""><img src=""images-new/recipe-categories/fish-and-seafood.jpg"" alt=""GRILLED FISH AND SHRIMP"" border=""0"" width=""200""></p></td><td valign=""middle""><p class=""H1""></p></td></tr></tbody></table><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">4  fish fillets<br>1  lb. large shrimp, cleaned<br>1/2  c. butter<br>  juice of 2 lemons<br>1 or 2  cloves garlic, pressed<br>  Greek seasoning<br>1  bell pepper<br>1/2  c. onion, chopped<br>1  tomato, chopped<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Melt butter; add lemon juice and garlic and simmer 1 minute. Season fish and shrimp lightly with Greek seasoning.  Place fish and shrimp in a large sheet of heavy foil with top loosely opened. Baste heavily with lemon butter and garlic sauce.  Add chopped tomato, onion and green pepper.  Place on an outdoor grill and cook about 5 minutes.  This may be baked in oven with foil closed.</p><p class=""H1"">      Scallops may be substituted for shrimp.</p></td></tr></tbody></table>"
"1522277855-254","http://www.cookbooks.com/","Grilling","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=grill","15","http://www.cookbooks.com/recipes-search.aspx?page=15","212. OLIVIA'S FAVORITE GRILLED CHEESE","http://www.cookbooks.com/Recipe-Details.aspx?id=58206","<p class=""H2""><font size=""5"">OLIVIA'S FAVORITE GRILLED CHEESE</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  slices bread<br>1  slice cheese<br>  oleo<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Put 1 tsp. oleo in frying pan (small).  Melt oleo.  Place slice of cheese between slices of bread.  Put small amounts of oleo on top slice of bread.  Put in fryer and brown on both sides.</p></td></tr></tbody></table>"
"1522277942-292","http://www.cookbooks.com/","Grilling","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=grill","12","http://www.cookbooks.com/recipes-search.aspx?page=12","174. DIANE'S GRILLED SHRIMP","http://www.cookbooks.com/Recipe-Details.aspx?id=52239","<p class=""H2""><font size=""5"">DIANE'S GRILLED SHRIMP</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  lb. shrimp, peeled (uncooked)<br>1  bottle Parmesan peppercorn salad dressing<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Marinate shrimp with tails in salad dressing at least one hour.  Turn or toss every 15 minutes.  Either put shrimp on skewers or on a grilling pan.  Cook on hot grill 10 minutes each side.</p></td></tr></tbody></table>"
"1522277987-312","http://www.cookbooks.com/","Grilling","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=grill","11","http://www.cookbooks.com/recipes-search.aspx?page=11","154. GRILLED ROAST BEEF SANDWICHES","http://www.cookbooks.com/Recipe-Details.aspx?id=38685","<p class=""H2""><font size=""5"">GRILLED ROAST BEEF SANDWICHES</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  lb. deli roast beef<br>1  sm. onion, sliced<br>  fresh mushrooms<br>  provolone or mozzarella cheese slices<br>  white or wheat bread slices<br>  butter or margarine<br>1  Tbsp. Dijon mustard<br>3  Tbsp. mayonnaise<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Preheat skillet over medium heat and melt 2 tsp. of margarine.  Sauté onions and mushrooms until golden.  Next sauté slices of roost beef until darkened.  Remove from pan.  Mix mayonnaise &amp; dijon together in small bowl.  Spread mixture on inside of one slide of the bread.  Layer 2 slices of roast beef then 2-3 slices of grilled onion and mushrooms.  Add slice of cheese and 2 more slices of roast beef. Butter both sides of bread before grilling.  Grill sandwich on medium heat until golden brown on both sides and cheese is melted.  (If individuals don't like any of the ingredients - they can be deleted.)</p></td></tr></tbody></table>"
