web-scraper-order,web-scraper-start-url,category,category-href,page,page-href,title,title-href,info
"1520709936-955","http://www.cookbooks.com/","Healthy","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Healthy&strSearch=Healthy%20Lite","19","http://www.cookbooks.com/recipes-search.aspx?page=19","277. QUICK AND EASY ""LITE"" BAKED ZITI","http://www.cookbooks.com/Recipe-Details.aspx?id=980761","<p class=""H2""><font size=""5"">QUICK AND EASY ""LITE"" BAKED ZITI</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  lb. ziti, al dente<br>4  c. spaghetti sauce<br>1 1/2  c. skim or low-fat Mozzarella cheese<br>1  (16 oz.) low-fat cottage cheese (large curd)<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Mix spaghetti sauce and ziti in a baking dish.  Add 1/2 of Mozzarella cheese and cottage cheese.  Gently mix in.  Sprinkle remainder of Mozzarella cheese on top.  Bake at 375° until cheese melts on top.</p></td></tr></tbody></table>"
"1520710141-1046","http://www.cookbooks.com/","Healthy","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Healthy&strSearch=Healthy%20Lite","13","http://www.cookbooks.com/recipes-search.aspx?page=13","186. LITE LEMON LUSH","http://www.cookbooks.com/Recipe-Details.aspx?id=369385","<p class=""H1"">Could NOT Open Recipe Page Due To:</p>Conversion from type 'DBNull' to type 'String' is not valid."
"1520710344-1136","http://www.cookbooks.com/","Healthy","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Healthy&strSearch=Healthy%20Lite","7","http://www.cookbooks.com/recipes-search.aspx?page=7","96. LITE BANANA BREAD","http://www.cookbooks.com/Recipe-Details.aspx?id=362488","<p class=""H2""><font size=""5"">LITE BANANA BREAD</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2 1/2  c. flour<br>2  tsp. baking powder<br>1  tsp. baking soda<br>1  tsp. cinnamon<br>1/2  c. applesauce<br>1  c. sugar<br>3  egg whites<br>4  large bananas<br>1  tsp. vanilla<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Preheat oven to 350°.  Spray loaf pans with nonstick spray. Combine flour, baking powder, baking soda and cinnamon; set aside. Whisk together applesauce, sugar, egg, bananas and vanilla.  Add dry ingredients; blend well.   Pour into loaf pan and bake 50 to 60 minutes.  Cool.  Contains 150 calories per serving and only .34 g fat.</p></td></tr></tbody></table>"
"1520710284-1110","http://www.cookbooks.com/","Healthy","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Healthy&strSearch=Healthy%20Lite","9","http://www.cookbooks.com/recipes-search.aspx?page=9","122. LITE CHICKEN SALAD","http://www.cookbooks.com/Recipe-Details.aspx?id=863089","<p class=""H2""><font size=""5"">LITE CHICKEN SALAD</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  c. cooked, deboned chicken<br>1/3  c. chopped celery<br>1/3  c. chopped onions<br>1/3  c. relish<br>1  tsp. prepared yellow msutard<br>1/2  c. low-fat or no fat mayonnaise<br>  salt and pepper to taste<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Mix first four ingredients, then blend well with mayonnaise and mustard.  Salt and pepper to taste.</p></td></tr></tbody></table>"
"1520710057-1008","http://www.cookbooks.com/","Healthy","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Healthy&strSearch=Healthy%20Lite","15","http://www.cookbooks.com/recipes-search.aspx?page=15","224. LITE QUICHE","http://www.cookbooks.com/Recipe-Details.aspx?id=469792","<p class=""H2""><font size=""5"">LITE QUICHE</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">4 eggs, well beaten with 1/8  tsp. salt<br>1 1/2  c. milk<br>10  oz. broccoli spears<br>1/8  tsp. salt<br>1 1/4  c. shredded sharp Cheddar cheese<br>1  deep dish pie crust<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Preheat oven to 350°.  Mix eggs and milk and set aside.  Cook broccoli with 1/8 teaspoon salt until tender; discard stalks.  Cut into flowerets.  Alternate broccoli and cheese in pie crust.</p><p class=""H1"">      Put pie on ovenproof dish.  Put in oven before pouring in egg/milk mixture.  Bake 30 minutes or until knife inserted comes out dry.</p></td></tr></tbody></table>"
"1520710261-1099","http://www.cookbooks.com/","Healthy","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Healthy&strSearch=Healthy%20Lite","9","http://www.cookbooks.com/recipes-search.aspx?page=9","133. LITE CHOCOLATE POUND CAKE","http://www.cookbooks.com/Recipe-Details.aspx?id=911768","<p class=""H2""><font size=""5"">LITE CHOCOLATE POUND CAKE</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">3  sticks lite butter or margarine<br>3  c. powdered sugar<br>5  eggs<br>3  c. sifted cake flour<br>1/2  tsp. baking powder<br>1/2  tsp. salt<br>1/2  tsp. cocoa<br>1/2  c. canned milk<br>1/2  c. water<br>2  tsp. vanilla flavor<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Cream butter and sugar together.  Add eggs, unbeaten, one at a time.  Sift dry ingredients 3 times.  Combine milk, water and vanilla flavoring.  Alternate liquid and dry ingredients, adding to creamed mixture.  Pour into greased and floured cake pan and bake at 350° for 1 hour and 20 minutes.</p></td></tr></tbody></table>"
"1520710031-997","http://www.cookbooks.com/","Healthy","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Healthy&strSearch=Healthy%20Lite","16","http://www.cookbooks.com/recipes-search.aspx?page=16","235. LITE SPINACH BACON DEVILED EGGS","http://www.cookbooks.com/Recipe-Details.aspx?id=80207","<p class=""H2""><font size=""5"">LITE SPINACH BACON DEVILED EGGS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  Doz. Egg-land's Best Eggs, Hard cooked, peeled<br>1/2  Cup frozen chopped spinach, thawed, drained, squeezed dry<br>1/4  Cup cholesterol free mayonnaise<br>1/4  Cup imitation bacon bits<br>2 1/2  Tbsp. Heinz Apple Cider Vinegar<br>2  Tbsp. margarine, softened (optional)<br>1  Tbsp. sugar<br>2  tsp. black pepper, ground<br>1/4  tsp. salt<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Cut the eggs in half lengthwise. Scoop out yolks into a small mixing bowl and mash with a fork. Add remaining ingredients and mix well. Spoon yolk mixture into egg white halves. Chill until ready to serve.</p></td></tr></tbody></table>"
"1520709991-979","http://www.cookbooks.com/","Healthy","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Healthy&strSearch=Healthy%20Lite","17","http://www.cookbooks.com/recipes-search.aspx?page=17","253. LITE VEGETABLE SCRAMBLE","http://www.cookbooks.com/Recipe-Details.aspx?id=102301","<p class=""H2""><font size=""5"">LITE VEGETABLE SCRAMBLE</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  c. frozen, shredded hash browns, thawed<br>1  c. shredded zucchini<br>1/2  c. shredded carrots<br>1  c. chopped onion<br>3/4  tsp. Cavender's Green seasoning<br>  Butter type spray<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Lightly coat a non-stick skillet with cooking spray. Combine hash browns, zucchini, carrots, onion, and seasoning.  Mix well. Pour into skillet and spread evenly.  Spray the top with the butter-type spray. For this, I use the ""I Can't Believe It's Not Butter"" spray. To spray the skillet, a regular cooking spray can be used.  Cook slowly over low heat, stirring occasionally, until vegetables are tender.  Makes about 6 servings with less than 1 gram of fat per serving.</p></td></tr></tbody></table>"
"1520710001-984","http://www.cookbooks.com/","Healthy","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Healthy&strSearch=Healthy%20Lite","17","http://www.cookbooks.com/recipes-search.aspx?page=17","248. LITE TRIO SALAD","http://www.cookbooks.com/Recipe-Details.aspx?id=51015","<p class=""H2""><font size=""5"">LITE TRIO SALAD</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">6  c. mixed salad greens, torn into pieces<br>1  medium fresh ripe pear, sliced<br>1  medium fresh red apple, sliced<br>1 1/2  c. cooked turkey or chicken, thinly sliced or diced<br>1  (8 oz.) container fat-free fruit-flavored yogurt<br>1/4  c. walnut pieces (optional)<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Arrange greens on 4 salad plates. Arrange meat and fruit slices in a circle over greens. Use 1/4 cup of yogurt on each place as a dressing or serve in a small bowl for dipping. Sprinkle walnuts over the top of salad, if desired. Serve with low-fat muffin.</p></td></tr></tbody></table>"
"1520710485-1199","http://www.cookbooks.com/","Healthy","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Healthy&strSearch=Healthy%20Lite","3","http://www.cookbooks.com/recipes-search.aspx?page=3","33. BRENDA'S LITE STRAWBERRY CAKE","http://www.cookbooks.com/Recipe-Details.aspx?id=149110","<p class=""H2""><font size=""5"">BRENDA'S LITE STRAWBERRY CAKE</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  Betty Crocker Lite white cake mix<br>3  eggs<br>3/4  c. vegetable oil<br>1 1/4  c. water<br>1 1/2 - 2  c. sliced strawberries<br>6  packets Sweet &amp; Low sweetener<br>1/4  c. water<br>  medium tub lite Cool Whip Topping<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Slice strawberries. Sprinkle Sweet &amp; Low packets over strawberries. Add 1/4 cup water to strawberries with wooden spoon until sweetener is dissolved. Set aside. Beat cake mix, oil and eggs on high speed until blended, then gradually add water to mixture until smooth. Bake in 9 x 13 inch pan at 350 degrees for 30 minutes until done. After cake is cooled to the touch, poke with a fork and make holes in cake, spoon strawberries over cake top. Chill in refrigerator. After cake has chilled, dollop Cool Whip down the center of cake length of cake. Carefully spread to sides with a spoon.</p></td></tr></tbody></table>"
