web-scraper-order,web-scraper-start-url,category,category-href,page,page-href,title,title-href,info
"1521339324-61","http://cookbooks.com/","Nuts","http://cookbooks.com/recipes-search.aspx?id=1&tag=nut","18","http://cookbooks.com/recipes-search.aspx?page=18","268. SWEDISH NUT CAKE","http://cookbooks.com/Recipe-Details.aspx?id=31245","<p class=""H2""><font size=""5"">SWEDISH NUT CAKE</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  cups sugar<br>2  cups flour<br>2  eggs<br>1/2  tsp soda<br>  1-20 oz can crushed pineapple w/juice<br>1/2  cup chopped nuts<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Mix all ingredients and pour into 9 X 13 greased pan and bake at 350° for 40 minutes. While cake is baking make the frosting. Soften 1/2 stick margarine and 1-8 oz package of cream cheese to room temperature. Add 1 cup brown sugar and beat until smooth. Spread on cake while STILL HOT ! Sprinkle with nuts.</p></td></tr></tbody></table>"
"1521339816-281","http://cookbooks.com/","Nuts","http://cookbooks.com/recipes-search.aspx?id=1&tag=nut","4","http://cookbooks.com/recipes-search.aspx?page=4","48. BANANA NUT BREAD","http://cookbooks.com/Recipe-Details.aspx?id=11608","<p class=""H2""><font size=""5"">BANANA NUT BREAD</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  c. butter<br>1  c. sugar<br>2  eggs, beaten<br>2  c. flour<br>1  tsp. baking soda<br>3  bananas (very ripe)<br>1  c. nuts (any kind)<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Cream butter and sugar. Add eggs. Cream bananas until fluffy. Mix dry ingredients together. Add bananas and dry mixture alternately to sugar mixture. Add nuts. Pour into greased and floured loaf pan. Bake at 350° for 1 hour.</p></td></tr></tbody></table>"
"1521339338-68","http://cookbooks.com/","Nuts","http://cookbooks.com/recipes-search.aspx?id=1&tag=nut","18","http://cookbooks.com/recipes-search.aspx?page=18","261. CARAMEL NUT BARS","http://cookbooks.com/Recipe-Details.aspx?id=30552","<p class=""H2""><font size=""5"">CARAMEL NUT BARS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">14  oz. caramels<br>2/3  C evaporated milk (1 small can, 5 1/3 oz)<br>1  box German chocolate cake mix with pudding<br>1  1/2 C chopped walnuts<br>1  C chocolate chips<br>1/2  C margarine, melted<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Melt caramels with 1/3 C milk in saucepan. Mix in bowl melted margarine, 1/3 C milk and cake mix. Put 1/2 of cake mixture in greased pan. Cook at 350 degrees for 6 minutes.</p><p class=""H1"">      Sprinkle 1 C nuts and chocolate chips on cooked cake. Pour melted caramel mixture over top to edges. Blop remaining cake mixture on top and sprinkle 1/2 C nuts on top and press in lightly. Bake for 20 minutes. Refrigerate.</p></td></tr></tbody></table>"
"1521339639-204","http://cookbooks.com/","Nuts","http://cookbooks.com/recipes-search.aspx?id=1&tag=nut","9","http://cookbooks.com/recipes-search.aspx?page=9","125. NUT CAKE","http://cookbooks.com/Recipe-Details.aspx?id=13799","<p class=""H2""><font size=""5"">NUT CAKE</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  c. shortening<br>2  c. sugar<br>4  eggs<br>1  c. milk<br>3  tsp. baking powder<br>1/2  tsp. salt<br>3  c. flour<br>1  tsp. vanilla<br>1  c. nuts, chopped<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Cream shortening and sugar; add eggs and milk. In separate bowl, mix flour, salt, and baking powder; gradually add to first mixture. Add vanilla and nuts. Bake in a tube pan at 350° for 1 hour.</p></td></tr></tbody></table>"
"1521339791-269","http://cookbooks.com/","Nuts","http://cookbooks.com/recipes-search.aspx?id=1&tag=nut","4","http://cookbooks.com/recipes-search.aspx?page=4","60. CHERRY NUT BREAD","http://cookbooks.com/Recipe-Details.aspx?id=11865","<p class=""H2""><font size=""5"">CHERRY NUT BREAD</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  lb. butter or oleo<br>1  lb. powdered sugar<br>6  eggs<br>3  c. flour<br>1 1/2  c. walnuts, chopped<br>1  jar maraschino cherries, chopped<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Cream butter and sugar, then add eggs and mix well.  Add flour, nuts and drained cherries.  Pour into 2 ungreased 9 x 5 loaf pans.  Bake at 350° for 1 hour and 25 minutes.</p></td></tr></tbody></table>"
"1521339443-115","http://cookbooks.com/","Nuts","http://cookbooks.com/recipes-search.aspx?id=1&tag=nut","15","http://cookbooks.com/recipes-search.aspx?page=15","214. BANANA NUT BREAD","http://cookbooks.com/Recipe-Details.aspx?id=27159","<p class=""H2""><font size=""5"">BANANA NUT BREAD</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  c. sugar<br>2  eggs, slightly beaten<br>2  c. Jiffy biscuit mix or any biscuit mix<br>1  tsp. vanilla<br>1/4  c. shortening (Crisco)<br>1  c. very ripe banana, mashed<br>1/3  c. chopped nuts<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Use regular size loaf pan, greased and floured.  Mix all ingredients together and pour into pan.  Bake at 350° for 50 to 60 minutes.  Easy and delicious!</p></td></tr></tbody></table>"
"1521339843-293","http://cookbooks.com/","Nuts","http://cookbooks.com/recipes-search.aspx?id=1&tag=nut","3","http://cookbooks.com/recipes-search.aspx?page=3","36. NUT-FILLED BAKED APPLES","http://cookbooks.com/Recipe-Details.aspx?id=11031","<p class=""H2""><font size=""5"">NUT-FILLED BAKED APPLES</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">8  medium baking apples<br>1  c. granulated sugar<br>1/3  c. water<br>2  Tbsp. butter<br>1  c. Pecan Meal<br>1/4  c. brown sugar, packed<br>1/2  tsp. cinnamon<br>1  egg<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Wash and core apples.  Do not peel.  In saucepan, combine sugar, water and butter.  Heat, stirring until sugar is dissolved. For filling, thoroughly combine Pecan Meal, brown sugar, cinnamon and egg.  Place apples in baking dish and spoon filling into apples until 2/3 full.  Pour syrup over the filling until cavity is filled.  Then pour 1/2 cup water around apples in baking dish. Bake at 350° for about 30 minutes.</p></td></tr></tbody></table>"
"1521339857-299","http://cookbooks.com/","Nuts","http://cookbooks.com/recipes-search.aspx?id=1&tag=nut","2","http://cookbooks.com/recipes-search.aspx?page=2","30. PINEAPPLE NUT TEA SANDWICHES","http://cookbooks.com/Recipe-Details.aspx?id=4165","<p class=""H2""><font size=""5"">PINEAPPLE NUT TEA SANDWICHES</font><br><span class=""H2""><font size=""4""><i>(Brunch, Lunch or High Tea)  </i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  c. crushed pineapple, drained<br>1  c. sugar<br>1  c. chopped pecans or walnuts<br>8  oz. cream cheese<br>  milk or mayonnaise<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      In saucepan, combine pineapple and sugar.  Bring to a boil. Cook until thick, stirring constantly. Cool. Stir in nuts.  Soften and mash cheese with enough milk or mayonnaise to make a good spreading consistency.  Combine with pineapple mixture.  Spread on thin bread.  Trim and cut into squares.  Makes 4 cups.</p><p class=""H1"">      Can reduce calories by using reduced-fat or nonfat cream cheese and mayonnaise.</p></td></tr></tbody></table>"
"1521339353-74","http://cookbooks.com/","Nuts","http://cookbooks.com/recipes-search.aspx?id=1&tag=nut","17","http://cookbooks.com/recipes-search.aspx?page=17","255. FRUIT AND NUT COOKIES","http://cookbooks.com/Recipe-Details.aspx?id=30261","<p class=""H2""><font size=""5"">FRUIT AND NUT COOKIES</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  c. shortening<br>1  c. brown sugar<br>1  c. white sugar<br>2  eggs<br>1  tsp. vanilla<br>2  c. flour<br>1  tsp. soda<br>  pinch of salt<br>1  c. raisins<br>1/2  c. chopped nuts<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Beat first five ingredients together.  Sift together next two ingredients and add.  Mix in last two ingredients.  Drop by teaspoon and bake at 350° for 14 minutes.</p></td></tr></tbody></table>"
"1521339357-76","http://cookbooks.com/","Nuts","http://cookbooks.com/recipes-search.aspx?id=1&tag=nut","17","http://cookbooks.com/recipes-search.aspx?page=17","253. HICKORY NUT CAKE","http://cookbooks.com/Recipe-Details.aspx?id=30231","<p class=""H1"">Could NOT Open Recipe Page Due To:</p>Conversion from type 'DBNull' to type 'String' is not valid."
