web-scraper-order,web-scraper-start-url,category,category-href,page,page-href,title,title-href,info
"1521418243-1075","http://cookbooks.com/","Pasta","http://cookbooks.com/recipes-search.aspx?id=1&tag=pasta","4","http://cookbooks.com/recipes-search.aspx?page=4","49. OYSTER PASTA","http://cookbooks.com/Recipe-Details.aspx?id=739","<p class=""H1"">Could NOT Open Recipe Page Due To:</p>Conversion from type 'DBNull' to type 'String' is not valid."
"1521418206-1058","http://cookbooks.com/","Pasta","http://cookbooks.com/recipes-search.aspx?id=1&tag=pasta","5","http://cookbooks.com/recipes-search.aspx?page=5","66. PASTA SALAD","http://cookbooks.com/Recipe-Details.aspx?id=4517","<p class=""H2""><font size=""5"">PASTA SALAD</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  lb. Mozzarella cheese, cubed<br>1  pkg. riotti noodles, cooked<br>2  small cans, sliced olives<br>1  jar artichoke hearts, quartered<br>1 small  bottle Italian dressing<br>  Parmesan cheese<br>1  red onion, sliced thin<br>1  yellow bell pepper, sliced thin<br>1  red bell pepper, sliced thin<br>1/4  lb. salami, cubed<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">	Combine all ingredients. Mix well. Keep refrigerated.</p></td></tr></tbody></table>"
"1521417986-959","http://cookbooks.com/","Pasta","http://cookbooks.com/recipes-search.aspx?id=1&tag=pasta","11","http://cookbooks.com/recipes-search.aspx?page=11","165. PASTA PRIMAVERA","http://cookbooks.com/Recipe-Details.aspx?id=9713","<p class=""H2""><font size=""5"">PASTA PRIMAVERA</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">16  oz. pkg. spaghetti or linguine<br>1/2 small  bunch broccoli, cut into 1-inch pieces (about 2 c.)<br>2  Tbsp. olive or salad oil<br>1 (12 oz.)  pkg. mushrooms, cut in half<br>1  small onion, minced<br>1  small carrot, cut into matchstick-thin strips<br>1  small red pepper, cut into 1-inch pieces<br>1 (12 oz.)  can evaporated skim milk<br>2  tsp. chicken flavor instant bouillon<br>1 1/4  tsp. cornstarch<br>1/2  tsp. salt<br>1  medium sized tomato<br>2  Tbsp. grated Parmesan cheese<br>2  Tbsp. minced parsley<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      In saucepot, prepare spaghetti as label directs; drain. Return spaghetti to saucepot; keep warm.</p><p class=""H1"">      Meanwhile, in 2-quart saucepan over high heat, in 1-inch boiling water, heat broccoli pieces to boiling. Reduce heat to low; cover and simmer 2 to 3 minutes, stirring occasionally until broccoli is tender-crisp. Drain.</p><p class=""H1"">       While broccoli is cooking, in 12-inch skillet over high heat in hot olive or salad oil, cook mushrooms, onion and carrot, stirring frequently until vegetables are golden and tender-crisp. Add red pepper strips and cook, stirring until vegetables are tender.</p><p class=""H1"">      In 2-cup measuring cup with fork, mix evaporated skim milk, chicken bouillon, cornstarch and salt. Into vegetable mixture in skillet, stir evaporated milk mixture. Over high heat, heat to boiling and boil 1 minute. Add diced tomato, Parmesan cheese, parsley, broccoli and spaghetti, tossing to coat well; heat through. Makes 6 main dish servings.</p><p class=""H1"">      Cal-355, Carb-33, Protein-10, Fat-4g.</p></td></tr></tbody></table>"
"1521418035-980","http://cookbooks.com/","Pasta","http://cookbooks.com/recipes-search.aspx?id=1&tag=pasta","10","http://cookbooks.com/recipes-search.aspx?page=10","144. SPARE RIB PASTA","http://cookbooks.com/Recipe-Details.aspx?id=8527","<p class=""H2""><font size=""5"">SPARE RIB PASTA</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  lb. Penne pasta or mostaccioli<br>3  large onions, chopped<br>6  lb. spare ribs<br>  white wine<br>2  lb. salscicia or other sausage<br>5 large  cans chopped tomatoes with basil, oregano and garlic<br>  olive oil<br>1  bunch fresh basil, chopped<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Cut spare ribs into individual ribs. Cut salscicia into small 3 inch chunks. Sauté rubs and salscicia in olive oil and drain. Add fresh oil and sauté 3 large chopped onions. Add white wine (about 1/2 bottle) and simmer for 1 minute. Add ribs and salscicia, 5 cans chopped tomatoes with garlic, basil and oregano and 1 bunch fresh basil, (destemmed and chopped). Cover and simmer for about 2 - 2 1/2 hours. Cook pasta and drain. Remove meat from sauce. Mix sauce with cooked pasta. Serve meat and pasta separately. Pass Parmesan cheese.</p></td></tr></tbody></table>"
"1521417953-944","http://cookbooks.com/","Pasta","http://cookbooks.com/recipes-search.aspx?id=1&tag=pasta","12","http://cookbooks.com/recipes-search.aspx?page=12","180. PASTA SALAD","http://cookbooks.com/Recipe-Details.aspx?id=20475","<p class=""H2""><font size=""5"">PASTA SALAD</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">  Bermuda onion<br>  tomato<br>  green pepper<br>  olives<br>  cheese<br>2  boxes pasta<br>1 large  bottle Zesty Italian dressing<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Mix dressing with onion, tomato, green pepper, olives and cheese. Cook pasta and add. Let set in refrigerator overnight.</p></td></tr></tbody></table>"
"1521417889-915","http://cookbooks.com/","Pasta","http://cookbooks.com/recipes-search.aspx?id=1&tag=pasta","14","http://cookbooks.com/recipes-search.aspx?page=14","209. PASTA SALAD","http://cookbooks.com/Recipe-Details.aspx?id=21798","<p class=""H2""><font size=""5"">PASTA SALAD</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1/2  pkg. twirl pasta<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Boil pasta according to package directions. Rinse and chill.</p></td></tr></tbody></table><p class=""H3""><strong>Dressing:</strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1/3  c. white vinegar<br>1/3  c. vegetable oil<br>2  Tbsp. chopped fresh parsley or 1 Tbsp. dried<br>2  Tbsp. fresh chopped basil leaves or 1 tsp. dried<br>1  clove garlic, minced<br>  salt and pepper to taste<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Whisk all ingredients together and chill.  Pour over pasta mixed with fresh, chopped salad ingredients such as:  bell peppers, onions, tomatoes, mushrooms, cucumbers, yellow squash, pimentos and ripe or green olives.</p></td></tr></tbody></table>"
"1521418163-1038","http://cookbooks.com/","Pasta","http://cookbooks.com/recipes-search.aspx?id=1&tag=pasta","6","http://cookbooks.com/recipes-search.aspx?page=6","86. SUMMER PASTA SALAD","http://cookbooks.com/Recipe-Details.aspx?id=5139","<p class=""H2""><font size=""5"">SUMMER PASTA SALAD</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  c. ditalini or other small pasta shapes<br>1 (16 oz.)  pkg. frozen mixed vegetables, thawed and drained<br>1/4  c. chopped onion<br>2/3  c. mayonnaise<br>2  Tbsp. lemon juice<br>2  tsp. sugar<br>1  tsp. dried dill weed<br>1  tsp. salt<br>1/4  tsp. pepper<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      In medium saucepot of boiling water, cook pasta to desired doneness; drain and cool. (Rinse with cold water to cool quickly.) In a large bowl, combine cooled pasta, mixed vegetables and onion. Mix well. In small bowl, combine mayonnaise, lemon juice, sugar, dill weed, salt and pepper. Blend well. Pour mayonnaise mixture over pasta-vegetable mixture. Toss lightly. Chill before serving.</p><p class=""H1"">      Note: If desired, garnish with paprika and serve over lettuce. To make a main course, add 1 cup cooked chicken or beef or some diced cheese.</p></td></tr></tbody></table>"
"1521417802-876","http://cookbooks.com/","Pasta","http://cookbooks.com/recipes-search.aspx?id=1&tag=pasta","17","http://cookbooks.com/recipes-search.aspx?page=17","248. FRESH VEGETABLES IN GARLIC SAUCE WITH PASTA","http://cookbooks.com/Recipe-Details.aspx?id=25544","<p class=""H2""><font size=""5"">FRESH VEGETABLES IN GARLIC SAUCE WITH PASTA</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">3  medium carrots<br>2  small zucchini<br>1/4  c. butter or margarine<br>1  large onion, chopped<br>4  cloves garlic, minced<br>1/2  c. chicken broth<br>1/2  c. heavy cream<br>1/2  tsp. salt<br>1/2  tsp. dried tarragon leaves, crushed<br>1/4  tsp. pepper<br>2  c. hot, cooked, drained pasta (fettuccini, ziti or shells)<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Cut carrots and zucchini lengthwise into thin slices with vegetable peeler. Bring 1 inch water to a boil in medium saucepan. Add carrots and zucchini. Cook until crisp tender. Remove from saucepan and drain; set aside. Melt butter in same saucepan over medium heat. Add onion and garlic; cook until tender. Gradually stir in broth, cream and seasonings; simmer 5 minutes or until sauce in slightly thickened. Add vegetables; heat thoroughly, stirring occasionally. Add vegetables and sauce to hot cooked pasta; toss lightly.</p></td></tr></tbody></table>"
"1521418223-1065","http://cookbooks.com/","Pasta","http://cookbooks.com/recipes-search.aspx?id=1&tag=pasta","4","http://cookbooks.com/recipes-search.aspx?page=4","59. CHEESY PASTA SALAD","http://cookbooks.com/Recipe-Details.aspx?id=1374","<p class=""H2""><font size=""5"">CHEESY PASTA SALAD</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  lb. small shells<br>1  jar green olives<br>1  jar black olives<br>1/4  lb. hard salami<br>1/4  lb. pepperoni<br>1/4  lb. white brick Mozzarella<br>3  onions<br>3  stalks celery<br>2  small green peppers<br>3  tomatoes<br>1  tsp. pepper<br>1  tsp. sugar<br>1  Tbsp. oregano<br>1/2  c. vinegar<br>3/4  c. oil<br>1  tsp. salt<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Cook shells until done and drain.  Chop fine the olives, salami, pepperoni, cheese, onions, celery, green peppers and tomatoes.  Combine with shells.  Mix together pepper, sugar, oregano, vinegar, oil and salt.  Pour over shell mixture.</p></td></tr></tbody></table>"
"1521418165-1039","http://cookbooks.com/","Pasta","http://cookbooks.com/recipes-search.aspx?id=1&tag=pasta","6","http://cookbooks.com/recipes-search.aspx?page=6","85. PASTA SALAD","http://cookbooks.com/Recipe-Details.aspx?id=5075","<p class=""H2""><font size=""5"">PASTA SALAD</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  lb. box angel hair pasta, cooked, drained and cooled<br>2  to 3 small tomatoes, chopped<br>1  green pepper, chopped<br>1  small onion, chopped<br>1  to 2 cucumbers<br>1 small  jar Kroger salad seasonings<br>1  pkg. Good Seasons Italian dressing<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Mix the dressing according to directions on package. Mix all ingredients together and keep in the refrigerator overnight.</p></td></tr></tbody></table>"
