web-scraper-order,web-scraper-start-url,cat,cat-href,page,page-href,title,title-href,info
"1522286131-2592","http://www.cookbooks.com/","Pizza","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=pizza","17","http://www.cookbooks.com/recipes-search.aspx?page=17","245. VEGETABLE PIZZA","http://www.cookbooks.com/Recipe-Details.aspx?id=26041","<p class=""H2""><font size=""5"">VEGETABLE PIZZA</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  pkg. crescent rolls<br>1/4  c. sour cream<br>1/4  c. mayonnaise<br>1  pkg. Ranch dressing mix (Hidden Valley)<br>8  oz. cream cheese, softened<br>1  pkg. grated Mozzarella cheese<br>1  pkg. grated Cheddar cheese or American<br>1/2 to 3/4  c. grated carrots (raw)<br>1/2 to 3/4  c. broccoli, finely chopped (raw)<br>1/2 to 3/4  c. cauliflower, finely chopped (raw)<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Spray a large sheet pan with Pam. Place crescent rolls whole on sheet pan. Form a crust. Press the seams together to close any cracks. Bake at 350° until lightly brown; let cool. Mix together sour cream, mayonnaise, Ranch dressing mix and cream cheese and spread over the crust. Sprinkle over spread the remaining ingredients. Chill in the refrigerator for several hours before cutting into serving pieces.</p></td></tr></tbody></table>"
"1522286207-2626","http://www.cookbooks.com/","Pizza","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=pizza","15","http://www.cookbooks.com/recipes-search.aspx?page=15","211. PIZZA CASSEROLE","http://www.cookbooks.com/Recipe-Details.aspx?id=23132","<p class=""H2""><font size=""5"">PIZZA CASSEROLE</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 1/2  lb. ground chuck<br>1  jar pizza sauce<br>1  pkg. sliced pepperoni<br>8  oz. pkg. Mozzarella cheese<br>1 (16 oz.)  box corkscrew macaroni<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Fry the ground chuck until brown. Add cooked macaroni, pizza sauce and ground chuck together in a large flat casserole dish. Spread Mozzarella cheese over top. Place sliced pepperoni on top of cheese. Bake in oven at 325° for 25 minutes.</p></td></tr></tbody></table>"
"1522286120-2587","http://www.cookbooks.com/","Pizza","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=pizza","17","http://www.cookbooks.com/recipes-search.aspx?page=17","250. FRUIT PIZZA","http://www.cookbooks.com/Recipe-Details.aspx?id=27927","<p class=""H2""><font size=""5"">FRUIT PIZZA</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  pkg. sugar cookie dough<br>8  oz. cream cheese<br>1  c. sugar<br>1  tsp. vanilla<br>1  pkg. strawberry glaze<br>  grapes<br>  strawberries<br>  bananas<br>  kiwi<br>  pineapple (fresh)<br>  peaches (fresh)<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">	Spread cookie dough in a 9 x 13-inch pan and bake according to directions on package. Then set aside to cool. Mix cream cheese, sugar and vanilla. Spread mixture over cooled cookie crust. Next, spread strawberry glaze over the cream cheese mixture. Slice fruit separately and arrange in layers over strawberry glaze. Refrigerate 1 hour before serving.</p></td></tr></tbody></table>"
"1522286644-2810","http://www.cookbooks.com/","Pizza","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=pizza","2","http://www.cookbooks.com/recipes-search.aspx?page=2","27. VEGGIE PIZZA APPETIZERS","http://www.cookbooks.com/Recipe-Details.aspx?id=3240","<p class=""H2""><font size=""5"">VEGGIE PIZZA APPETIZERS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  cans (8 count) Crescent Rolls<br>16  oz. Soft Cream Cheese<br>1  envelope Hidden Valley Ranch Salad Dressing Mix<br>1  cup Mayonnaise<br>  Broccoli<br>  Red Pepper<br>  Cucumber<br>  Baby Carrots<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Spray a 15 inch jelly roll pan with non-stick cooking spray, pull out the dough sealing the edges.  Bake according to pkg directions, leave in the pan to cool.</p><p class=""H1"">      Chop all the veggies very small and toss them together in a large bowl.  Mix cream cheese, mayonnaise and Salad dressing mix together, spread over the cooled crust. Top with veggies, pressing down into the cream cheese.  Cut into 1 inch squares.</p><p class=""H1"">      You can replace the above veggies with what ever kind of veggies you like.</p></td></tr></tbody></table>"
"1522286465-2738","http://www.cookbooks.com/","Pizza","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=pizza","7","http://www.cookbooks.com/recipes-search.aspx?page=7","99. MACARONI PIZZA STYLE","http://www.cookbooks.com/Recipe-Details.aspx?id=9212","<p class=""H2""><font size=""5"">MACARONI PIZZA STYLE</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  lb. ground beef<br>1/2  c. chopped onion<br>8  oz. small elbow macaroni, cooked and drained<br>1  (15 oz.) Hunt's tomato sauce with tomato bits<br>1/4  c. water<br>1/2  tsp. garlic salt<br>1/2  tsp. basil<br>1/4  tsp. oregano<br>2  c. mozzarella cheese<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Brown beef and onion.  Mix seasonings in water.  Mix browned beef, cooked macaroni, seasonings and tomato sauce.  Pour 1/2 mixture in Pyrex dish; add 1/2 of cheese.  Pour remaining meat mixture and top with cheese.  Makes two 8 x 8 or one 8 x 12 inch pyrex dishes.  Freezes well for another meal.</p></td></tr></tbody></table>"
"1522286241-2641","http://www.cookbooks.com/","Pizza","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=pizza","14","http://www.cookbooks.com/recipes-search.aspx?page=14","196. QUICK PIZZA CASSEROLE","http://www.cookbooks.com/Recipe-Details.aspx?id=22490","<p class=""H2""><font size=""5"">QUICK PIZZA CASSEROLE</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  lb. ground beef<br>1 (14 oz.)  jar pizza sauce<br>2  c. (8 oz.) Mozzarella cheese<br>3/4  c. biscuit mix<br>1 1/2  c. milk<br>2  eggs<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Brown ground beef  and drain.  Spoon into 8-inch baking dish. Top with  pizza sauce and cheese.  Combine biscuit mix, milk and eggs.  Beat  until  smooth  and  pour over casserole. Bake at 400° for 30 to 35 minutes.</p></td></tr></tbody></table>"
"1522286552-2772","http://www.cookbooks.com/","Pizza","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=pizza","5","http://www.cookbooks.com/recipes-search.aspx?page=5","65. WHOLE WHEAT PIZZA","http://www.cookbooks.com/Recipe-Details.aspx?id=7312","<p class=""H1"">Could NOT Open Recipe Page Due To:</p>Conversion from type 'DBNull' to type 'String' is not valid."
"1522286668-2821","http://www.cookbooks.com/","Pizza","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=pizza","2","http://www.cookbooks.com/recipes-search.aspx?page=2","16. PEPPERONI HEART SHAPED PIZZA","http://www.cookbooks.com/Recipe-Details.aspx?id=2688","<p class=""H2""><font size=""5"">PEPPERONI HEART SHAPED PIZZA</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  c. Bisquick baking mix<br>1/2  c. cold water<br>1/2  c. grated Parmesan cheese<br>1  tsp. dried oregano leaves, slightly crushed<br>1/2  tsp. garlic powder<br>8  oz. tomato sauce<br>3 1/2  oz. pkg. pepperoni<br>1 (2.2 oz.)  can sliced olives<br>1 (2 1/2 oz.)  jar sliced mushrooms<br>1 1/2  c. shredded Mozzarella cheese (6 oz.)<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Heat oven to 425°.  Mix baking mix and water until soft dough forms; beat vigorously for 20 strokes.  Pat dough with hands floured with baking mix into 12-inch heart shape on lightly greased cookie sheet, carefully forming a 1/2-inch rim.  Sprinkle evenly with Parmesan cheese.  Stir oregano and garlic powder into tomato sauce; spoon over Parmesan cheese.  Carefully spread to cover; sprinkle with remaining ingredients.  Bake until crust is golden brown, about 20 minutes.</p></td></tr></tbody></table>"
"1522286655-2815","http://www.cookbooks.com/","Pizza","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=pizza","2","http://www.cookbooks.com/recipes-search.aspx?page=2","22. PIZZA CUPS","http://www.cookbooks.com/Recipe-Details.aspx?id=3190","<p class=""H2""><font size=""5"">PIZZA CUPS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  Tbsp. margarine<br>1/3  c. mushrooms, chopped<br>1/4  c. green pepper, chopped<br>1/4  c. onion, chopped<br>6  oz. tomato paste<br>1/4  c. water<br>1/2  tsp. dried oregano leaves<br>1 1/2  c. shredded Mozzarella cheese<br>7 1/2  oz. can refrigerated buttermilk biscuits<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Melt margarine. Add mushrooms, peppers and onions to skillet. Stir until veggies are tender. Add tomato paste, water and oregano; blend. Cover for 5 minutes. Simmer over low heat. Add 1 cup cheese. Mix well. Grease 10 muffin cups. Separate dough into 10 biscuits. Press biscuits onto bottom and sides of muffin cups. Fill with vegetable mixture. Bake at 375° for 20 to 25 minutes. Remove from oven and sprinkle with remaining cheese.</p></td></tr></tbody></table>"
"1522286290-2661","http://www.cookbooks.com/","Pizza","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=pizza","12","http://www.cookbooks.com/recipes-search.aspx?page=12","176. PEPPERONI PIZZA SPREAD","http://www.cookbooks.com/Recipe-Details.aspx?id=19675","<p class=""H2""><font size=""5"">PEPPERONI PIZZA SPREAD</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  c. (8 oz.) shredded Cheddar cheese<br>2  c. (8 oz.) shredded Mozzarella cheese<br>1  c. real mayonnaise<br>1  c. chopped pepperoni<br>1 (4 oz.)  can drained mushrooms, drained and chopped<br>1/2  c. chopped onion<br>1/2  c. green pepper<br>1 (6 oz.)  can ripe olives<br>1  c. chopped stuffed green olives<br>  crackers, breadsticks and/or French bread<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      In large bowl, combine the first 9 ingredients.  Transfer to an 11 x 7 x 2 baking dish.  Bake uncovered at 350° for 25 to 30 minutes.  Serve with crackers, breadsticks or French bread.</p></td></tr></tbody></table>"
