web-scraper-order,web-scraper-start-url,category,category-href,page,page-href,title,title-href,info
"1520708970-654","http://www.cookbooks.com/","Quick and Easy","http://www.cookbooks.com/recipes-search.aspx?id=1&strSearch=Quick%20Easy","11","http://www.cookbooks.com/recipes-search.aspx?page=11","158. QUICK 'N EASY LEMON POPPY SEED CAKE","http://www.cookbooks.com/Recipe-Details.aspx?id=978874","<p class=""H2""><font size=""5"">QUICK 'N EASY LEMON POPPY SEED CAKE</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong>Icing:</strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">  pure lemon juice to taste<br>  confectioners powdered sugar<br>  yellow food coloring<br>2  c. sugar<br>3  c. flour<br>1  c. oil<br>4  eggs<br>1  can pumpkin<br>2  tsp. baking powder<br>2  tsp. baking soda<br>2  tsp. cinnamon<br>1  tsp. salt<br>1  c. chocolate chips<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Mix all but chocolate chips.  Beat for 5 minutes.  Fold in 3/4 cup chocolate chips.  Pour into greased tube pan and top with remaining chips.</p></td></tr></tbody></table>"
"1520708793-575","http://www.cookbooks.com/","Quick and Easy","http://www.cookbooks.com/recipes-search.aspx?id=1&strSearch=Quick%20Easy","16","http://www.cookbooks.com/recipes-search.aspx?page=16","237. QUICK AND EASY BAKED BEANS","http://www.cookbooks.com/Recipe-Details.aspx?id=605093","<p class=""H2""><font size=""5"">QUICK AND EASY BAKED BEANS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2 (16 oz.)  cans baked beans<br>2 (16 oz.)  cans barbecue beans<br>1/2  c. chopped onion<br>1  c. tomato sauce<br>2  Tbsp. margarine<br>2  Tbsp. molasses or firmly packed brown sugar<br>2  tsp. dry mustard<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Preheat oven to 350°.    Place ingredients in a 3-quart casserole dish in the order listed.    Toss lightly to mix well. Bake, uncovered, for 45 to 60 minutes.</p></td></tr></tbody></table>"
"1520708978-658","http://www.cookbooks.com/","Quick and Easy","http://www.cookbooks.com/recipes-search.aspx?id=1&strSearch=Quick%20Easy","11","http://www.cookbooks.com/recipes-search.aspx?page=11","154. QUICK 'N EASY CORN RELISH","http://www.cookbooks.com/Recipe-Details.aspx?id=1019686","<p class=""H2""><font size=""5"">QUICK 'N EASY CORN RELISH</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2 (12 oz.)  cans whole kernel corn with sweet peppers, drained<br>3  Tbsp. cooking oil<br>1/2  c. sugar<br>1/2  c. vinegar<br>2  tsp. minced dried onions<br>1/2  tsp. salt<br>1/4  tsp. celery seed<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">	In bowl combine drained  corn  and  cooking  oil.  In a small saucepan combine  sugar, vinegar, minced onion, salt and celery seed.  Cover and  bring  to  boiling;  reduce  heat and simmer for 2 minutes.	Add  to  corn  mixture; cover and cool. Refrigerate for several  hours	or  until  thoroughly chilled. Drain to serve. Makes about 3 cups.</p></td></tr></tbody></table>"
"1520708666-521","http://www.cookbooks.com/","Quick and Easy","http://www.cookbooks.com/recipes-search.aspx?id=1&strSearch=Quick%20Easy","20","http://www.cookbooks.com/recipes-search.aspx?page=20","291. QUICK AND EASY BLUEBERRY DESSERT","http://www.cookbooks.com/Recipe-Details.aspx?id=175164","<p class=""H2""><font size=""5"">QUICK AND EASY BLUEBERRY DESSERT</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 (16 oz.)  can blueberry pie filling<br>1  (12 oz.) Cool Whip<br>1  box graham crackers<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      In a 9 x 13-inch casserole dish, layer ingredients as follows: whole graham crackers, Cool Whip, blueberry filling and Cool Whip.  Sprinkle graham crumbs on top for garnish.  Chill overnight for best results.</p></td></tr></tbody></table>"
"1520709220-765","http://www.cookbooks.com/","Quick and Easy","http://www.cookbooks.com/recipes-search.aspx?id=1&strSearch=Quick%20Easy","4","http://www.cookbooks.com/recipes-search.aspx?page=4","47. EASY AND QUICK JELLY ROLL","http://www.cookbooks.com/Recipe-Details.aspx?id=565494","<p class=""H2""><font size=""5"">EASY AND QUICK JELLY ROLL</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  eggs, separated<br>3/4  c. white sugar<br>1  c. flour<br>1  tsp. baking powder<br>1/3  c. water<br>1/2  tsp. vanilla<br>1/2  tsp. salt<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Beat egg yolks until light and gradually add sugar and water. Beat well.  Sift dry ingredients together and gradually add to the batter.  Fold in well beaten egg whites.  Pour into a well-greased and floured 11 1/2 x 8-inch pan. Bake at 325° to 350° not over 15 minutes. Turn out on a cloth sprinkled with powdered sugar. Trim end edges.  Spread with jelly or jam.  Roll while cake is warm, wrapping it in the cloth.  Sprinkle with powdered sugar before slicing.</p></td></tr></tbody></table>"
"1520709150-734","http://www.cookbooks.com/","Quick and Easy","http://www.cookbooks.com/recipes-search.aspx?id=1&strSearch=Quick%20Easy","6","http://www.cookbooks.com/recipes-search.aspx?page=6","78. EASY-QUICK DUMP CAKE","http://www.cookbooks.com/Recipe-Details.aspx?id=302567","<p class=""H2""><font size=""5"">EASY-QUICK DUMP CAKE</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">20  oz. can pie filling (your choice)<br>20  oz. can crushed pineapple with juice<br>1  c. brown sugar (optional)<br>1  box yellow cake mix<br>1  c. flaked coconut<br>1/2  c. chopped pecans<br>1 1/2  sticks margarine, slightly melted and spread over all<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Spread all in a 9 x 13-inch pan in order listed.  Bake at 350° until done.  Serve with Cool Whip or ice cream.</p></td></tr></tbody></table>"
"1520708808-582","http://www.cookbooks.com/","Quick and Easy","http://www.cookbooks.com/recipes-search.aspx?id=1&strSearch=Quick%20Easy","16","http://www.cookbooks.com/recipes-search.aspx?page=16","230. QUICK AND EASY APPLESAUCE DESSERT","http://www.cookbooks.com/Recipe-Details.aspx?id=825729","<p class=""H2""><font size=""5"">QUICK AND EASY APPLESAUCE DESSERT</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  can unsweetened applesauce<br>1 small  pkg. sugar-free Jell-O (any red color)<br>  lite Cool Whip<br>  graham crackers<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Put applesauce in a mixing bowl.  Add dry Jell-O; stir until well mixed.  Add a small amount of Cool Whip, about 3 tablespoons. Stir until Cool Whip is mixed and apples are a pretty rose pink (not red).</p><p class=""H1"">      Break graham crackers into pieces.  Place crackers in a layer in bottom of a serving dish; pour in half of applesauce.  Add another layer of crackers and the remaining applesauce.  Decorate top of dessert with any leftover crackers and Cool Whip.  If desired, sprinkle coconut on top of Cool Whip.</p></td></tr></tbody></table>"
"1520708902-624","http://www.cookbooks.com/","Quick and Easy","http://www.cookbooks.com/recipes-search.aspx?id=1&strSearch=Quick%20Easy","13","http://www.cookbooks.com/recipes-search.aspx?page=13","188. QUICK 'N EASY TOMATO ASPIC","http://www.cookbooks.com/Recipe-Details.aspx?id=1057775","<p class=""H2""><font size=""5"">QUICK 'N EASY TOMATO ASPIC</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 (1 lb.)  can stewed tomatoes<br>1 small  pkg. lemon jello<br>  stuffed olives, coarsely chopped or sliced in rounds (dozen or so)<br>1/2  pkg. plain gelatin, softened in a little water<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Mash tomatoes in pan and bring to boil.  Remove from heat. Add Jell-O and softened gelatin.  Stir to dissolve well.  Add olives.  Pour into mold and chill until firm.</p><p class=""H1"">      Variations:  Add some lemon juice and 1/2 teaspoon horseradish.</p></td></tr></tbody></table>"
"1520708928-635","http://www.cookbooks.com/","Quick and Easy","http://www.cookbooks.com/recipes-search.aspx?id=1&strSearch=Quick%20Easy","12","http://www.cookbooks.com/recipes-search.aspx?page=12","177. QUICK 'N EASY SALMON PATTIES","http://www.cookbooks.com/Recipe-Details.aspx?id=39255","<p class=""H2""><font size=""5"">QUICK 'N EASY SALMON PATTIES</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 (15 to 16 oz.)  can pink salmon<br>1  egg<br>1/3  c. minced onion<br>1/2  c. flour<br>1 1/2  tsp. baking powder<br>1 1/2  c. Crisco oil<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Drain salmon. Set aside 2 tablespoons of the juice. In a medium mixing bowl, mix salmon, egg and onion until sticky. Stir in flour. Add baking powder to salmon juice. Stir into salmon mixture. Form into small patties and fry until golden brown (about 5 minutes) in hot oil, turning once. Serve with tartar or Caesar salad dressing. Serves 4 to 6.</p></td></tr></tbody></table>"
"1520709239-773","http://www.cookbooks.com/","Quick and Easy","http://www.cookbooks.com/recipes-search.aspx?id=1&strSearch=Quick%20Easy","3","http://www.cookbooks.com/recipes-search.aspx?page=3","39. DUMP CAKE - QUICK AND EASY","http://www.cookbooks.com/Recipe-Details.aspx?id=931174","<p class=""H2""><font size=""5"">DUMP CAKE - QUICK AND EASY</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 (20 oz.)  can crushed pineapple<br>1 (20 oz.)  can cherry pie filling<br>1  yellow cake mix<br>3/4  c. melted butter<br>1/2  c. coconut<br>1  c. chopped pecans<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Dump the pineapple and pie filling in bottom of oblong pan. Smooth out. Sprinkle cake mix over this.  Pour melted butter, then sprinkle coconut and pecans on top. Bake 1 hour at 350°.</p></td></tr></tbody></table>"
"1520709287-795","http://www.cookbooks.com/","Quick and Easy","http://www.cookbooks.com/recipes-search.aspx?id=1&strSearch=Quick%20Easy","2","http://www.cookbooks.com/recipes-search.aspx?page=2","17. BEST EVER QUICK AND EASY BLUEBERRY MUFFINS","http://www.cookbooks.com/Recipe-Details.aspx?id=269344","<p class=""H2""><font size=""5"">BEST EVER QUICK AND EASY BLUEBERRY MUFFINS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 3/4  c. all-purpose flour<br>1/4  c. sugar<br>2 1/2  tsp. baking powder<br>3/4  tsp. salt<br>1  well-beaten egg<br>3/4  c. milk<br>1/3  c. cooking oil or melted shortening<br>1  c. fresh blueberries<br>2  Tbsp. sugar<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Note:  May  use  1  cup  frozen  blueberries, thawed and drained.</p><p class=""H1"">      Toss  blueberries  in  sugar and set aside.  Sift flour, sugar,  salt and baking powder into bowl.  Make well in center. Combine egg, milk and oil.  Add all at once to dry ingredients. Stir  quickly  until  just  moist.  Gently add berries.  Do not overstir;  should  be rough looking.  Fill greased muffin  pans 2/3 full.  Bake at 400° for 25 minutes.  Makes 1 dozen.</p><p class=""H1"">      Optional:  Dip tops in melted butter and then in sugar.</p></td></tr></tbody></table>"
"1520708766-563","http://www.cookbooks.com/","Quick and Easy","http://www.cookbooks.com/recipes-search.aspx?id=1&strSearch=Quick%20Easy","17","http://www.cookbooks.com/recipes-search.aspx?page=17","249. QUICK AND EASY BANANA CAKE","http://www.cookbooks.com/Recipe-Details.aspx?id=392042","<p class=""H2""><font size=""5"">QUICK AND EASY BANANA CAKE</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  large eggs<br>1/2  c. butter-flavored Crisco or margarine<br>1 1/2  c. sugar<br>1 1/2  tsp. vanilla flavoring<br>1  c. milk<br>1 3/4  c. self-rising flour<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Preheat oven to 300°.  In large mixing bowl, cream together eggs, Crisco, sugar, vanilla and then add milk and flour.  Mix with spoon, then use hand mixer on medium for 1 minute.  Pour into 2 well-greased cake pans and bake 20 to 25 minutes or until golden brown, then cool.</p></td></tr></tbody></table><p class=""H3""><strong>Frosting:</strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  large bananas<br>4  Tbsp. sugar<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Mash bananas well.  Add the sugar and mix well.  Spread between cake layers and on top.  Let stand 2 hours and serve. This is great and quick for unexpected guests.</p></td></tr></tbody></table>"
"1520708825-589","http://www.cookbooks.com/","Quick and Easy","http://www.cookbooks.com/recipes-search.aspx?id=1&strSearch=Quick%20Easy","15","http://www.cookbooks.com/recipes-search.aspx?page=15","223. QUICK AND EASY APPLE CRISP","http://www.cookbooks.com/Recipe-Details.aspx?id=517333","<p class=""H2""><font size=""5"">QUICK AND EASY APPLE CRISP</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 (20 oz.)  can Comstock apple filling and topping<br>3/4  c. brown sugar<br>1/2  c. flour<br>1/2  c. quick or old fashioned oats<br>1/3  c. butter or oleo, softened<br>3/4  tsp. cinnamon<br>1/2  tsp. nutmeg<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Place apple filling in greased 1-quart baking dish.  Combine all remaining ingredients. Sprinkle over apples.  Bake at 375° for almost 30 minutes or until topping is golden brown.  Serve warm. Makes 6 servings.</p></td></tr></tbody></table>"
