web-scraper-order,web-scraper-start-url,cat,cat-href,page,page-href,title,title-href,info
"1522281288-886","http://www.cookbooks.com/","Salad","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Salad","17","http://www.cookbooks.com/recipes-search.aspx?page=17","241. REDUCED FAT CRANBERRY SALAD","http://www.cookbooks.com/Recipe-Details.aspx?id=4404","<p class=""H2""><font size=""5"">REDUCED FAT CRANBERRY SALAD</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">12  oz. fresh cranberries, ground<br>1/2  c. walnuts, chopped<br>2  c. red grapes, cut in halves<br>1  can crushed pineapple<br>1  (8 oz.) container nondairy whipped topping (""lite"" version)<br>1 1/2  c. sugar<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Grind cranberries.  Grind or chop walnuts.  Cut grapes in half, removing seeds if necessary.  Place the ingredients in a large mixing bowl.  Add sugar and pineapple.  Cover and marinate overnight in refrigerator.  Add whipped topping just before serving.  Yield:  Approximately 20 servings.</p></td></tr></tbody></table>"
"1522281292-887","http://www.cookbooks.com/","Salad","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Salad","16","http://www.cookbooks.com/recipes-search.aspx?page=16","240. COCA-COLA SALAD","http://www.cookbooks.com/Recipe-Details.aspx?id=4403","<p class=""H2""><font size=""5"">COCA-COLA SALAD</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  pkg. strawberry Jell-O<br>1  pkg. cherry Jell-O<br>2  c. hot water<br>8  oz. pkg. Philadelphia cream cheese<br>12  oz. Coca-Cola<br>1/2  c. pineapple juice<br>1 large  can crushed pineapple<br>1  c. nuts<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Dissolve the Jell-O in your hot water.  Mix in cream cheese (cut in small pieces).  Add cola and juice.  When mixture begins to thicken, add pineapple and nuts.</p></td></tr></tbody></table>"
"1522281269-877","http://www.cookbooks.com/","Salad","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Salad","17","http://www.cookbooks.com/recipes-search.aspx?page=17","250. ORANGE PARFAIT SALAD","http://www.cookbooks.com/Recipe-Details.aspx?id=4413","<p class=""H1"">Could NOT Open Recipe Page Due To:</p>Conversion from type 'DBNull' to type 'String' is not valid."
"1522281561-1006","http://www.cookbooks.com/","Salad","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Salad","9","http://www.cookbooks.com/recipes-search.aspx?page=9","121. GUACAMOLE CHICKEN SALAD","http://www.cookbooks.com/Recipe-Details.aspx?id=1860","<p class=""H2""><font size=""5"">GUACAMOLE CHICKEN SALAD</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1/2  c. mayonnaise or salad dressing<br>2  Tbsp. lemon juice<br>1/2  tsp. salt<br>3  c. chopped, cooked chicken<br>1  c. chopped celery<br>1  medium tomato, chopped<br>1  avocado, diced<br>  lettuce leaves<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Combine mayonnaise, lemon juice and salt; blend well.  Stir in chicken, celery, tomato and avocado; chill to blend flavors.  Serve on lettuce leaves.  Makes four servings.</p></td></tr></tbody></table>"
"1522281636-1039","http://www.cookbooks.com/","Salad","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Salad","6","http://www.cookbooks.com/recipes-search.aspx?page=6","88. CAESAR SALAD","http://www.cookbooks.com/Recipe-Details.aspx?id=1369","<p class=""H2""><font size=""5"">CAESAR SALAD</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">3  medium heads romaine lettuce, chilled, dry and crisp<br>  about 1/3 c. Garlic Olive Oil<br>2 to 3  Tbsp. wine vinegar<br>1  lemon, halved<br>1  or 2 hard-cooked eggs<br>  salt<br>  dash of Worcestershire sauce<br>  ground pepper<br>6  Tbsp. Parmesan cheese<br>  Caesar croutons<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Break romaine leaves in 2 or 3-inch widths.  At last minute before serving, place romaine in chilled salad bowl.  Drizzle with Garlic Olive Oil, then vinegar.  Squeeze lemon over.  Break in eggs.  Season with salt and Worcestershire sauce.  Sprinkle pepper over all.  Sprinkle with Parmesan cheese.  Toss several times until every leaf is coated.  Add croutons.  Makes 6 servings.</p><p class=""H1"">      Garlic Olive Oil:  Prepare one to several days early.  Slice 6 cloves garlic lengthwise in quarters; let stand in 1 cup olive oil.</p></td></tr></tbody></table>"
"1522281767-1098","http://www.cookbooks.com/","Salad","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Salad","2","http://www.cookbooks.com/recipes-search.aspx?page=2","29. SEAFOOD PASTA SALAD","http://www.cookbooks.com/Recipe-Details.aspx?id=674","<p class=""H1"">Could NOT Open Recipe Page Due To:</p>Conversion from type 'DBNull' to type 'String' is not valid."
"1522281725-1080","http://www.cookbooks.com/","Salad","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Salad","4","http://www.cookbooks.com/recipes-search.aspx?page=4","47. CHINESE CHICKEN SALAD","http://www.cookbooks.com/Recipe-Details.aspx?id=777","<p class=""H1"">Could NOT Open Recipe Page Due To:</p>Conversion from type 'DBNull' to type 'String' is not valid."
"1522281423-946","http://www.cookbooks.com/","Salad","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Salad","13","http://www.cookbooks.com/recipes-search.aspx?page=13","181. MEATLESS TACO SALAD","http://www.cookbooks.com/Recipe-Details.aspx?id=4301","<p class=""H2""><font size=""5"">MEATLESS TACO SALAD</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  large head lettuce<br>2  tomatoes, diced<br>1  medium purple onion, sliced<br>1  can Texas Ranch Style beans<br>1  bag Doritos, crushed<br>1  pkg. shredded cheese<br>1  bottle Catalina salad dressing<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Shred or cut lettuce in large bowl. Add diced tomatoes, sliced onions, beans, cheese and crushed Doritos. Right before serving, add whole bottle of Catalina salad dressing. Stir until salad is well covered with dressing.</p></td></tr></tbody></table>"
"1522281738-1085","http://www.cookbooks.com/","Salad","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Salad","3","http://www.cookbooks.com/recipes-search.aspx?page=3","42. CHICKEN SALAD CASSEROLE","http://www.cookbooks.com/Recipe-Details.aspx?id=772","<p class=""H1"">Could NOT Open Recipe Page Due To:</p>Conversion from type 'DBNull' to type 'String' is not valid."
"1522281400-935","http://www.cookbooks.com/","Salad","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Salad","13","http://www.cookbooks.com/recipes-search.aspx?page=13","192. SUMMER VEGETABLE SALAD","http://www.cookbooks.com/Recipe-Details.aspx?id=4314","<p class=""H2""><font size=""5"">SUMMER VEGETABLE SALAD</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">4  medium tomatoes, chopped<br>3  large cucumbers, seeded and chopped<br>1  medium onion, chopped<br>10  radishes, sliced<br>2  c. (16 oz.) sour cream<br>1/4  c. lemon juice<br>1  tsp. seasoned salt<br>1/2  tsp. pepper<br>3/4  tsp. celery seed (optional)<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      In a large bowl, combine tomatoes, cucumbers, onion and radishes. In a small bowl, combine the remaining ingredients. Add to vegetables and toss to coat. Cover and refrigerate at least 2 hours. Serve with slotted spoon. Yields 16 servings.</p></td></tr></tbody></table>"
