web-scraper-order,web-scraper-start-url,cat,cat-href,page,page-href,title,title-href,info
"1522282452-1340","http://www.cookbooks.com/","Soup","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Soup","5","http://www.cookbooks.com/recipes-search.aspx?page=5","72. SOUR CREAM CUCUMBER SOUP","http://www.cookbooks.com/Recipe-Details.aspx?id=1007","<p class=""H2""><font size=""5"">SOUR CREAM CUCUMBER SOUP</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">3  medium cucumbers<br>1/2  c. chopped onions<br>2  Tbsp. butter<br>1  Tbsp. flour<br>2  c. rich chicken broth<br>1  tsp. seasoned salt<br>1 1/2  c. dairy sour cream<br>3/4  Tbsp. lemon juice<br>1/8  tsp. dried dill<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Pare and slice 2 cucumbers (about 3 cups).  Cook with onions in butter until soft.  Stir in flour; add broth slowly.  Cover; simmer until cucumbers are tender, about 10 minutes.  Cool slightly; add seasoned salt.  Whirl smooth in blender or processor.  Chill well. Pare remaining cucumber and scoop out seeds.  Grate the cucumber medium coarse.  Add to chilled soup base along with sour cream. Blend in lemon juice and dill.</p><p class=""H1"">      The base can be made ahead and placed in refrigerator.  At the last minute add grated cucumber, sour cream, lemon and dill.  Makes about 1 1/2 quarts.  Serves 6.</p></td></tr></tbody></table>"
"1522282418-1325","http://www.cookbooks.com/","Soup","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Soup","6","http://www.cookbooks.com/recipes-search.aspx?page=6","87. CHUNKY PIZZA SOUP","http://www.cookbooks.com/Recipe-Details.aspx?id=1047","<p class=""H2""><font size=""5"">CHUNKY PIZZA SOUP</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  Tbsp. olive oil<br>1  small onion, chopped<br>1  green pepper, chopped<br>1/2  c. sliced mushrooms<br>1 (28 oz.)  can plum tomatoes, undrained<br>1  c. beef stock<br>1/4  c. fresh basil, chopped or 1 tsp. dry basil<br>1  c. thinly sliced pepperoni<br>1  c. shredded Mozzarella cheese<br>1/4  c. Parmesan cheese<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      In saucepan heat oil; add onion, pepper and mushrooms. Stir-fry until soft, but not browned.  Add tomatoes, stock, basil and pepperoni; cook until heated through.  Mix 2 cheeses; ladle soup into 4 ovenproof bowls.  Sprinkle with cheese.  Broil until cheese melts.  Or microwave on High for 1 1/2 minutes.  Serve immediately with some warm crusty French bread.  Makes 4 servings.</p></td></tr></tbody></table>"
"1522282535-1377","http://www.cookbooks.com/","Soup","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Soup","3","http://www.cookbooks.com/recipes-search.aspx?page=3","35. ORIENTAL SOUP","http://www.cookbooks.com/Recipe-Details.aspx?id=969","<p class=""H2""><font size=""5"">ORIENTAL SOUP</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">5  chicken bouillon cubes<br>4  c. boiling water<br>1  c. fresh spinach leaves or watercress leaves<br>1/2  c. (small can) water chestnuts, drained and sliced<br>1  c. bean sprouts, drained<br>  soy sauce to taste<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Dissolve bouillon cubes in water and simmer spinach or watercress just until tender.  Add remaining ingredients and simmer 2 more minutes.  Serves 5 generously.</p></td></tr></tbody></table>"
"1522282244-1247","http://www.cookbooks.com/","Soup","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Soup","11","http://www.cookbooks.com/recipes-search.aspx?page=11","165. CHEESY POTATO SOUP","http://www.cookbooks.com/Recipe-Details.aspx?id=4462","<p class=""H2""><font size=""5"">CHEESY POTATO SOUP</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">5  c. diced potatoes<br>1 1/2  c. diced carrots<br>1 1/2  c. diced celery<br>1  c. diced onion<br>2  tsp. salt<br>  water<br>1  can evaporated milk<br>1  c. half and half<br>2  c. Velveeta cheese (1/2 large brick)<br>1/4  c. butter<br>  pepper to taste<br>2  c. cooked and diced ham<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Combine potatoes, carrots, celery and onion in a large pot. Add salt and enough water to cover the vegetables. Boil for about 20 minutes or until vegetables are soft. Slightly mash some (but not all) of the potatoes. Take mixture off stove. Stir in the rest of the ingredients. Return to stove and heat on medium-low until cheese is melted and soup is bubbly.</p></td></tr></tbody></table>"
"1522282445-1337","http://www.cookbooks.com/","Soup","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Soup","5","http://www.cookbooks.com/recipes-search.aspx?page=5","75. CORN CHOWDER SOUP","http://www.cookbooks.com/Recipe-Details.aspx?id=1010","<p class=""H2""><font size=""5"">CORN CHOWDER SOUP</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  to 3 strips bacon<br>1  onion, diced<br>2  potatoes, cubed<br>1/2  c. water<br>1  can cream-style corn<br>2  c. milk<br>1/2  tsp. salt<br>1  c. finely sliced ham<br>1/2  c. Cheddar cheese, grated<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Fry bacon (2 or 3 strips) until crisp.  Remove bacon and fry onion until limp.  Add potatoes and water; boil until potatoes are done.  Add corn, milk, salt and ham.  Top with cheese and bacon. Simmer.</p></td></tr></tbody></table>"
"1522282198-1227","http://www.cookbooks.com/","Soup","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Soup","13","http://www.cookbooks.com/recipes-search.aspx?page=13","185. CRAB SOUP","http://www.cookbooks.com/Recipe-Details.aspx?id=4528","<p class=""H2""><font size=""5"">CRAB SOUP</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  bunch green onions<br>1  lb. crabmeat<br>1/4  c. butter<br>1  tsp. liquid crab boil<br>1  stick butter<br>1  can cream of mushroom soup<br>2 soup  cans whole milk<br>1  pt. half and half<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">	Melt 1/4 cup of butter. Add green onions and sauté for 15 minutes. Add all other ingredients and simmer for 30 minutes. Do not allow mixture to boil.</p></td></tr></tbody></table>"
"1522282193-1225","http://www.cookbooks.com/","Soup","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Soup","13","http://www.cookbooks.com/recipes-search.aspx?page=13","187. HOMEMADE VEGETABLE SOUP","http://www.cookbooks.com/Recipe-Details.aspx?id=4530","<p class=""H2""><font size=""5"">HOMEMADE VEGETABLE SOUP</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  chuck roast, cut up<br>1  onion, chopped<br>1/2  bell pepper, chopped<br>2  to 3 onion tops, chopped<br>1/2  tsp. parsley flakes<br>1/2  tsp. garlic, minced<br>1/4  tsp. cayenne pepper<br>2  potatoes, diced<br>2  cans tomato sauce<br>1  can Ro-Tel<br>1/2  can whole tomatoes, cut up<br>2  cans whole kernel corn<br>2  cans sweet peas<br>1  can cut green beans<br>1  can lima beans<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">	In a large pot, add meat and water. Bring to a boil, reduce heat and simmer partially covered for about 1 hour or until meat is tender. Skim off any fat and scum that may form from boiling. Next, add all other ingredients, except potatoes and cook for about 1 to 2 hours. Season to taste. Add your potatoes; you can also add spaghetti (about 1/4 of the bag), broken in 3, at the same time as the potatoes.</p></td></tr></tbody></table>"
"1522282499-1361","http://www.cookbooks.com/","Soup","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Soup","4","http://www.cookbooks.com/recipes-search.aspx?page=4","51. CHEDDAR-CHICKEN SOUP","http://www.cookbooks.com/Recipe-Details.aspx?id=986","<p class=""H2""><font size=""5"">CHEDDAR-CHICKEN SOUP</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  Tbsp. margarine<br>1/2  c. chopped onion<br>1/2  c. chopped celery<br>1/2  c. chopped carrot<br>2  tsp. all purpose flour<br>1  c. water<br>1  pkg. instant chicken broth and seasoning mix<br>1/2  c. frozen asparagus cuts and tips<br>1/2  c. skim milk<br>2  oz. Cheddar cheese, shredded<br>4  oz. skinned and boned cooked chicken, diced<br>1  c. cooked small macaroni (shells, tubetti or elbows)<br>1  tsp. Worcestershire sauce<br>  dashes of salt and white pepper<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      In 1 1/2 to 2-quart saucepan heat margarine over medium heat until bubbly and hot; add onion, celery and carrot and sauté until vegetables are tender.  Sprinkle vegetables with flour and stir quickly to combine; gradually stir in water.  Add broth mix and, stirring constantly, bring to a boil.  Add asparagus and cook, stirring, for about 3 minutes; add milk and cheese and continue stirring and cooking until cheese melts.  Reduce heat to low, add remaining ingredients, and cook until thoroughly heated.</p></td></tr></tbody></table>"
"1522282485-1354","http://www.cookbooks.com/","Soup","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Soup","4","http://www.cookbooks.com/recipes-search.aspx?page=4","58. CHICKEN MULLIGATAWNY SOUP","http://www.cookbooks.com/Recipe-Details.aspx?id=993","<p class=""H2""><font size=""5"">CHICKEN MULLIGATAWNY SOUP</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 1/2  c. diced apple<br>2  Tbsp. flaked coconut<br>2  Tbsp. chopped onion<br>1 1/2  tsp. curry powder (or less)<br>2  Tbsp. butter or oleo<br>1  can cream of chicken soup<br>1/2 soup  can milk<br>1/4  c. plain yogurt<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      In saucepan, cook apple, coconut and onion with curry in butter until tender.  Add soup; pour into blender and blend until smooth. Return mixture to saucepan; gradually stir in milk and yogurt. Heat and stir occasionally.  Garnish with sliced apple.  Makes about 3 cups or 4 servings.</p></td></tr></tbody></table>"
"1522282090-1179","http://www.cookbooks.com/","Soup","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Soup","16","http://www.cookbooks.com/recipes-search.aspx?page=16","233. BROCCOLI AND CHEESE SOUP","http://www.cookbooks.com/Recipe-Details.aspx?id=4714","<p class=""H2""><font size=""5"">BROCCOLI AND CHEESE SOUP</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 (10 oz.)  pkg. chopped broccoli<br>1/2  c. grated carrots<br>1/2  c. chopped celery<br>1/2  c. chopped onion<br>3/4  stick oleo<br>1/4  c. flour<br>2  c. milk<br>1  lb. Velveeta cheese, cubed<br>  pepper to taste<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Combine vegetables in large saucepan and cook until tender. Melt oleo in medium saucepan; stir in flour until smooth. Add milk; stir constantly. When mixture becomes thick, add cheese and stir until melted. Add vegetables and pepper. Mix well. Heat thoroughly. If soup is too thick, add more milk.</p></td></tr></tbody></table>"
