web-scraper-order	web-scraper-start-url	category	category-href	page	page-href	title	title-href	info
1520708528-444	http://cookbooks.com/	Thanksgiving	http://cookbooks.com/recipes-search.aspx?id=1&tag=thanksgiving	2	http://cookbooks.com/recipes-search.aspx?page=2	28. THANKSGIVING PUNCH	http://cookbooks.com/Recipe-Details.aspx?id=138044	"<p class=""H2""><font size=""5"">THANKSGIVING PUNCH</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  1/2 cups Southern Comfort<br>2  1/4 quarts 7-up<br>6  oz fresh lemon juice<br>  1-6 oz can frozen O.J.<br>  2-6 oz can frozen lemonade<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Chill ingredients. Mix in Punch bowl adding 7-up last.  Add a few drops of red food coloring, orange slices &amp; lemon Slices.</p></td></tr></tbody></table>"
1520708249-326	http://cookbooks.com/	Thanksgiving	http://cookbooks.com/recipes-search.aspx?id=1&tag=thanksgiving	10	http://cookbooks.com/recipes-search.aspx?page=10	146. THANKSGIVING BROWN SUGAR BROWNIES	http://cookbooks.com/Recipe-Details.aspx?id=1000316	"<p class=""H2""><font size=""5"">THANKSGIVING BROWN SUGAR BROWNIES</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2/3  c. butter, melted<br>2  c. packed brown sugar<br>3  eggs<br>1  c. flour<br>1  tsp. vanilla<br>2  c. nuts<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Melt butter, then add brown sugar.  Add eggs, flour, vanilla and nuts.  Mix and put mixture into oblong pan.  Bake at 350° for 30 minutes.  Remove and let partially cool.  Cut into squares.</p></td></tr></tbody></table>"
1520708418-397	http://cookbooks.com/	Thanksgiving	http://cookbooks.com/recipes-search.aspx?id=1&tag=thanksgiving	5	http://cookbooks.com/recipes-search.aspx?page=5	75. THANKSGIVING TOMORROW	http://cookbooks.com/Recipe-Details.aspx?id=492302	"<p class=""H2""><font size=""5"">THANKSGIVING TOMORROW</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  c. turkey, cooked and cubed<br>3  c. leftover stuffing<br>1  can low-sodium cream of mushroom soup<br>1/2  c. chopped celery<br>1/2  c. chopped onion<br>1/2  tsp. pepper<br>1  tsp. poultry seasoning<br>  turkey broth or water if needed<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Heat oven to 350°.  Combine all ingredients, add turkey broth or water if mixture is too dry.  Place in lightly greased casserole dish.  Bake 35 or 45 minutes or until hot and lightly browned on top.  Garnish with cranberry sauce if desired.</p></td></tr></tbody></table>"
1520708530-445	http://cookbooks.com/	Thanksgiving	http://cookbooks.com/recipes-search.aspx?id=1&tag=thanksgiving	2	http://cookbooks.com/recipes-search.aspx?page=2	27. THANKSGIVING YAMS	http://cookbooks.com/Recipe-Details.aspx?id=131343	"<p class=""H2""><font size=""5"">THANKSGIVING YAMS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">3  c. mashed yams<br>1/3  c. milk<br>1  tsp. vanilla<br>1/3  c. Kahlua or Amaretto or a mix of the 2<br>1  tsp. orange juice<br>3/4  c. sugar<br>1/3  c. butter<br>1  tsp. cinnamon (more if you like)<br>1  c. chopped pecans<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Mix all ingredients in a casserole dish.</p></td></tr></tbody></table><p class=""H3""><strong>Topping:</strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1/3  c. flour<br>1  c. chopped pecans<br>1/3  c. margarine<br>1  c. brown sugar<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Combine ingredients in a separate bowl. Sprinkle topping on top of yams. Bake 30 minutes at 350°.</p></td></tr></tbody></table>"
1520708343-366	http://cookbooks.com/	Thanksgiving	http://cookbooks.com/recipes-search.aspx?id=1&tag=thanksgiving	8	http://cookbooks.com/recipes-search.aspx?page=8	106. THANKSGIVING DRESSING	http://cookbooks.com/Recipe-Details.aspx?id=725460	"<p class=""H2""><font size=""5"">THANKSGIVING DRESSING</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  to 3 stalks celery, chopped<br>1  medium onion, chopped fine<br>1  lb. hot or medium sausage<br>1  lb. regular sausage<br>6  hard-boiled eggs, chopped<br>1  egg, slightly beaten<br>1 to 2  c. gravy or turkey drippings<br>1/2 to 1  c. chopped turkey meat<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Place all of the ingredients in a bowl and mix.  Add sage or poultry seasoning to flavor.  Place in 9 x 13-inch pan.  Bake at 350° for 20 to 30 minutes.</p><p class=""H1"">      This casserole is good with grits as a breakfast treat!</p></td></tr></tbody></table>"
1520708494-429	http://cookbooks.com/	Thanksgiving	http://cookbooks.com/recipes-search.aspx?id=1&tag=thanksgiving	3	http://cookbooks.com/recipes-search.aspx?page=3	43. THANKSGIVING CRANBERRY SALAD	http://cookbooks.com/Recipe-Details.aspx?id=247226	"<p class=""H2""><font size=""5"">THANKSGIVING CRANBERRY SALAD</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  lb. cranberries<br>1 small  can crushed pineapple, drained<br>3/4  c. cane sugar<br>2  c. whipping cream or 8 oz. Cool Whip<br>3/4  c. chopped pecans<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Grind cranberries fine.  Add pineapple and sugar.  Stir well. Let stand in refrigerator overnight (covered).  Two hours before serving, whip cream.  Add nuts.  Place in a serving bowl and chill.</p></td></tr></tbody></table>"
1520708403-391	http://cookbooks.com/	Thanksgiving	http://cookbooks.com/recipes-search.aspx?id=1&tag=thanksgiving	6	http://cookbooks.com/recipes-search.aspx?page=6	81. THANKSGIVING CRANBERRY JELLO SALAD	http://cookbooks.com/Recipe-Details.aspx?id=557780	"<p class=""H2""><font size=""5"">THANKSGIVING CRANBERRY JELLO SALAD</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 (16 oz.)  pkg. cranberries<br>1  c. water<br>1 large  pkg. Jell-O (cherry, strawberry or raspberry)<br>1  c. sugar<br>1  can crushed pineapple, drained<br>1  c. chopped celery<br>1  c. halved grapes<br>1  c. Cool Whip<br>1  c. nuts<br>2 (8 oz.)  pkg. cream cheese<br>1  c. Marshmallow Creme<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Cook cranberries in water until they pop open.  Add Jell-O and sugar.  Mix until Jell-O dissolves.  Set until cool.  Add pineapple, celery, grapes and nuts.  Set.</p><p class=""H1"">      Topping:  Mix Cool Whip, cream cheese (softened) and Marshmallow Creme.  Spread over cranberry mixture.  Set and chill overnight.</p></td></tr></tbody></table>"
1520708399-389	http://cookbooks.com/	Thanksgiving	http://cookbooks.com/recipes-search.aspx?id=1&tag=thanksgiving	6	http://cookbooks.com/recipes-search.aspx?page=6	83. THANKSGIVING CRANBERRY DELIGHT	http://cookbooks.com/Recipe-Details.aspx?id=587553	"<p class=""H2""><font size=""5"">THANKSGIVING CRANBERRY DELIGHT</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 (20 oz.)  can crushed pineapple (juice drained and reserved)<br>1  c. water<br>1 (6 oz.)  pkg. strawberry flavored gelatin<br>1 (6 oz.)  can whole berry cranberry sauce<br>3  tsp. lemon juice<br>1  Tbsp. lemon peel<br>1/2  tsp. nutmeg<br>2  c. sour cream<br>1/2  c. chopped pecans<br>  fresh strawberries (optional)<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Combine pineapple juice and water in a 2-quart saucepan.  Heat to boiling.  Remove from heat.  Add gelatin and stir until dissolved.  Stir in cranberry sauce, lemon juice, peel and nutmeg. Chill until mixture thickens slightly.  Add sour cream; stir until thoroughly combined.  Fold in pineapple and pecans.  Pour into 8-cup mold.  Chill until firm.  Unmold onto serving plate. Garnish with strawberries.</p></td></tr></tbody></table>"
1520708284-342	http://cookbooks.com/	Thanksgiving	http://cookbooks.com/recipes-search.aspx?id=1&tag=thanksgiving	9	http://cookbooks.com/recipes-search.aspx?page=9	130. DAY AFTER THANKSGIVING TURKEY SOUP	http://cookbooks.com/Recipe-Details.aspx?id=869313	"<p class=""H2""><font size=""5"">DAY AFTER THANKSGIVING TURKEY SOUP</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">3  Tbsp. butter<br>1  onion, chopped<br>1  clove garlic, minced<br>1  carrot, sliced<br>1  celery stalk, sliced<br>2 or more  c. leftover cooked turkey, diced<br>6  c. turkey stock or chicken broth (homemade or canned)<br>1/2  tsp. white pepper<br>3  Tbsp. chopped parsley<br>1  potato, cubed<br>  salt to taste<br>1  c. heavy sweet cream<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Heat butter in a skillet and saute onion and garlic until onion is translucent.  Transfer contents of the skillet into a slow cooker.  Add all other ingredients except the cream.  Cover, turn on low and cook for about 6 hours or until the vegetables are tender.  Stir in heavy cream and heat thoroughly before serving. Serves 8.</p></td></tr></tbody></table>"
1520708552-456	http://cookbooks.com/	Thanksgiving	http://cookbooks.com/recipes-search.aspx?id=1&tag=thanksgiving	2	http://cookbooks.com/recipes-search.aspx?page=2	16. THANKSGIVING PICKLES	http://cookbooks.com/Recipe-Details.aspx?id=63307	"<p class=""H2""><font size=""5"">THANKSGIVING PICKLES</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  c. vinegar<br>2  Tbsp. salt<br>1 1/2  Tbsp. whole mixed spices<br>1  Tbsp. powdered alum<br>  cucumbers<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Pack whole cucumbers in 1/2 gallon jar. Mix vinegar, salt, spices and alum together.  Pour over cucumbers. Finish filling jar with cold water.  Put Saran Wrap on jar; seal tight and set aside. In fall when you want to eat, take out of jar and dry off.  Slice pickles about 1 1/2-inches thick.  Pour about 1 1/2 pounds sugar over them; seal and shake jar to dissolve sugar.  Leave in refrigerator as you use them.  The longer they set, the crispier they get.</p></td></tr></tbody></table>"
