web-scraper-order,web-scraper-start-url,veg,veg-href,page,page-href,title,title-href,info
"1520704307-327","http://www.cookbooks.com/","Vegetable","http://www.cookbooks.com/recipes-search.aspx?cid=1004&tag=Vegetable","19","http://www.cookbooks.com/recipes-search.aspx?page=19","283. COLE SLAW","http://www.cookbooks.com/Recipe-Details.aspx?id=4742","<p class=""H1"">Could NOT Open Recipe Page Due To:</p>Conversion from type 'DBNull' to type 'String' is not valid."
"1520704588-436","http://www.cookbooks.com/","Vegetable","http://www.cookbooks.com/recipes-search.aspx?cid=1004&tag=Vegetable","12","http://www.cookbooks.com/recipes-search.aspx?page=12","173. BAKED BEANS","http://www.cookbooks.com/Recipe-Details.aspx?id=2331","<p class=""H2""><font size=""5"">BAKED BEANS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2 (15 oz.)  cans pork and beans<br>1  lb. ground beef<br>1/2  c. chopped onion<br>1/2  c. chopped bell pepper<br>1/2 to 1  c. ketchup<br>1  Tbsp. mustard<br>2  Tbsp. barbecue sauce<br>1  tsp. Worcestershire<br>1  c. brown sugar<br>2  Tbsp. Karo syrup or pancake syrup<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Brown ground beef in skillet on top of stove and drain grease. Place all ingredients in casserole dish, stirring well, and add ground beef.  Bake at 350° for 1 hour.</p></td></tr></tbody></table>"
"1520704507-400","http://www.cookbooks.com/","Vegetable","http://www.cookbooks.com/recipes-search.aspx?cid=1004&tag=Vegetable","14","http://www.cookbooks.com/recipes-search.aspx?page=14","209. ITALIAN STYLE ZUCCHINI","http://www.cookbooks.com/Recipe-Details.aspx?id=2594","<p class=""H2""><font size=""5"">ITALIAN STYLE ZUCCHINI</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">6  zucchini<br>3  c. soft bread crumbs<br>  grated Parmesan cheese<br>1  small onion, minced<br>3  Tbsp. minced parsley<br>1  tsp. salt<br>1/8  tsp. pepper<br>2  eggs, beaten<br>2  Tbsp. oleo<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Cut ends from zucchini (do not pare); cook in boiling salted water for 5 minutes.  Halve lengthwise.  Remove pulp with spoon; reserve shells.  Combine zucchini pulp, crumbs, 1/2 cup cheese, onion, parsley, salt, pepper and eggs; mix well.  Fill shells.  Dot with butter and sprinkle with cheese.  Bake at 350° for 30 minutes.</p></td></tr></tbody></table>"
"1520704775-519","http://www.cookbooks.com/","Vegetable","http://www.cookbooks.com/recipes-search.aspx?cid=1004&tag=Vegetable","6","http://www.cookbooks.com/recipes-search.aspx?page=6","90. BAKED BEANS","http://www.cookbooks.com/Recipe-Details.aspx?id=1472","<p class=""H2""><font size=""5"">BAKED BEANS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 (53 oz.)  can pork and beans<br>6  slices thin sliced bacon<br>1  c. chopped onions<br>1/2  c. chopped bell pepper<br>1/2  c. catsup<br>1/2  c. barbecue sauce<br>1  Tbsp. Worcestershire sauce<br>2  tsp. prepared mustard<br>2  Tbsp. brown sugar or honey<br>2  tsp. liquid smoke (optional)<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Mix beans in large mixing bowl.</p><p class=""H1"">      To serve hot:  Mix all ingredients, except bacon, in large mixing bowl.  Strip with bacon.  Bake 1 hour at 350°.</p><p class=""H1"">      To serve cold:  Fry bacon crisp; crumble and set aside.  Sauté onions and bell pepper in 2 tablespoons bacon drippings until onions are clear; do not brown.  Empty all ingredients in mixing bowl.  Mix well.  Pour in baking pan.  Bake at 350° for 1 hour.</p></td></tr></tbody></table>"
"1520704695-484","http://www.cookbooks.com/","Vegetable","http://www.cookbooks.com/recipes-search.aspx?cid=1004&tag=Vegetable","9","http://www.cookbooks.com/recipes-search.aspx?page=9","125. POTATO CASSEROLE","http://www.cookbooks.com/Recipe-Details.aspx?id=1651","<p class=""H2""><font size=""5"">POTATO CASSEROLE</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">4  c. fluffy (not dry) mashed potatoes<br>1/4  c. flour<br>4  Tbsp. dark corn syrup<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Beat mashed potatoes with a rotary beater.  Mix in the flour and syrup until well blended.  Turn the mixture into a heavy buttered casserole; cover tightly and let cook in a warm oven (lowest heat) 5 hours.  Check occasionally to be sure that it doesn't get too dry.  Add milk, if necessary.  Leave cover off; dot with butter and bake at 350° for 15 minutes at the end of the 5 hours to form a crust on top.</p></td></tr></tbody></table>"
"1520704845-550","http://www.cookbooks.com/","Vegetable","http://www.cookbooks.com/recipes-search.aspx?cid=1004&tag=Vegetable","4","http://www.cookbooks.com/recipes-search.aspx?page=4","59. BROCCOLI AND RICE CASSEROLE","http://www.cookbooks.com/Recipe-Details.aspx?id=1149","<p class=""H2""><font size=""5"">BROCCOLI AND RICE CASSEROLE</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 (10 oz.)  pkg. frozen, chopped broccoli<br>1/2  c. chopped onion<br>1/2  c. chopped celery<br>1  tsp. reduced calorie margarine<br>1 1/2  c. cooked rice<br>1 (10 1/4 oz.)  can cream of chicken soup<br>1  c. grated low-fat process American cheese<br>1/4  tsp. salt<br>1/8  tsp. pepper<br>1  Tbsp. breadcrumbs<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Cook broccoli according to package directions; drain well. Sauté onion and celery in margarine in nonstick skillet until clear.  Mix broccoli, soup and cheese; add to celery and onion. Stir in rice, salt and pepper.  Put into nonstick 1 1/2-quart casserole.  Top with breadcrumbs.  Bake at 350° for 35 minutes and serve.</p></td></tr></tbody></table>"
"1520704557-423","http://www.cookbooks.com/","Vegetable","http://www.cookbooks.com/recipes-search.aspx?cid=1004&tag=Vegetable","13","http://www.cookbooks.com/recipes-search.aspx?page=13","186. STUFFED MUSHROOMS","http://www.cookbooks.com/Recipe-Details.aspx?id=2345","<p class=""H2""><font size=""5"">STUFFED MUSHROOMS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  lb. fresh mushrooms (larger are best)<br>1  c. finely crushed saltine crackers<br>1 1/2  tsp. salt (can be omitted)<br>1/8  tsp. pepper<br>1  Tbsp. chopped parsley<br>3  green onions, minced<br>1/4  c. butter, melted<br>1/4  c. butter, cut in pieces<br>1/2  c. heavy cream<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Preheat oven to 350°.  Clean mushrooms; remove caps and chop stems.  Mix cracker crumbs with spices, onions and melted butter. Add chopped mushroom stems.</p><p class=""H1"">      Line a buttered 9-inch pie pan with whole mushroom caps.  Cover with crumb mixture and dot with remaining butter.  Pour cream over all.  Bake, uncovered, for 30 minutes.</p><p class=""H1"">      Note:  Makes a great hors d'oeuvre by omitting the cream and baking for only 20 minutes.</p></td></tr></tbody></table>"
"1520704451-375","http://www.cookbooks.com/","Vegetable","http://www.cookbooks.com/recipes-search.aspx?cid=1004&tag=Vegetable","16","http://www.cookbooks.com/recipes-search.aspx?page=16","234. STUFFED MUSHROOMS","http://www.cookbooks.com/Recipe-Details.aspx?id=3072","<p class=""H2""><font size=""5"">STUFFED MUSHROOMS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  pkg. mushrooms<br>8  oz. cream cheese<br>1  tsp. Beau Monde<br>  bacon bits to taste<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Wash mushrooms and remove stems; let dry. Mix cream cheese, Beau Monde (a spice mix) and bacon bits together. Use a table knife to ""stuff"" cream cheese into mushrooms. Bake on an ungreased cookie pan at 350° until cream cheese is lightly browned on top. Cool a moment before eating.</p></td></tr></tbody></table>"
"1520704727-498","http://www.cookbooks.com/","Vegetable","http://www.cookbooks.com/recipes-search.aspx?cid=1004&tag=Vegetable","8","http://www.cookbooks.com/recipes-search.aspx?page=8","111. GRILLED VEGETABLES","http://www.cookbooks.com/Recipe-Details.aspx?id=1493","<p class=""H2""><font size=""5"">GRILLED VEGETABLES</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  medium zucchini, cut in 1/4-inch pieces<br>2  tomatoes, sliced<br>1  onion, sliced<br>4  Tbsp. butter<br>4  Tbsp. Parmesan cheese<br>  bread crumbs<br>1/4  tsp. thyme<br>1/4  tsp. rosemary<br>1/4  tsp. pepper<br>1/4  tsp. oregano<br>1/4  tsp. salt<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Tear off four squares of foil.  Place 1/4 vegetable mixture in center of each square.  Dot with butter.  Sprinkle with combined seasonings and cheese.  Sprinkle with bread crumbs (a couple tablespoons each square).  Grill over medium hot coals about 15 minutes.  Turn and cook 20 minutes more or until tender.  Serves 4.</p></td></tr></tbody></table>"
"1520704341-342","http://www.cookbooks.com/","Vegetable","http://www.cookbooks.com/recipes-search.aspx?cid=1004&tag=Vegetable","18","http://www.cookbooks.com/recipes-search.aspx?page=18","268. GERMAN POTATO SALAD","http://www.cookbooks.com/Recipe-Details.aspx?id=4371","<p class=""H2""><font size=""5"">GERMAN POTATO SALAD</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">5  lb. boiled potatoes<br>1  bunch green onions<br>1  bunch celery<br>1  lb. bacon<br>10  eggs, hard boiled<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Slice boiled and skinned potatoes.  Dice 10 hard-boiled eggs, bunch of celery and green onions including 3 Tbsp. of tops (chives).  Fry bacon crisp and crumble into potato mixture. Drizzle 3 Tbsp. bacon grease over mixture.</p></td></tr></tbody></table><p class=""H3""><strong>Dressing:</strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1/3  c. sugar<br>1/3  c. vinegar<br>2  eggs.<br>8  Tbsp. Hellmann's mayonnaise<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Bring sugar, vinegar and eggs to a full rolling boil.  Toss in salad.  Add mayonnaise to desired consistency.  Serve at room temperature.</p></td></tr></tbody></table>"
